PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,PSUWGT,NATWGT,RATWGT,DRINKING,ALCTEST,VEHNO,OCUPANTS,DRPRES,MONDRIVE,MILEVEH,MILETOT,DRTRAIN,LASTRAIN,FREQDRIV,TYPEOP,BMCSREG,DRCLASS,ACCTYPE,AVOIDMAN,RELFACT,VIOCHAR1,VIOCHAR2,LSTATUS,LTYPCOMP,LREST,PREVSPD,PREVOTH,PREVDWI,PREVSUS,PREVACC,FEDAID,CLASTRAF,ROADFUNC,LANES,LANEWIDT,MEDIANT,MEDIANW,ACCESS,TRAFFLOW,SHOULDLT,SHOULDRT,ALIGNMNT,SLOPE,SUPELEV,CURVE,GRADE,PROFILE,SURTYPE,SURCOND,SPLIMIT,RESTRICT,TRAFCONT,TRCTLFCT,TRUCKSYS,ENVRF
1,032C,32,C,4,9,94.000,121.636,119.480,U,D,3,U,1,U,U,U,U,U,U,0,0,0,66,U,U,0,0,U,U,U,U,U,U,U,U,3,6,15,2,210,0,0,3,0,0,0,1,1,98,0,0,1,2,4,35,2,0,0,0,U
1,033B,33,B,4,9,40.000,51.760,50.945,U,C,1,1,1,U,U,U,U,U,U,0,0,0,13,U,U,0,0,U,U,U,U,U,U,U,U,5,6,16,1,250,0,0,3,3,0,0,1,2,98,0,0,1,2,3,30,0,0,0,0,0
1,034E,34,E,4,9,847.000,1096.018,1123.687,0,1,1,1,1,N,N,N,N,N,N,U,U,U,44,N,U,0,0,6,3,0,1,U,0,0,1,3,6,14,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,30,U,N,N,0,U
1,034E,34,E,4,9,847.000,1096.018,1123.687,0,C,2,1,1,N,N,N,N,N,N,0,0,0,45,N,U,0,0,6,3,0,1,1,0,0,U,3,6,14,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,30,U,N,N,0,U
1,035D,35,D,4,9,282.000,364.908,369.466,8,C,1,1,1,N,N,N,N,N,N,0,0,0,88,N,1,U,0,5,3,0,0,0,0,0,U,3,6,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,30,0,N,N,0,0
1,035D,35,D,4,9,282.000,364.908,369.466,8,C,2,3,1,N,N,N,N,N,N,0,0,0,89,N,9,0,0,5,3,0,0,0,0,0,U,3,6,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,30,0,N,N,0,0
1,036C,36,C,4,9,94.000,121.636,119.480,U,C,1,1,1,N,N,N,N,N,N,0,0,0,13,N,9,0,0,U,U,U,U,U,U,U,U,5,6,16,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,30,0,N,N,0,0
1,037E,37,E,4,9,847.000,1096.018,1123.687,U,C,1,1,1,N,N,N,N,N,N,0,0,0,20,N,7,0,0,U,U,U,U,U,U,U,U,3,6,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,30,U,N,N,0,U
1,037E,37,E,4,9,847.000,1096.018,1123.687,0,C,2,1,1,N,N,N,N,N,N,U,U,U,23,N,1,0,0,U,U,U,U,U,U,U,U,3,6,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,30,U,N,N,0,1
1,038B,38,B,4,9,40.000,51.760,50.945,U,C,1,U,1,U,U,U,U,U,U,0,0,0,13,U,U,0,0,U,U,U,U,U,U,U,U,3,6,15,2,130,0,0,3,0,0,0,1,2,98,0,0,1,2,2,30,0,0,0,1,U
1,039C,39,C,4,9,94.000,121.636,119.480,0,C,1,2,1,12,U,U,0,0,3,0,0,0,2,1,1,0,0,5,3,0,0,0,0,0,U,5,6,16,1,115,4,5,3,1,0,0,1,2,98,0,0,1,2,2,30,0,1,3,0,26
1,040E,40,E,4,9,847.000,1096.018,1123.687,0,C,1,1,1,U,U,U,U,U,U,0,0,0,33,U,U,0,0,1,2,0,1,0,1,0,U,3,6,15,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,2,30,U,U,U,0,U
1,040E,40,E,4,9,847.000,1096.018,1123.687,0,C,2,1,1,U,U,U,U,U,U,0,0,0,33,U,U,0,0,5,2,0,0,0,1,0,U,3,6,15,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,2,30,U,U,U,0,U
1,040E,40,E,4,9,847.000,1096.018,1123.687,0,C,3,1,1,U,U,U,U,U,U,0,0,0,98,U,U,0,0,5,3,0,0,0,0,0,U,3,6,15,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,2,30,U,U,U,0,U
1,041E,41,E,4,9,847.000,1096.018,1123.687,0,C,1,1,1,N,N,N,N,N,N,0,0,0,20,N,7,0,0,5,3,0,0,1,0,0,U,3,6,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,45,0,N,N,0,0
1,041E,41,E,4,9,847.000,1096.018,1123.687,0,C,2,2,1,N,N,N,N,N,N,0,0,0,21,N,31,0,0,U,U,U,U,U,U,U,U,3,6,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,45,0,N,N,0,0
1,042C,42,C,4,9,94.000,121.636,119.480,0,C,1,3,1,N,N,N,N,N,N,0,0,0,1,N,1,98,0,1,2,0,0,0,0,0,U,2,6,13,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,30,U,N,N,0,U
1,043C,43,C,4,9,94.000,121.636,119.480,0,C,1,3,1,N,N,N,N,N,N,0,0,0,83,N,1,0,0,5,3,0,0,0,0,0,U,5,6,16,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,30,0,N,N,0,0
