PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,NATWGT,PSUWGT
1,57G,57,G,2,2,1,1,10,L,D,A,W,1,2,50,U,9,9,9,9,U,148,0,0,0,0,2,0,-8,6,0,0,0,0,0,0,-2,0,1,1005,3356.22,42
1,58C,58,C,2,1,1,2,12,F,Y,E,W,3,,,,,,,,,49,27,23,17,11,4,4,-10,,,,,,,,,0,1,947,98.2893,1.23
1,59B,59,B,2,1,1,56,4,R,P,E,W,6,2,31,0,T,D,D,O,2,118,0,6,23,7,2,0,-16,,,,,,,,,0,1,965,79.91,1
1,60A,60,A,2,1,4,3,3,R,Z,A,W,5,3,2,2,F,Y,E,W,1,128,0,10,24,31,12,0,-12,71,0,0,0,0,0,0,-14,0,1,1108,79.91,1
1,60A,60,A,2,2,3,1,11,L,Z,E,W,1,,,,,,,,,73,0,7,4,2,1,0,-48,,,,,,,,,0,1,1003,79.91,1
1,60A,60,A,2,3,4,1,12,F,D,E,W,2,,,,,,,,,59,18,19,18,19,20,20,0,,,,,,,,,0,1,1043,79.91,1
1,61C,61,C,2,1,1,2,82,R,F,E,W,4,2,2,3,R,B,E,E,1,41,0,4,7,18,19,14,64,,,,,,,,,0,1,942,79.91,1
1,61C,61,C,2,2,1,1,11,F,L,E,W,4,3,51,4,R,Z,A,W,1,,,,,,,,,109,0,1,0,0,0,0,-22,0,1,1250,79.91,1
1,62E,62,E,2,1,1,2,2,R,D,E,W,1,2,62,6,B,R,L,N,1,148,0,3,2,2,3,0,-22,7,0,0,0,0,0,0,0,0,1,1030,359.595,4.5
1,63G,63,G,2,1,1,2,11,F,Y,E,W,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1024,1438.38,18
1,63G,63,G,2,2,1,1,2,F,Y,E,W,2,,,,,,,,,72,17,11,6,4,1,0,19,,,,,,,,,0,1,1160,1438.38,18
1,65F,65,F,2,1,1,2,2,R,D,E,W,2,2,42,72,F,L,E,W,1,227,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,1550,343.613,4.3
1,65F,65,F,2,2,1,1,7,L,D,A,W,3,3,45,2,R,D,M,W,1,150,0,0,2,6,5,0,-20,197,0,0,0,0,0,0,0,0,1,1040,343.613,4.3
1,66H,66,H,2,2,1,1,6,B,R,E,N,1,,,,,,,,,58,1,1,1,1,1,2,18,,,,,,,,,0,1,972,1358.47,17
1,67D,67,D,2,1,1,2,2,F,D,E,W,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1081,79.91,1
1,67D,67,D,2,2,1,1,11,L,D,E,W,3,,,,,,,,,129,0,0,0,3,3,11,54,,,,,,,,,0,1,1052,79.91,1
1,68D,68,D,2,1,1,41,9,L,F,E,W,2,2,41,9,L,Z,A,W,2,51,1,2,5,7,5,3,54,62,2,2,1,0,7,1,-51,1,1,942,79.91,1
1,69D,69,D,2,1,2,42,10,L,Y,A,W,5,1,58,1,R,B,E,S,1,97,11,14,0,11,26,19,16,50,0,0,0,0,0,0,-63,0,1,913,79.91,1
1,70E,70,E,2,1,1,2,6,B,Z,E,W,2,,,,,,,,,63,3,4,10,10,6,5,13,,,,,,,,,0,1,1030,239.73,3
1,70E,70,E,2,2,1,1,12,F,Y,E,W,1,,,,,,,,,61,4,4,6,0,0,0,-11,,,,,,,,,0,1,1003,239.73,3
1,74F,74,F,2,1,1,2,2,F,D,E,W,1,,,,,,,,,59,6,2,0,0,1,4,0,,,,,,,,,0,1,1139,343.613,4.3
1,75H,75,H,2,2,1,1,12,F,Z,E,W,1,,,,,,,,,65,0,1,2,4,4,7,18,,,,,,,,,0,1,1081,1358.47,17
1,76G,76,G,2,1,1,76,12,F,Z,E,W,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1049,958.92,12
1,77C,77,C,2,1,1,2,12,F,Z,E,W,2,,,,,,,,,63,3,2,7,13,15,15,18,,,,,,,,,0,1,1049,79.91,1
1,77C,77,C,2,2,1,1,9,L,F,E,W,3,,,,,,,,,59,0,5,12,13,9,10,68,,,,,,,,,0,1,1012,79.91,1
1,78E,78,E,2,1,1,2,5,R,Y,E,W,2,2,50,9,L,P,E,N,1,71,0,8,5,2,0,0,0,2,3,0,0,0,0,0,0,0,1,999,239.73,3
1,79E,79,E,2,1,1,2,12,F,D,E,W,2,,,,,,,,,56,11,11,10,6,7,6,0,,,,,,,,,0,1,973,239.73,3
1,79E,79,E,2,2,1,1,6,B,D,E,W,2,2,42,12,F,Z,E,N,1,64,4,2,5,8,9,13,0,65,1,2,4,6,2,0,7,0,1,1014,239.73,3
1,80G,80,G,2,1,1,44,0,R,Y,M,N,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,972,958.92,12
1,81F,81,F,2,1,1,2,1,F,R,E,N,2,,,,,,,,,59,0,0,1,2,6,20,22,,,,,,,,,0,1,1081,343.613,4.3
1,83E,83,E,2,1,1,2,12,F,Z,E,W,1,,,,,,,,,56,1,0,0,0,0,0,20,,,,,,,,,0,1,972,239.73,3
1,83E,83,E,2,2,1,1,6,B,R,E,N,1,3,3,11,L,Y,E,W,1,63,1,2,2,3,3,3,48,77,0,0,2,4,1,0,-21,0,1,1004,239.73,3
1,86E,86,E,2,1,3,31,0,T,D,D,O,4,2,42,12,F,R,E,E,1,,,,,,,,,,,,,,,,,0,1,940,359.595,4.5
1,87G,87,G,2,1,1,2,2,R,Y,E,W,2,2,56,10,F,Z,M,W,1,91,1,3,1,3,7,3,43,54,5,4,1,0,1,1,-16,0,1,1012,1438.38,18
1,88D,88,D,2,1,1,2,12,F,Y,A,A,7,,,,,,,,,57,44,46,52,13,4,4,-20,,,,,,,,,0,1,1108,119.865,1.5
1,88D,88,D,2,2,1,1,12,F,L,E,W,4,2,31,0,R,D,A,O,1,61,36,26,9,0,0,0,-21,,,,,,,,,0,1,1330,119.865,1.5
1,89E,89,E,2,1,1,2,12,F,Z,E,W,3,,,,,,,,,56,8,13,17,20,21,24,1,,,,,,,,,0,1,937,359.595,4.5
1,89E,89,E,2,2,1,1,12,F,Z,E,W,2,,,,,,,,,71,5,9,12,16,17,18,10,,,,,,,,,0,1,1143,359.595,4.5
1,92E,92,E,2,1,1,51,12,F,R,E,N,1,,,,,,,,,61,1,1,0,1,10,2,22,,,,,,,,,0,1,1010,479.46,6
1,96D,96,D,2,1,2,2,2,R,Z,A,W,4,3,56,9,L,B,E,N,1,89,20,24,20,12,1,0,-59,,,,,,,,,0,1,1049,119.865,1.5
1,96D,96,D,2,2,2,1,12,F,D,E,W,2,,,,,,,,,72,0,1,1,5,9,16,8,,,,,,,,,0,1,1160,119.865,1.5
2,1F,1,F,2,1,1,2,10,L,F,E,N,2,2,50,2,R,F,E,N,1,52,1,1,3,3,3,1,74,,,,,,,,,0,0,1049,399.676,16.3
2,3H,3,H,2,1,1,31,0,T,D,D,O,3,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1108,1348.6,55
2,4D,4,D,2,1,2,42,1,R,Z,A,S,3,1,50,12,F,R,E,N,1,,,,,,,,,,,,,,,,,0,1,1250,56.6412,2.31
2,5F,5,F,2,1,1,2,9,L,Y,E,W,3,,,,,,,,,94,2,13,12,12,12,2,25,,,,,,,,,0,1,943,399.676,16.3
2,5F,5,F,2,2,1,1,12,F,Y,E,W,1,,,,,,,,,60,3,2,2,2,1,2,0,,,,,,,,,0,1,1060,399.676,16.3
2,6F,6,F,2,1,2,41,11,L,B,E,N,1,4,68,12,F,Z,E,N,1,,,,,,,,,,,,,,,,,1,0,1110,399.676,16.3
2,7C,7,C,2,1,1,51,12,F,R,E,E,3,,,,,,,,,60,0,1,9,17,26,31,0,,,,,,,,,0,1,1003,65.6523,2.6775
2,8D,8,D,2,1,1,31,0,T,D,D,O,4,3,56,0,F,D,E,W,1,,,,,,,,,,,,,,,,,1,1,1069,99.1221,4.0425
