PSUWGT,NATWGT,PSU,AOPSVEH,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKDRG,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,CARGOWGT
6.7,535.397,1,0,32E,32,E,2,2,89,9,34,3,JP3CU24XXK,1,U,0,C,40,U,79,1,1,1,22,0,0,0,1,0,0,180,67,5,U,U,U,U,0,1,17,0,1,2,4,U,9,1,U
1.23,98.2893,1,0,33C,33,C,2,1,85,18,18,2,1G4NJ27U0F,1,U,0,C,40,U,50,1,2,2,25,0,0,0,0,0,0,166,7,6,U,U,U,U,0,1,17,1,2,2,3,U,30,3,0
1.23,98.2893,1,0,33C,33,C,2,2,85,35,477,30,9999999999,1,U,0,C,40,U,51,1,1,1,U,0,0,0,0,0,0,7,166,6,U,U,U,U,0,0,U,0,1,8,4,N,N,1,U
38,3036.58,1,,34H,34,H,2,1,84,34,34,2,WBAAK8406E,1,U,1,U,U,U,1,1,1,1,24,0,0,1,1,0,0,998,998,5,U,U,U,U,0,1,17,0,0,1,0,998,98,0,U
1.23,98.2893,1,0,36C,36,C,2,1,88,21,3,4,1G3CW51C9J,1,U,0,C,35,1,2,1,3,3,33,0,1,1,0,0,0,998,998,1,18,-18,0,393,1,1,17,0,3,1,4,998,98,2,0
6.7,535.397,1,,37E,37,E,2,1,87,20,477,30,1GCBS14E2H,1,U,0,C,35,7,7,1,1,1,26,0,1,1,0,0,0,998,998,1,18,-18,-3,354,1,1,17,0,1,8,4,998,98,1,3
1.23,98.2893,1,0,38C,38,C,2,1,88,49,477,30,9999999999,0,U,1,D,0,U,29,1,1,0,U,0,0,0,0,0,U,54,54,6,U,U,U,U,0,0,U,N,N,8,N,N,N,N,U
1.23,98.2893,1,0,38C,38,C,2,2,89,20,16,4,1G1JC5115K,1,U,1,D,0,U,28,1,1,1,24,0,0,0,0,1,0,54,54,6,U,U,U,U,0,2,17,0,1,2,0,U,30,2,U
9.8,783.118,1,0,39F,39,F,2,1,87,12,473,31,9999999999,0,U,0,C,55,U,25,1,1,0,U,0,0,0,0,U,U,90,84,6,U,U,U,U,0,0,U,N,N,8,N,N,N,N,U
9.8,783.118,1,0,39F,39,F,2,2,83,21,1,5,1G3AH35Y1D,1,U,0,C,55,4,24,1,4,4,35,0,0,0,0,1,0,84,90,6,U,U,U,U,0,1,17,0,1,1,4,U,31,1,0
6.7,535.397,1,0,40E,40,E,2,1,78,20,474,21,C6U1684100,1,U,0,C,40,6,88,1,2,2,41,0,0,0,0,0,0,197,113,1,6,-5,-4,128,1,1,13,0,0,8,0,36,2,0,1
6.7,535.397,1,0,40E,40,E,2,2,89,14,4,2,1MEPM604XK,1,U,0,C,35,1,89,1,2,2,36,0,0,0,0,0,0,113,197,1,7,0,7,78,1,1,17,0,1,1,6,41,21,1,0
9.8,783.118,1,0,41F,41,F,2,1,85,20,16,5,1G1JD35P7F,1,U,0,C,30,3,20,1,1,1,25,0,0,0,0,0,0,164,180,1,18,-18,-3,217,1,1,17,0,0,2,0,33,2,0,U
9.8,783.118,1,0,41F,41,F,2,2,78,21,1,2,3R47F8G400,1,U,0,C,30,1,21,1,2,2,33,0,0,0,0,0,0,180,164,1,13,12,-5,378,2,1,13,0,2,1,4,25,5,2,0
1.23,98.2893,1,0,42C,42,C,2,1,89,12,18,3,1ZVBT20C2K,1,U,1,D,35,U,7,1,1,1,27,0,0,0,3,0,0,998,998,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1,0
38,3036.58,1,0,43H,43,H,2,1,82,22,13,5,1G2AL68CXC,1,U,0,C,55,9,6,1,2,2,21,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,1,6,998,98,1,0
28,2237.48,1,0,44G,44,G,2,1,86,34,34,2,WBAAB5407G,1,U,0,C,30,U,50,1,1,1,27,0,0,0,0,0,0,263,80,6,U,U,U,U,0,1,17,0,0,1,0,U,9,0,U
28,2237.48,1,0,44G,44,G,2,2,88,37,U,9,9999999999,0,U,0,C,30,U,51,1,1,0,U,0,0,0,0,0,0,80,263,6,U,U,U,U,0,0,U,N,N,U,N,N,N,N,U
6.7,535.397,1,0,45E,45,E,2,1,87,20,474,21,1GNGG35K4H,1,U,0,C,55,8,8,1,1,1,49,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,8,4,998,98,1,0
1.23,98.2893,1,0,46C,46,C,2,1,88,41,35,3,JM1BF2322J,1,U,0,C,55,1,82,1,1,1,21,0,0,0,0,0,0,247,326,1,18,6,17,263,3,1,17,1,1,2,1,31,4,6,0
1.23,98.2893,1,0,46C,46,C,2,2,88,44,34,4,VF3BA7168J,1,55,0,C,55,8,83,1,4,4,31,0,0,0,0,0,0,326,247,1,11,-11,-2,202,3,1,17,0,4,1,4,21,3,1,1
2,159.82,1,0,47D,47,D,2,1,82,20,17,4,1G1AW19R7C,1,U,0,C,0,3,83,1,3,3,30,0,1,0,0,0,0,52,191,4,U,U,U,U,0,1,17,0,3,2,4,N,69,2,U
2,159.82,1,0,47D,47,D,2,2,80,U,U,69,9999999999,1,U,0,C,0,U,82,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N,
9.8,783.118,1,0,48F,48,F,2,1,82,23,474,21,9999999999,1,U,0,C,40,1,1,1,1,1,U,0,0,2,0,0,0,998,998,5,U,U,U,U,0,0,U,0,1,8,3,N,N,1,0
6.7,535.397,1,0,49E,49,E,2,1,85,30,42,5,1VWFA0179F,1,U,0,C,40,1,29,1,1,1,22,0,0,0,0,0,0,270,280,6,U,U,U,U,0,1,17,0,1,2,4,29,13,1,1
6.7,535.397,1,0,49E,49,E,2,2,88,53,470,13,JS4JC51C9J,1,U,1,D,40,U,28,1,1,1,29,0,0,0,0,0,0,280,270,6,U,U,U,U,0,2,17,0,1,U,4,22,5,2,U
1.23,98.2893,1,0,50C,50,C,2,1,85,7,472,20,2B4FK41C5F,1,U,0,C,40,U,69,1,3,3,28,0,0,0,0,0,0,180,335,1,24,-21,12,511,2,1,17,1,3,8,3,27,4,3,0
1.23,98.2893,1,0,50C,50,C,2,2,87,20,17,4,1G1AW51W4H,1,U,0,C,40,U,68,1,1,1,27,0,0,0,0,0,0,335,180,1,25,-13,-22,1785,2,1,17,1,1,2,3,28,20,3,0
2,159.82,1,0,51D,51,D,2,1,77,20,12,3,1R07U72100,1,U,0,C,40,98,3,1,1,1,27,0,1,5,2,0,0,998,998,5,U,U,U,U,0,1,13,1,1,1,3,998,98,3,0
28,2237.48,1,0,52G,52,G,2,1,89,20,9,3,1G1FP2187K,1,U,0,C,40,U,2,1,1,1,33,0,1,1,0,0,0,998,998,1,13,3,13,359,1,1,17,0,0,1,0,998,98,0,0
6.7,535.397,1,0,53E,53,E,2,1,88,9,34,4,JP3BA36K0J,1,U,0,C,30,U,64,1,4,4,21,0,0,0,0,0,0,20,232,6,U,U,U,U,0,1,17,0,1,2,4,U,39,1,U
6.7,535.397,1,0,53E,53,E,2,2,86,12,U,39,9999999999,0,U,0,C,30,U,65,1,1,0,U,0,0,0,0,0,0,232,20,6,U,U,U,U,0,0,U,N,N,8,N,N,N,N,U
38,3036.58,1,0,54H,54,H,2,1,78,22,U,6,9999999999,1,U,0,C,30,U,24,1,1,1,U,0,0,0,0,0,0,290,290,6,U,U,U,U,0,0,U,0,0,U,U,N,N,0,U
38,3036.58,1,0,54H,54,H,2,2,76,7,443,31,014BB65200,0,U,0,C,30,1,25,1,1,0,U,0,0,0,0,0,0,290,290,6,U,U,U,U,0,2,13,N,N,8,N,U,6,N,0
1.23,98.2893,1,0,55C,55,C,2,1,86,48,31,4,JF2AC53B9G,1,U,1,D,30,U,6,1,1,1,22,0,0,1,0,0,0,998,998,1,22,-22,0,384,1,1,17,0,1,U,4,998,98,2,0
14.7,1174.677,1,0,56F,56,F,2,1,89,21,2,4,1G3HN54C5K,1,U,0,C,35,1,68,1,1,1,33,0,0,0,0,0,0,240,150,1,11,-8,-7,155,1,1,17,0,1,1,0,28,3,1,0
