PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,PASINTEG,OPENLF,OPENRF,OPENLR,OPENRR,OPENTG,FAILLF,FAILRF,FAILLR,FAILRR,FAILTG,GLIMPWS,GLIMPLF,GLIMPRF,GLIMPLR,GLIMPRR,GLIMPBL,GLIMPRUF,GLIMPOTH,GLOCCWS,GLOCCLF,GLOCCRF,GLOCCLR,GLOCCRR,GLOCCBL,GLOCCRUF,GLOCCOTH,GLTYPWS,GLTYPLF,GLTYPRF,GLTYPLR,GLTYPRR,GLTYPBL,GLTYPRUF,GLTYPOTH,GLPREWS,GLPRELF,GLPRERF,GLPRELR,GLPRERR,GLPREBL,GLPRERUF,GLPREOTH,INLOC1,INCOMP1,INMAG1,CDRIR1,INLOC2,INCOMP2,INMAG2,CDRIR2,INLOC3,INCOMP3,INMAG3,CDRIR3,INLOC4,INCOMP4,INMAG4,CDRIR4,INLOC5,INCOMP5,INMAG5,CDRIR5,INLOC6,INCOMP6,INMAG6,CDRIR6,INLOC7,INCOMP7,INMAG7,CDRIR7,INLOC8,INCOMP8,INMAG8,CDRIR8,INLOC9,INCOMP9,INMAG9,CDRIR9,INLOC10,INCOMP10,INMAG10,CDRIR10,COLUMTYP,COLMOVE,COLVERT,COLLAT,COLLONG,RIMDEF,RDEFLOC,ODOMETER,PANELDAM,BOLSTDEF,GLOVOPEN,NATWGT,PSUWGT
71,98H,98,H,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,U,0,0,0,0,0,13,0,0,0,1775.4,66
71,99E,99,E,2,1,7,1,1,3,1,0,0,0,0,0,0,2,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,21,31,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,96,96,96,96,0,0,30,0,8,0,352.39,13.1
71,100C,100,C,2,1,7,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,6,8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,11,12,3,1,12,12,3,1,22,31,3,2,23,31,2,2,13,12,2,1,21,31,2,2,11,14,2,1,12,14,2,1,21,19,2,2,11,7,1,3,2,96,96,96,96,0,0,15,1,0,0,44.116,1.64
71,101C,101,C,2,1,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,1,1,5,64,1,8,0,44.116,1.64
71,101C,101,C,2,2,0,3,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,12,2,1,11,2,1,2,11,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,2,5,25,1,8,0,44.116,1.64
71,102D,102,D,2,1,98,3,3,0,0,3,0,0,0,0,0,4,6,6,6,0,0,8,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,1,2,2,1,0,0,0,0,11,15,4,1,11,12,4,1,11,6,3,1,11,13,3,1,12,15,3,1,12,12,3,1,11,16,2,3,21,12,2,1,11,2,2,2,21,7,1,3,1,96,96,96,96,2,6,58,1,8,0,67.25,2.5
71,103E,103,E,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,1,5,49,1,8,0,352.39,13.1
71,104G,104,G,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,96,96,96,96,0,0,56,0,8,0,1210.5,45
71,105C,105,C,2,1,98,3,3,0,0,0,0,0,0,0,0,2,0,6,0,0,0,8,8,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,11,17,1,2,11,12,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,-2,2,5,9,16,1,8,1,44.116,1.64
71,106C,106,C,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,96,96,96,96,0,0,1,1,8,0,44.116,1.64
