PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,HITRUN,OCCFORMS,VEHROLE,TOWAWAY,MODELYR,MAKE,MODEL,REGISTRA,VIN,BODYTYPE,TOWHITCH,SEATCAP,TCAXLE1,TCAXLE2,TCAXLE3,TCAXLE4,TCTIRE1,TCTIRE2,TCTIRE3,TCTIRE4,TCCOND1,TCCOND2,TCCOND3,TCCOND4,LMIRROR,RMIRROR,OVERRIDE,REARTURN,CABCONF,AXLESP,AXLEST1,AXLEST2,AXLEST3,TRAILER1,TRAILER2,TRAILER3,MAXWIDTH,MAXLEN,BRAKETY,GVWR,VEHSEQ1,VEHSEQ2,OBJCONT1,OBJCONT2,DOF1,DOF2,GAD1,GAD2,SHL1,SHL2,SVL1,SVL2,TDD1,TDD2,EXTENT1,EXTENT2,ACCSEQ1,ACCSEQ2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,SPECUSE,ODOMETER,PCINTEG,DPCOMPNT,DPINTRSN,DOCOMPNT,DOINTRSN,PPCOMPNT,PPINTRSN,POCOMPNT,POINTRSN,STEERSEP,STEERDEF,FIRE,IMPTYPE,OTHROLE,ROLLOVER,JACKNIFE,HAZCARGO,CURBWGT,CARGOWGT,SOURCWGT,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,TRAVELSP,VINLNGTH,VINJSER,VINJURED,VTREAT,DRIVE,OTVEHWGT,OTBDYTYP,VAIS,WHEELSHT,WHEELLNG
58,214A,214,A,3,9,1,0,2,1,2,87,34,35,N,WBAAE6407H,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,2,1,33,69,91,0,L,U,Y,F,A,D,W,W,04,02,2,1,,,,,,,,,,,,,,,,,1,N,1,8,5,4,97,4,3,4,U,U,1,1,0,2,6,0,0,N,27,0,0,1,29,-22,18,853,55,17,2,2,1,1,998,98,3,U,U
58,215B,215,B,3,9,1,0,1,1,1,85,12,6,N,ZFABP43F3F,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,12,,F,,R,,E,,W,,01,,1,,74,0,2,2,3,4,4,0,,,,,,,,,1,N,23,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,N,37,0,0,1,11,-11,2,183,35,17,0,0,0,1,22,5,0,U,U
58,215B,215,B,3,9,2,0,1,2,2,79,9,8,N,MC44A7,5,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,2,,R,,Y,,E,,W,,04,,1,,103,0,7,14,6,3,0,17,,,,,,,,,1,N,83,7,0,0,0,0,7,3,97,2,1,0,0,3,1,0,0,N,22,0,0,1,18,-6,-17,257,35,13,0,1,U,2,37,4,7,U,U
58,216C,216,C,3,9,1,0,2,2,2,76,12,11,N,6E81,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,U,,9,,9,,9,,9,,99,,1,,,,,,,,,,,,,,,,,,1,N,U,U,U,U,U,U,U,U,U,U,U,U,0,2,1,0,0,N,35,U,U,3,6,6,2,46,20,11,0,0,0,1,23,2,0,109.9,U
58,216C,216,C,3,9,2,0,2,1,2,84,37,33,N,JHMAB5228E,2,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,12,,F,,R,,E,,W,,01,,1,,59,0,0,1,2,2,5,0,,,,,,,,,1,N,61,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,N,23,0,0,3,9,-9,0,123,30,17,0,1,4,2,35,4,1,U,U
58,217B,217,B,3,9,1,0,1,1,2,75,21,2,N,3L69K5,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,3,2,33,71,90,9,L,L,F,B,E,W,W,W,06,02,3,2,41,22,38,43,39,27,22,43,,,,,,,,,2,N,U,8,1,4,97,4,3,4,97,4,1,1,0,2,6,0,0,N,45,0,0,1,34,-22,26,1996,70,13,0,1,3,1,998,98,2,124.0,U
58,218C,218,C,3,9,1,0,1,1,2,77,20,2,N,1L69U7,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,12,3,F,R,R,P,E,E,W,W,01,01,1,2,72,0,0,0,2,5,10,0,,,,,,,,,1,N,68,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,N,37,0,0,1,12,-12,-2,182,45,13,0,0,0,1,35,4,0,116.0,U
58,218C,218,C,3,9,2,0,6,2,2,87,20,2,N,1G1BL5128H,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,7,9,L,L,Y,Z,E,E,W,W,03,01,1,2,74,1,10,11,6,1,0,32,,,,,,,,,1,N,9,7,7,2,97,1,0,0,0,0,1,0,0,2,1,0,0,N,35,0,0,1,11,8,7,267,45,17,0,1,U,1,37,4,7,U,U
58,219B,219,B,3,9,1,0,1,3,2,77,20,13,N,1J08E7,3,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,3,1,40,2,12,2,F,R,Y,Y,E,E,N,W,03,03,3,1,58,8,15,21,13,5,0,0,88,0,1,2,8,7,1,30,2,N,117,7,11,0,98,2,4,2,24,2,1,1,0,1,6,0,0,N,20,0,0,1,24,-24,0,409,25,13,0,1,4,1,998,98,7,94.3,U
58,219B,219,B,3,9,2,0,1,1,2,78,49,32,N,TE5,3,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,71,9,F,L,Y,P,E,E,W,W,02,01,1,2,58,12,8,6,3,1,0,0,,,,,,,,,1,N,152,1,7,1,20,1,0,0,0,0,1,0,0,1,2,0,0,N,22,0,0,1,13,-10,8,273,30,10,0,0,0,1,20,3,0,93.3,U
