PSU,CASEID,CASENO,STRATIF,AOPSCASE,VERSION,VEHFORMS,MONTH,YEAR,TIME,EVENTS,ATREAT,AAIS,ALCDRUG,AINJSER,AINJURED,DAYWEEK,PSUWGT,NATWGT
1,65F,65,F,0,2,2,10,89,2306,3,4,1,2,0,2,7,4.3,343.613
1,66H,66,H,0,2,2,10,89,915,1,0,0,2,0,0,3,17,1358.47
1,67D,67,D,0,2,2,10,89,1617,1,4,2,2,0,2,5,1,79.91
1,68D,68,D,0,2,1,10,89,230,3,4,1,2,0,1,7,1,79.91
1,69D,69,D,0,2,1,10,89,2233,2,3,3,1,1,5,5,1,79.91
1,70E,70,E,0,2,2,10,89,845,1,3,1,2,0,2,7,3,239.73
1,71G,71,G,0,2,1,11,89,2230,1,0,0,2,0,0,5,12,958.92
1,72F,72,F,0,2,1,11,89,131,1,4,7,2,0,1,4,4.3,343.613
1,73E,73,E,0,2,1,11,89,734,1,4,1,2,0,1,4,3,239.73
1,74F,74,F,0,2,2,11,89,1651,1,3,2,2,0,2,2,4.3,343.613
1,75H,75,H,0,2,2,11,89,1120,1,6,1,2,0,1,3,17,1358.47
1,76G,76,G,0,2,1,11,89,2205,1,0,0,2,0,0,6,12,958.92
1,77C,77,C,0,2,2,11,89,1024,1,4,2,2,0,1,4,1,79.91
1,78E,78,E,0,2,2,11,89,807,3,4,1,2,0,2,6,3,239.73
1,79E,79,E,0,2,2,11,89,1851,2,4,1,1,0,2,4,3,239.73
1,80G,80,G,0,2,1,11,89,1743,1,0,0,2,0,0,6,12,958.92
1,81F,81,F,0,2,2,11,89,1140,1,4,1,2,0,1,2,4.3,343.613
1,82H,82,H,0,2,1,11,89,325,1,0,0,2,0,0,2,17,1358.47
1,83E,83,E,0,2,3,11,89,1447,3,4,2,2,0,1,5,3,239.73
1,84G,84,G,0,2,1,11,89,1523,1,0,0,2,0,0,5,12,958.92
1,86E,86,E,0,2,1,12,89,1910,3,4,2,2,0,1,3,4.5,359.595
1,87G,87,G,0,2,2,12,89,1759,2,6,1,2,0,2,4,18,1438.38
1,88D,88,D,0,2,2,12,89,101,2,3,2,1,0,2,2,1.5,119.865
