PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,NATWGT,PSUWGT,RATWGT
1,20E,20,E,3,2,1,1,11,F,Y,E,W,2,,,,,,,,,58,15,8,5,2,1,0,-13,,,,,,,,,0,1,973,479.46,6.000,638.41521776
1,21H,21,H,3,1,1,51,12,F,Z,E,N,2,,,,,,,,,58,3,5,7,9,11,7,1,,,,,,,,,0,1,906,1917.84,24.000,2687.7952919
1,22E,22,E,3,1,1,2,6,B,Z,E,W,2,,,,,,,,,63,0,0,4,10,10,8,-7,,,,,,,,,0,1,1003,159.82,2.000,212.80507259
1,22E,22,E,3,2,1,1,12,F,L,L,E,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,U,159.82,2.000,212.80507259
1,24F,24,F,3,1,1,42,12,F,Y,E,W,2,,,,,,,,,50,10,14,18,14,3,0,-3,,,,,,,,,0,1,934,159.82,2.000,193.61375748
1,25E,25,E,3,2,2,57,12,F,Z,E,W,2,1,1,1,R,B,M,W,1,55,0,5,8,8,2,6,18,74,2,3,3,2,2,1,-70,0,1,1160,159.82,2.000,212.80507259
1,26G,26,G,3,2,1,1,12,F,D,E,W,1,,,,,,,,,68,8,7,5,4,3,1,-9,,,,,,,,,0,1,1127,1438.38,18.000,1973.4980356
1,27H,27,H,3,1,2,51,12,F,R,E,E,5,3,51,12,R,B,E,W,1,59,3,5,6,6,8,54,-24,58,4,3,3,2,1,0,-61,0,1,1099,1278.56,16.000,1791.8635279
1,28E,28,E,3,1,1,44,U,9,9,9,9,U,2,42,32,F,D,E,W,2,,,,,,,,,72,8,11,12,10,8,5,0,0,1,1215,159.82,2.000,212.80507259
1,29F,29,F,3,1,1,51,12,F,R,E,E,4,,,,,,,,,58,3,5,7,10,13,17,24,,,,,,,,,0,1,1042,159.82,2.000,193.61375748
1,30G,30,G,3,1,1,2,2,R,P,M,W,2,,,,,,,,,86,0,5,6,5,2,0,-18,,,,,,,,,0,1,957,1438.38,18.000,1973.4980356
1,30G,30,G,3,2,1,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,990,1438.38,18.000,1973.4980356
1,31H,31,H,3,2,2,3,12,F,Z,L,W,1,1,1,6,B,D,E,W,1,60,0,0,0,0,0,1,-15,61,0,0,0,0,0,1,6,0,0,1005,1278.56,16.000,1791.8635279
1,31H,31,H,3,3,2,2,6,B,Y,E,W,1,,,,,,,,,58,0,0,0,0,0,1,-4,,,,,,,,,0,0,978,1278.56,16.000,1791.8635279
1,32E,32,E,3,1,1,2,10,L,P,E,W,2,,,,,,,,,103,0,4,11,10,2,0,-11,,,,,,,,,0,1,970,159.82,2.000,212.80507259
1,32E,32,E,3,2,1,1,1,F,Y,E,W,2,,,,,,,,,75,16,13,8,7,5,2,-13,,,,,,,,,0,1,1215,159.82,2.000,212.80507259
1,33F,33,F,3,1,2,31,0,T,Y,D,O,2,1,63,12,F,L,W,N,3,,,,,,,,,,,,,,,,,0,1,1049,319.64,4.000,387.22751496
1,34E,34,E,3,1,1,2,12,F,Z,E,W,1,,,,,,,,,57,0,0,2,3,4,6,19,,,,,,,,,0,1,990,319.64,4.000,425.61014518
1,34E,34,E,3,2,1,1,6,B,Y,E,W,1,,,,,,,,,63,6,5,4,2,1,1,-21,,,,,,,,,0,1,1049,319.64,4.000,425.61014518
1,35G,35,G,3,1,2,56,12,F,R,E,E,3,1,60,10,L,P,L,W,1,57,0,0,0,0,0,0,24,42,0,0,1,0,0,0,-14,0,0,1010,479.46,6.000,657.83267853
1,36C,36,C,3,1,2,42,12,F,Z,E,W,3,3,71,0,U,B,C,W,1,59,0,0,2,9,21,24,16,,,,,,,,,0,1,1005,199.775,2.500,272.42370801
1,37F,37,F,3,1,1,2,12,F,Z,E,W,1,,,,,,,,,74,0,0,0,0,0,1,12,,,,,,,,,0,0,1315,479.46,6.000,580.84127244
1,37F,37,F,3,2,1,1,6,B,Y,E,W,2,,,,,,,,,64,5,4,5,4,0,0,-18,,,,,,,,,0,1,1056,479.46,6.000,580.84127244
1,38F,38,F,3,1,1,2,12,F,Y,E,W,2,,,,,,,,,62,13,10,8,6,3,1,-8,,,,,,,,,0,1,1049,319.64,4.000,387.22751496
1,38F,38,F,3,2,1,1,1,F,Z,E,W,2,,,,,,,,,57,0,1,2,4,6,11,17,,,,,,,,,0,1,991,319.64,4.000,387.22751496
1,39F,39,F,3,1,1,2,12,F,L,E,E,1,,,,,,,,,58,6,3,1,0,0,0,-24,,,,,,,,,0,1,1034,479.46,6.000,580.84127244
1,39F,39,F,3,2,1,1,6,B,R,E,E,1,,,,,,,,,53,0,0,0,1,1,3,21,,,,,,,,,0,1,945,479.46,6.000,580.84127244
1,40F,40,F,3,1,1,2,6,B,Y,E,W,1,,,,,,,,,60,1,1,1,1,0,1,14,,,,,,,,,0,0,959,479.46,6.000,580.84127244
1,40F,40,F,3,2,1,1,12,F,Z,E,W,1,,,,,,,,,58,0,1,2,3,3,7,12,,,,,,,,,0,1,978,479.46,6.000,580.84127244
1,41E,41,E,3,1,2,2,6,B,D,L,W,1,,,,,,,,,72,0,0,0,0,0,0,5,,,,,,,,,0,0,1160,799.1,10.000,1064.0253629
1,41E,41,E,3,2,1,3,6,B,D,L,W,1,2,1,12,F,D,E,W,1,64,1,1,1,1,1,1,-5,63,1,0,0,0,1,0,6,0,1,1108,799.1,10.000,1064.0253629
1,41E,41,E,3,3,1,2,12,F,D,E,W,2,,,,,,,,,54,3,4,5,6,5,5,0,,,,,,,,,0,1,990,799.1,10.000,1064.0253629
1,42G,42,G,3,1,1,2,12,F,Y,E,W,2,,,,,,,,,61,15,14,9,7,3,1,-10,,,,,,,,,0,1,1003,479.46,6.000,657.83267853
1,42G,42,G,3,2,1,1,6,B,Z,E,W,1,,,,,,,,,72,1,2,0,0,0,0,11,,,,,,,,,0,0,1159,479.46,6.000,657.83267853
1,43H,43,H,3,1,1,60,12,F,R,E,E,1,,,,,,,,,65,0,0,1,1,2,8,24,,,,,,,,,0,1,1081,1917.84,24.000,2687.7952919
1,44E,44,E,3,1,1,2,1,F,D,E,W,2,,,,,,,,,56,11,13,16,20,25,15,-6,,,,,,,,,0,1,1040,479.46,6.000,638.41521776
1,44E,44,E,3,2,1,1,10,L,F,E,W,3,,,,,,,,,56,4,7,6,11,14,12,56,,,,,,,,,0,1,1010,479.46,6.000,638.41521776
1,45F,45,F,3,1,1,2,12,F,L,E,N,2,,,,,,,,,72,6,16,10,7,2,0,-11,,,,,,,,,0,1,1160,159.82,2.000,193.61375748
1,46F,46,F,3,1,1,2,9,L,P,E,W,2,2,2,10,L,B,M,N,1,73,0,4,9,8,3,0,21,,,,,,,,,0,1,995,159.82,2.000,193.61375748
1,46F,46,F,3,2,1,1,1,F,Z,E,W,1,2,1,5,R,F,M,W,1,57,0,0,0,1,3,4,15,,,,,,,,,0,1,1031,159.82,2.000,193.61375748
