ACCSEQ,CASEID,CASENO,CLASS2,CLASS1,GADEV1,GADEV2,OBJCONT,RATWGT,PSU,STRATIF,VEHNUM,VERSION
3,156E,156,0,3,L,0,41,602.72356287,2,E,1,8
4,156E,156,0,3,L,0,42,602.72356287,2,E,1,8
1,157K,157,0,9,9,0,42,50.892805054,2,K,1,8
2,157K,157,0,9,N,N,33,50.892805054,2,K,1,8
1,158E,158,0,2,F,0,68,78.459591715,2,E,1,8
1,159G,159,1,3,L,F,2,238.41939516,2,G,1,8
1,160H,160,0,20,F,0,64,348.63034412,2,H,1,8
1,161D,161,30,3,F,F,2,48.500203056,2,D,1,8
1,162E,162,30,30,F,L,2,394.57648969,2,E,1,8
1,163G,163,0,30,F,0,44,1199.0208713,2,G,1,8
2,163G,163,0,30,T,N,31,1199.0208713,2,G,1,8
1,164F,164,2,1,B,F,2,164.26839186,2,F,1,8
1,165H,165,39,9,F,B,2,513.39954758,2,H,1,8
1,"  1H",1,0,1,F,0,71,336.73853271,3,H,1,8
1,"  2F",2,0,4,F,0,50,368.09400479,3,F,1,8
2,"  2F",2,0,4,F,0,58,368.09400479,3,F,1,8
1,"  3D",3,0,20,R,N,31,105.99527407,3,D,1,8
1,"  4F",4,0,2,F,0,70,102.95414724,3,F,1,8
2,"  4F",4,0,2,F,0,58,102.95414724,3,F,1,8
1,"  5G",5,2,3,F,L,2,353.7358562,3,G,1,8
2,"  5G",5,0,2,F,0,50,353.7358562,3,G,2,8
1,"  6C",6,0,1,F,0,45,62.126249585,3,C,1,8
1,"  7F",7,0,30,F,0,70,88.892831272,3,F,1,8
2,"  7F",7,0,30,F,0,70,88.892831272,3,F,1,8
1,"  8F",8,5,14,F,L,2,88.892831272,3,F,1,8
2,"  8F",8,0,5,F,0,70,88.892831272,3,F,2,8
1,"  9D",9,0,3,F,0,56,34.309868776,3,D,1,8
1," 10D",10,0,3,F,0,55,34.309868776,3,D,1,8
1," 11D",11,0,3,F,0,70,29.730882796,3,D,1,8
1," 12F",12,5,5,L,F,2,171.73395693,3,F,1,8
2," 12F",12,0,5,F,0,59,171.73395693,3,F,2,8
1," 13D",13,9,21,F,B,2,38.756696194,3,D,1,8
2," 13D",13,4,9,F,F,3,38.756696194,3,D,2,8
1," 14H",14,1,19,R,F,2,865.69150675,3,H,1,8
2," 14H",14,0,1,F,0,57,865.69150675,3,H,2,8
1," 15D",15,9,9,F,F,2,89.693892255,3,D,1,8
1," 16H",16,4,3,R,F,2,586.44753002,3,H,1,8
2," 16H",16,2,4,F,F,3,586.44753002,3,H,2,8
1," 17E",17,21,58,B,F,2,228.83435598,3,E,1,8
1," 18D",18,5,9,R,F,2,20.385286767,3,D,1,8
1," 19F",19,1,4,B,F,2,117.75116076,3,F,1,8
1," 20G",20,9,20,R,F,2,404.57629717,3,G,1,8
2," 20G",20,0,20,L,N,31,404.57629717,3,G,1,8
1," 21C",21,0,2,F,0,52,14.552990032,3,C,1,8
1," 22D",22,2,5,L,F,2,27.268031556,3,D,1,8
1," 23G",23,2,20,F,R,2,541.17459148,3,G,1,8
2," 23G",23,0,2,F,0,56,541.17459148,3,G,2,8
1," 24A",24,2,15,F,L,2,18.092884038,3,A,1,8
2," 24A",24,0,2,R,0,70,18.092884038,3,A,2,8
1," 25D",25,0,4,F,0,64,34.90218564,3,D,1,8
1," 26F",26,29,1,F,L,2,201.60485939,3,F,1,8
2," 26F",26,0,1,R,0,70,201.60485939,3,F,1,8
3," 26F",26,0,29,F,0,70,201.60485939,3,F,2,8
1," 27K",27,2,5,F,L,2,13.626711678,3,K,1,8
2," 27K",27,2,5,R,L,2,13.626711678,3,K,1,8
3," 27K",27,0,2,F,0,52,13.626711678,3,K,2,8
1," 28E",28,5,1,R,F,2,61.890994424,3,E,1,8
2," 28E",28,0,5,F,0,68,61.890994424,3,E,2,8
1," 29F",29,15,2,L,F,2,88.224374901,3,F,1,8
2," 29F",29,14,15,F,R,3,88.224374901,3,F,2,8
3," 29F",29,3,2,F,B,4,88.224374901,3,F,1,8
1," 30K",30,3,3,F,L,2,13.695187616,3,K,1,8
2," 30K",30,0,3,F,0,70,13.695187616,3,K,2,8
1," 31D",31,4,2,L,F,2,95.755382294,3,D,1,8
1," 32D",32,0,4,F,0,76,71.249898333,3,D,1,8
1," 33F",33,0,1,F,0,42,411.55949037,3,F,1,8
1," 34D",34,0,2,F,0,45,42.363323853,3,D,1,8
1," 35F",35,9,1,F,R,2,244.70249619,3,F,1,8
1," 36D",36,1,4,F,L,2,34.787146064,3,D,1,8
2," 36D",36,0,1,F,0,42,34.787146064,3,D,2,8
1," 38D",38,2,9,R,F,2,41.578589603,3,D,1,8
2," 38D",38,9,2,F,L,3,41.578589603,3,D,2,8
1," 39H",39,1,2,B,F,2,928.72291542,3,H,1,8
1," 40K",40,2,1,F,R,2,20.268877672,3,K,1,8
1," 41F",41,0,2,F,0,55,693.81024888,3,F,1,8
1," 42A",42,5,1,R,F,2,11.466509311,3,A,1,8
2," 42A",42,0,5,T,N,31,11.466509311,3,A,2,8
3," 42A",42,0,1,U,0,63,11.466509311,3,A,1,8
4," 42A",42,0,1,L,0,52,11.466509311,3,A,1,8
1," 43F",43,3,1,L,F,2,320.98562976,3,F,1,8
1," 44D",44,0,1,F,0,52,38.334884416,3,D,1,8
1," 45E",45,4,20,L,F,2,155.33932037,3,E,1,8
2," 45E",45,0,20,R,N,31,155.33932037,3,E,1,8
3," 45E",45,0,20,U,0,71,155.33932037,3,E,1,8
4," 45E",45,0,20,U,0,71,155.33932037,3,E,1,8
1," 46J",46,3,21,R,F,2,11.073350917,3,J,1,8
1," 47E",47,15,9,L,F,2,164.18802609,3,E,1,8
1," 48D",48,4,20,L,F,2,46.973124005,3,D,1,8
1," 49E",49,2,2,F,L,2,190.34290229,3,E,1,8
1," 50D",50,0,2,F,0,56,21.057263972,3,D,1,8
2," 50D",50,0,2,F,0,64,21.057263972,3,D,1,8
1," 51F",51,21,3,F,L,2,121.63269046,3,F,1,8
1," 52F",52,29,5,L,F,2,121.63269046,3,F,1,8
2," 52F",52,0,5,F,0,52,121.63269046,3,F,1,8
1," 53K",53,1,1,R,F,2,13.832139492,3,K,1,8
1," 54E",54,3,3,F,F,2,414.52121304,3,E,1,8
1," 55F",55,4,5,F,R,2,137.96702178,3,F,1,8
