ACCSEQ,CASEID,CASENO,CLASS2,CLASS1,GADEV1,GADEV2,OBJCONT,RATWGT,PSU,STRATIF,VEHNUM,VERSION
2," 90F",90,0,2,F,0,51,155.17869045,4,F,1,8
1," 91G",91,2,1,B,F,2,331.67287546,4,G,1,8
1," 92K",92,0,1,F,0,52,110.50983188,4,K,1,8
1," 93F",93,2,3,L,F,2,169.49696933,4,F,1,8
1," 94G",94,14,3,B,F,2,362.27620582,4,G,1,8
1," 95H",95,0,1,F,0,63,529.74078815,4,H,1,8
2," 95H",95,0,1,U,0,63,529.74078815,4,H,1,8
3," 95H",95,0,1,F,0,63,529.74078815,4,H,1,8
4," 95H",95,0,1,F,0,63,529.74078815,4,H,1,8
5," 95H",95,0,1,F,0,43,529.74078815,4,H,1,8
6," 95H",95,0,1,F,0,43,529.74078815,4,H,1,8
