CASEID,CASENO,FAILLF,FAILLR,FAILRF,FAILRR,FAILTG,GLIMPBL,GLIMPLF,GLIMPLR,GLIMPOTH,GLIMPRF,GLIMPRR,GLIMPRUF,GLIMPWS,GLOCCBL,GLOCCLF,GLOCCLR,GLOCCOTH,GLOCCRF,GLOCCRR,GLOCCRUF,GLOCCWS,GLPREBL,GLPRELF,GLPRELR,GLPREOTH,GLPRERF,GLPRERR,GLPRERUF,GLPREWS,GLTYPBL,GLTYPLF,GLTYPLR,GLTYPOTH,GLTYPRF,GLTYPRR,GLTYPRUF,GLTYPWS,OPENLF,OPENLR,OPENRF,OPENRR,OPENTG,PASINTEG,PSU,STRATIF,VEHNO,VERSION,ADAPTEQ,BOLSTDEF,COLUMTYP,GLOVOPEN,CDRIR1,INLOC1,INCOMP1,INMAG1,CDRIR2,INLOC2,INCOMP2,INMAG2,CDRIR3,INLOC3,INCOMP3,INMAG3,CDRIR4,INLOC4,INCOMP4,INMAG4,CDRIR5,INLOC5,INCOMP5,INMAG5,CDRIR6,INLOC6,INCOMP6,INMAG6,CDRIR7,INLOC7,INCOMP7,INMAG7,CDRIR8,INLOC8,INCOMP8,INMAG8,CDRIR9,INLOC9,INCOMP9,INMAG9,CDRIR10,INLOC10,INCOMP10,INMAG10,ODOMETER,PANELDAM,RATWGT,RDEFLOC,RIMDEF,COLMTELE,COLMTILT,BOLSTYPE
"  1F",1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,2,F,1,8,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,1,92.852180931,0,0,0,3,2
"  1F",1,0,0,0,0,0,1,1,1,1,1,1,0,2,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,2,F,2,8,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,0,92.852180931,0,0,0,5,0
"  2H",2,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,1,0,2,H,1,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0,523.46620537,0,0,0,0,0
"  5F",5,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,0,2,2,2,1,2,2,2,0,2,2,3,1,1,1,1,1,0,0,2,F,1,8,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,0,520.76634371,0,0,0,2,1
"  5F",5,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,2,1,0,2,1,0,1,2,2,2,0,2,2,0,1,1,0,1,0,0,0,2,F,2,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,0,520.76634371,0,0,0,2,0
"  6F",6,0,0,0,0,0,1,1,1,0,1,U,0,3,1,1,1,0,8,U,0,U,2,2,2,0,2,2,0,1,4,2,4,0,2,4,0,1,1,0,3,1,1,98,2,F,1,8,0,0,2,2,2,13,15,4,2,13,5,4,2,21,20,3,2,12,15,3,2,13,4,1,2,12,3,1,2,13,10,1,1,13,18,1,,,,,,,,,160,1,133.16957528,0,0,0,2,0
"  8D",8,0,0,0,0,0,1,1,1,1,1,1,0,2,1,1,1,1,2,1,0,1,1,2,2,2,2,2,0,1,2,2,2,2,2,2,0,1,1,0,3,0,0,0,2,D,2,8,0,0,1,2,2,13,15,2,3,13,10,2,1,11,1,2,2,13,4,1,2,12,3,1,3,13,18,1,,,,,,,,,,,,,,,,,500,1,87.065106307,9,7,0,0,0
"  9D",9,0,0,0,0,0,U,U,0,0,6,0,0,2,U,U,0,0,1,0,0,1,2,2,0,0,2,0,0,1,1,2,0,0,2,0,0,1,1,0,1,0,0,11,2,D,1,8,0,0,1,1,1,13,13,3,1,11,13,3,1,11,15,3,1,11,6,3,1,13,6,3,1,12,15,3,1,12,13,3,1,11,14,3,1,13,15,3,1,13,16,3,147,1,87.065106307,0,0,0,0,0
" 10F",10,0,0,0,0,0,6,6,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,2,0,2,U,0,0,1,2,2,0,2,2,0,0,1,3,0,1,0,0,11,2,F,1,8,0,0,1,U,2,11,31,6,2,11,7,5,2,12,31,4,2,11,20,3,2,12,20,1,1,11,13,1,,,,,,,,,,,,,,,,,256,0,144.22076189,0,0,0,0,0
" 10F",10,0,0,0,0,0,6,6,6,1,6,1,0,2,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,3,1,1,98,2,F,2,8,0,0,1,1,1,13,13,3,1,13,14,3,1,13,16,3,1,12,16,2,1,12,13,2,1,13,6,2,2,13,4,2,1,13,15,2,1,13,17,1,1,12,15,1,123,0,144.22076189,0,0,0,0,0
" 11H",11,0,0,0,0,0,1,6,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,2,1,0,2,1,0,1,2,2,2,0,2,2,0,1,1,0,1,0,0,6,2,H,1,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,0,450.74328096,0,0,0,2,0
" 12C",12,0,0,0,0,0,6,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,2,2,0,0,2,0,0,1,2,2,0,0,2,0,0,1,1,0,3,0,0,7,2,C,1,8,0,0,1,1,2,13,5,3,2,12,27,2,2,13,27,2,3,13,10,2,2,11,27,1,,,,,,,,,,,,,,,,,,,,,70,0,80.659972983,0,0,0,0,0
" 13D",13,0,0,0,0,0,1,6,1,1,1,1,0,3,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,3,3,1,1,1,12,2,D,1,8,0,0,2,2,2,11,2,4,3,11,5,4,2,21,20,3,3,11,10,3,1,11,18,3,3,11,6,3,2,11,1,2,3,13,27,1,1,13,15,1,3,11,11,1,152,1,88.543878378,0,0,0,U,0
" 14K",14,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,2,2,1,0,2,1,0,1,2,2,3,0,2,3,0,1,1,0,1,0,1,0,2,K,1,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,0,47.772019839,0,0,0,3,0
" 15D",15,0,0,0,0,5,6,U,6,6,1,1,0,2,1,U,1,1,1,1,0,2,1,U,2,1,2,2,0,1,2,2,2,2,2,2,0,1,3,3,1,3,2,98,2,D,1,8,0,0,1,1,3,21,11,4,3,21,13,3,3,21,14,3,3,21,17,3,3,11,7,3,3,21,18,3,3,21,8,3,2,11,20,3,3,11,13,2,3,11,14,2,162,1,47.52715823,0,0,0,0,0
" 16E",16,0,0,0,0,0,1,1,1,6,6,6,0,2,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,3,3,3,3,0,6,2,E,2,8,0,1,2,2,3,23,11,4,3,23,18,4,3,13,7,4,3,23,13,3,3,13,11,3,3,13,18,3,3,13,10,3,3,23,14,3,3,13,13,3,3,13,14,2,9,0,386.66022156,0,0,0,1,2
" 17F",17,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,2,F,1,8,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,1,356.47018505,6,3,0,0,0
" 18H",18,0,0,0,0,0,1,1,1,0,1,1,0,2,1,U,1,0,1,1,0,1,1,2,2,0,2,2,0,1,2,2,2,0,2,2,0,1,3,0,1,0,0,0,2,H,1,8,0,0,1,U,2,11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,0,1114.1013171,0,0,0,0,0
" 19C",19,0,0,0,0,0,1,1,1,1,6,6,0,2,1,1,1,1,1,1,0,3,2,U,3,1,2,2,0,1,3,2,3,3,2,3,0,1,3,1,3,3,1,6,2,C,1,8,0,0,2,1,3,13,18,3,3,13,11,3,3,13,7,3,3,13,13,3,3,13,14,3,3,13,17,3,3,23,11,2,2,13,4,2,3,23,18,2,2,23,20,1,87,1,75.483744907,0,0,0,2,0
