PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHNO,PASINTEG,OPENLF,OPENRF,OPENLR,OPENRR,OPENTG,FAILLF,FAILRF,FAILLR,FAILRR,FAILTG,GLIMPWS,GLIMPLF,GLIMPRF,GLIMPLR,GLIMPRR,GLIMPBL,GLIMPRUF,GLIMPOTH,GLOCCWS,GLOCCLF,GLOCCRF,GLOCCLR,GLOCCRR,GLOCCBL,GLOCCRUF,GLOCCOTH,GLTYPWS,GLTYPLF,GLTYPRF,GLTYPLR,GLTYPRR,GLTYPBL,GLTYPRUF,GLTYPOTH,GLPREWS,GLPRELF,GLPRERF,GLPRELR,GLPRERR,GLPREBL,GLPRERUF,GLPREOTH,INLOC1,INCOMP1,INMAG1,CDRIR1,INLOC2,INCOMP2,INMAG2,CDRIR2,INLOC3,INCOMP3,INMAG3,CDRIR3,INLOC4,INCOMP4,INMAG4,CDRIR4,INLOC5,INCOMP5,INMAG5,CDRIR5,INLOC6,INCOMP6,INMAG6,CDRIR6,INLOC7,INCOMP7,INMAG7,CDRIR7,INLOC8,INCOMP8,INMAG8,CDRIR8,INLOC9,INCOMP9,INMAG9,CDRIR9,INLOC10,INCOMP10,INMAG10,CDRIR10,COLUMTYP,RIMDEF,RDEFLOC,ODOMETER,PANELDAM,BOLSTDEF,GLOVOPEN
11,71,63.721507299," 71C",C,7,1,13,3,1,0,0,0,0,0,0,0,0,2,6,0,8,8,0,8,8,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,11,5,2,2,11,2,2,2,11,17,2,2,12,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,8,5,79,1,8,0
11,72,63.721507299," 72C",C,7,1,98,3,1,3,1,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,2,3,21,17,1,3,11,7,1,3,11,17,1,3,11,10,1,3,12,19,1,3,12,8,1,3,,,,,,,,,,,,,1,0,0,44,0,0,0
11,72,63.721507299," 72C",C,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,230,0,8,0
11,73,1571.3932477," 73G",G,7,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,133,0,8,0
11,74,42.218848654," 74K",K,7,1,6,3,1,3,1,U,0,0,0,0,0,2,6,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,11,2,3,2,11,5,3,2,11,1,3,2,11,27,2,3,12,3,1,2,12,5,1,2,,,,,,,,,,,,,,,,,2,0,0,175,1,8,0
11,74,42.218848654," 74K",K,7,2,6,3,1,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,11,10,2,3,11,27,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,149,0,8,0
11,75,42.218848654," 75K",K,7,1,6,3,1,0,0,0,0,0,0,0,0,2,6,0,8,8,0,8,8,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,21,28,3,3,11,17,2,3,11,10,2,3,11,13,2,3,21,7,1,3,11,6,1,3,,,,,,,,,,,,,,,,,2,0,0,93,1,8,0
11,75,42.218848654," 75K",K,7,2,6,1,3,0,0,0,0,0,0,0,0,2,0,6,8,8,0,8,8,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,U,0,0,0,0,0,11,17,1,2,13,17,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,157,1,8,0
11,76,136.78906964," 76D",D,7,1,7,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,23,20,3,2,23,8,2,2,22,20,2,2,23,18,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,230,0,8,0
11,77,600.25088812," 77E",E,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,228,0,8,0
11,77,600.25088812," 77E",E,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,11,1,1,0
11,81,1292.1799544," 81H",H,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,U,0,8,0
11,82,1759.994888," 82E",E,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,92,0,0,0
11,83,60.805679398," 83J",J,7,1,6,3,3,3,3,0,0,0,0,0,0,2,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,11,17,6,2,13,17,6,2,12,17,4,2,11,1,3,1,11,2,3,2,11,10,2,3,12,3,2,2,13,3,1,2,13,19,1,2,12,19,1,2,2,15,8,U,1,1,1
11,84,60.805679398," 84J",J,7,1,98,3,1,0,3,1,0,0,0,0,0,4,6,6,8,6,6,8,8,0,0,0,0,0,0,0,0,1,2,2,0,2,2,0,0,1,4,2,0,U,U,0,0,11,12,4,1,12,12,3,1,11,2,3,2,12,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,209,1,8,8
11,84,60.805679398," 84J",J,7,2,6,3,1,3,3,U,0,0,0,0,0,U,U,U,U,U,U,8,8,U,U,U,U,U,0,0,0,U,U,U,U,U,U,0,0,U,U,U,U,U,U,0,0,11,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6,136,1,1,1
11,85,50.134882776," 85K",K,7,1,98,3,1,3,3,3,0,0,0,0,0,2,0,6,0,6,6,8,6,2,0,0,0,0,0,0,0,1,0,2,0,2,2,0,2,1,0,2,0,2,1,0,1,11,17,4,2,13,17,3,2,23,13,3,1,23,12,3,1,13,7,2,1,33,13,2,1,22,12,2,1,12,17,2,2,31,8,2,1,12,15,1,1,2,4,5,U,1,8,U
11,86,45.742315531," 86B",B,7,1,6,3,1,0,0,1,0,0,0,0,0,2,6,0,8,8,0,8,0,0,U,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,11,17,4,2,12,17,4,2,11,2,3,2,11,13,2,1,11,19,2,2,,,,,,,,,,,,,,,,,,,,,1,9,5,191,1,8,U
11,88,394.60938015," 88E",E,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,146,0,8,0
11,89,1793.071938," 89G",G,7,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,U,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,U,U,8,0
11,90,45.742315531," 90A",A,7,1,6,3,1,0,0,U,0,0,0,0,0,2,6,6,0,6,0,8,8,0,0,0,0,0,0,0,0,1,2,2,0,2,0,0,0,1,2,2,0,1,0,0,0,13,12,3,1,13,15,3,1,12,12,3,1,12,15,3,1,13,14,3,1,12,14,3,1,11,12,1,1,22,12,1,1,23,12,1,1,11,15,1,1,2,0,0,46,0,0,0
11,91,51.204782651," 91J",J,7,1,U,3,1,0,0,1,0,0,0,0,0,U,U,U,U,U,U,0,8,U,U,U,U,U,U,0,0,1,2,2,2,2,2,0,0,1,2,2,1,1,1,0,0,11,5,4,2,12,3,3,2,13,5,3,2,11,17,3,1,13,4,3,2,11,1,2,2,11,2,1,2,,,,,,,,,,,,,2,3,5,138,1,8,U
11,92,156.63192851," 92D",D,7,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,110,0,8,0
11,93,4826.1620444," 93H",H,7,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,57,0,8,0
11,93,4826.1620444," 93H",H,7,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,245,0,8,0
11,95,42.218848654," 95K",K,7,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,5,163,1,8,0
11,96,51.204782651," 96C",C,7,1,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0
11,96,51.204782651," 96C",C,7,2,7,1,1,0,0,1,0,0,0,0,0,0,0,0,8,8,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,175,0,8,8
11,97,427.18144828," 97F",F,7,1,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,129,0,8,0
11,98,869.87840497," 98G",G,7,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,58,0,0,8
11,100,45.742315531,100B,B,7,1,12,3,3,3,3,0,0,0,0,0,0,3,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,13,17,3,2,11,17,3,2,11,2,3,2,12,17,3,2,12,2,3,2,13,2,3,2,U,U,U,U,,,,,,,,,,,,,1,15,5,174,1,8,1
11,101,282.65040023,101C,C,7,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,108,0,8,0
11,102,43.696508357,102K,K,7,1,98,3,1,0,0,0,0,0,0,0,0,3,0,6,8,8,6,6,6,0,0,0,0,0,0,U,0,1,0,2,0,0,2,2,2,1,0,2,0,0,1,2,1,13,15,4,1,22,12,3,1,23,7,3,1,13,6,3,1,23,12,3,1,21,7,3,1,12,15,3,1,13,12,3,1,11,12,3,1,12,12,3,1,2,0,0,U,U,8,1
11,103,43.696508357,103K,K,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,6,124,0,8,0
11,104,2146.2674503,104E,E,7,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,32,0,0,U
11,105,74.150925876,105J,J,7,1,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,44,0,0,0
11,106,61.138170207,106K,K,7,1,6,1,3,0,0,0,0,0,0,0,0,2,0,6,0,0,0,8,8,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,22,20,3,2,23,20,3,2,21,20,3,2,13,5,3,2,13,4,2,2,12,3,1,2,,,,,,,,,,,,,,,,,1,0,0,142,1,8,0
11,107,61.138170207,107K,K,7,1,6,1,1,0,0,0,0,0,0,0,0,2,6,0,0,0,0,8,8,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,U,0,8,0
11,107,61.138170207,107K,K,7,2,98,3,3,3,1,0,0,0,0,0,0,2,6,6,0,0,0,0,0,U,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,2,2,0,0,0,0,0,11,10,3,3,11,27,3,3,11,17,3,3,21,10,1,3,21,17,1,3,11,7,1,3,,,,,,,,,,,,,,,,,1,0,0,242,0,8,0
11,108,51.204782651,108J,J,7,1,98,3,1,0,0,1,0,0,0,0,0,2,6,0,0,0,0,6,8,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,1,2,0,0,0,0,1,0,11,5,4,2,11,6,4,2,11,1,3,2,11,17,3,3,11,2,3,2,11,27,2,3,12,3,1,3,13,26,1,3,21,7,1,3,,,,,1,10,7,133,1,1,0
11,108,51.204782651,108J,J,7,2,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,U,0,0,0
11,109,51.204782651,109J,J,7,1,98,3,3,3,3,3,0,0,0,0,0,2,6,0,6,6,0,8,6,0,U,0,0,0,0,0,0,1,2,0,2,2,0,0,2,1,2,0,2,2,0,0,1,11,19,6,3,11,13,4,3,11,17,3,3,11,7,3,3,21,12,3,1,22,12,3,1,23,12,3,1,22,20,3,3,21,17,2,3,21,10,2,3,2,0,0,22,0,8,0
11,109,51.204782651,109J,J,7,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,U,0,0,0
11,110,42.218848654,110K,K,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,132,1,8,0
11,111,42.218848654,111K,K,7,1,98,U,2,1,1,1,0,4,0,0,0,U,0,6,0,0,0,8,0,U,0,U,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,13,4,4,2,13,5,3,2,23,12,3,1,12,3,3,2,23,13,3,1,13,15,3,1,13,12,3,1,12,17,3,2,13,13,2,1,12,15,2,1,1,3,5,299,1,8,U
11,112,134.67812721,112D,D,7,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,262,0,8,0
11,112,134.67812721,112D,D,7,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,94,1,8,0
11,113,2685.3988179,113G,G,7,1,7,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,6,8,8,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,13,15,1,1,13,12,1,1,23,18,1,1,23,12,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,130,0,8,0
11,114,45.742315531,114B,B,7,1,98,1,3,0,0,0,0,0,0,0,0,2,0,6,6,6,6,8,8,0,0,0,0,U,U,0,0,1,0,2,2,2,2,0,0,1,0,2,1,1,1,0,0,13,14,6,2,13,4,6,2,12,14,6,2,13,6,6,2,13,17,6,2,12,3,5,2,11,14,4,2,12,15,3,1,13,15,3,1,11,2,3,2,2,0,0,173,1,8,U
11,115,54.88450325,115D,D,7,1,6,3,1,1,1,0,0,0,0,0,0,U,6,0,0,0,U,0,U,U,U,0,0,0,0,0,0,1,2,0,0,0,2,0,2,1,2,0,0,0,1,0,1,11,6,5,3,11,10,4,3,11,27,2,3,11,17,2,3,12,6,2,3,,,,,,,,,,,,,,,,,,,,,1,0,0,253,1,8,0
11,116,54.88450325,116D,D,7,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,142,0,8,0
11,116,54.88450325,116D,D,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,177,0,8,8
11,117,537.42182203,117F,F,7,1,6,1,3,1,1,0,0,0,0,0,0,2,6,6,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,2,2,0,0,0,0,0,13,10,2,3,13,17,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,199,1,8,1
11,118,1094.3631546,118G,G,7,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,33,0,0,0
11,119,1691.107994,119H,H,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,264,0,8,0
11,120,63.493930487,120C,C,7,1,6,1,1,1,1,0,0,0,0,0,0,2,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,11,12,2,1,12,12,2,1,11,15,1,1,12,15,1,1,13,15,1,1,13,12,1,1,,,,,,,,,,,,,,,,,1,0,0,19,0,0,0
11,121,63.493930487,121C,C,7,1,0,1,1,0,0,0,0,0,0,0,0,U,0,U,U,U,U,8,8,0,0,0,0,0,0,0,0,U,0,U,U,U,U,0,0,U,0,U,U,U,U,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,37,0,8,0
11,122,63.493930487,122C,C,7,1,98,1,1,1,1,2,0,0,0,0,4,2,6,0,6,4,6,8,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,0,0,1,2,0,1,1,1,0,0,11,13,1,1,13,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,38,0,8,0
11,124,1565.7811289,124G,G,7,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,88,1,8,0
11,124,1565.7811289,124G,G,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,92,0,8,0
11,125,2419.5852837,125H,H,7,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,U,0,8,0
11,126,45.742315531,126B,B,7,1,2,2,3,3,3,0,2,0,0,0,0,U,U,U,U,U,U,8,8,U,U,0,0,0,0,0,0,U,U,U,U,U,U,0,0,U,U,U,U,U,U,0,0,11,5,5,2,12,5,4,2,11,2,2,2,13,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1,15,5,U,U,8,U
11,126,45.742315531,126B,B,7,2,6,3,1,0,0,0,0,0,0,0,0,2,6,0,0,0,0,8,8,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,11,2,3,2,11,14,3,2,13,5,2,2,11,6,2,2,13,17,1,1,11,15,1,2,12,3,1,2,13,4,1,2,11,5,1,2,12,14,1,2,2,0,0,61,1,0,U
11,128,65.030073967,128C,C,7,1,6,1,1,1,1,0,0,0,0,0,0,2,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,12,12,3,1,22,12,3,1,13,12,3,1,23,12,3,1,11,12,2,1,21,12,1,1,,,,,,,,,,,,,,,,,2,0,0,162,1,8,0
11,129,80.426906685,129D,D,7,1,0,1,1,0,0,1,0,0,0,0,0,2,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,53,0,0,0
11,129,80.426906685,129D,D,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,257,0,8,0
11,132,45.742315531,132B,B,7,1,98,2,3,0,0,0,4,0,0,0,0,U,6,6,8,8,6,8,6,U,U,U,0,0,U,0,U,1,2,2,0,0,2,0,2,1,U,2,0,0,1,0,U,11,17,3,3,13,4,2,2,12,3,2,2,11,2,1,2,U,U,U,U,,,,,,,,,,,,,,,,,,,,,1,98,10,268,1,8,1
11,132,45.742315531,132B,B,7,2,7,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,296,0,8,0
11,132,45.742315531,132B,B,7,4,98,2,3,0,0,0,4,0,0,0,0,4,6,6,0,0,6,0,6,2,0,0,0,0,0,0,0,1,2,2,0,0,2,0,2,1,2,2,0,0,1,0,2,11,13,4,1,11,15,4,1,11,6,4,1,12,15,4,1,13,15,3,1,13,6,2,3,U,U,U,U,,,,,,,,,,,,,2,4,6,326,1,8,0
11,133,51.204782651,133J,J,7,1,13,1,2,0,0,1,0,2,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0,0,0
11,135,42.218848654,135K,K,7,1,98,8,8,0,0,U,0,0,0,0,0,2,0,6,6,6,6,8,6,0,0,0,0,0,0,0,0,1,0,2,2,2,2,0,2,1,0,2,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,8,287,0,8,8
11,138,49.767639298,138B,B,7,1,98,2,3,3,U,0,8,0,0,0,0,2,6,6,6,6,6,8,6,0,0,0,0,0,0,0,0,1,2,2,2,2,2,0,2,1,2,2,2,2,1,0,1,23,12,4,3,13,12,3,3,23,13,2,1,23,10,2,3,13,15,1,1,13,13,1,1,,,,,,,,,,,,,,,,,2,0,0,313,1,8,U
11,140,69.638504405,140J,J,7,1,98,3,3,0,0,0,0,0,0,0,0,4,6,6,8,8,6,8,6,0,U,U,0,0,U,0,U,1,2,2,0,0,2,0,2,1,2,2,0,0,1,0,2,12,12,5,1,12,15,4,1,12,18,4,1,13,12,3,1,13,15,3,1,13,7,3,1,11,7,3,1,13,18,3,1,11,15,3,1,11,12,3,1,2,0,0,U,0,0,0
11,141,69.638504405,141J,J,7,1,6,1,3,1,3,0,0,0,0,0,0,2,0,6,0,6,0,8,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1,0,2,0,2,0,0,0,13,5,4,2,13,4,3,2,11,12,2,1,12,3,2,2,13,12,2,1,13,17,2,1,12,12,2,1,12,17,1,2,,,,,,,,,1,0,0,138,1,8,1
11,141,69.638504405,141J,J,7,2,6,1,3,1,3,0,0,0,0,0,0,2,0,6,0,6,0,8,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1,0,2,0,2,0,0,0,13,17,3,3,13,4,3,2,13,10,2,3,23,10,2,3,13,7,1,3,,,,,,,,,,,,,,,,,,,,,2,0,0,U,0,0,1
11,142,69.638504405,142J,J,7,1,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,5,3,2,12,5,3,2,13,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,89,1,8,0
11,143,57.417634169,143K,K,7,1,98,1,1,3,1,2,0,0,0,0,3,2,0,6,0,6,U,8,6,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,2,1,0,2,0,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,134,0,8,1
