PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GADEV1,OBJCONT,CLASS2,GADEV2
2,69,49.60352611," 69J",J,7,2,1,11,F,41,0,0
2,69,49.60352611," 69J",J,7,3,1,11,F,41,0,0
2,69,49.60352611," 69J",J,7,4,1,11,F,41,0,0
2,69,49.60352611," 69J",J,7,5,1,11,F,42,0,0
2,70,116.0722511," 70J",J,7,1,1,13,9,50,0,0
2,70,116.0722511," 70J",J,7,2,1,13,T,31,0,N
2,71,76.69946355," 71D",D,7,1,1,4,F,61,0,0
2,72,235.39329725," 72E",E,7,1,1,15,F,42,0,0
2,72,235.39329725," 72E",E,7,2,1,15,R,41,0,0
2,72,235.39329725," 72E",E,7,3,1,15,R,42,0,0
2,72,235.39329725," 72E",E,7,4,1,15,R,41,0,0
2,72,235.39329725," 72E",E,7,5,1,15,R,31,0,N
2,72,235.39329725," 72E",E,7,6,1,15,T,42,0,0
2,72,235.39329725," 72E",E,7,7,1,15,T,42,0,0
2,73,124.39600006," 73E",E,7,1,1,9,T,31,0,N
2,74,124.39600006," 74E",E,7,1,1,2,B,2,3,F
2,75,128.54299017," 75F",F,7,1,1,4,U,61,0,0
2,75,128.54299017," 75F",F,7,2,1,4,F,60,0,0
2,75,128.54299017," 75F",F,7,3,1,4,L,41,0,0
2,76,285.37429164," 76G",G,7,1,1,3,R,45,0,0
2,77,116.0722511," 77J",J,7,1,1,2,T,31,0,N
2,78,126.40839407," 78K",K,7,1,1,15,T,31,0,N
2,79,109.0575386," 79E",E,7,1,1,2,9,50,0,0
2,79,109.0575386," 79E",E,7,2,1,2,9,31,0,N
2,80,250.18664436," 80G",G,7,1,1,15,R,2,3,F
2,81,62.981787039," 81B",B,7,1,2,24,F,3,1,F
2,81,62.981787039," 81B",B,7,2,1,15,B,2,24,V
2,82,127.90911839," 82E",E,7,1,1,3,F,2,5,F
2,83,132.17322535," 83F",F,7,1,1,1,F,56,0,0
2,83,132.17322535," 83F",F,7,2,1,1,R,50,0,0
2,84,293.43366378," 84G",G,7,1,1,2,F,3,9,R
2,84,293.43366378," 84G",G,7,2,2,4,L,3,9,L
2,85,166.93598362," 85E",E,7,1,1,1,F,51,0,0
2,85,166.93598362," 85E",E,7,2,1,1,L,45,0,0
2,86,172.50112939," 86F",F,7,1,1,4,F,50,0,0
2,86,172.50112939," 86F",F,7,2,1,4,9,41,0,0
2,86,172.50112939," 86F",F,7,3,1,4,9,41,0,0
2,87,172.50112939," 87F",F,7,1,1,24,F,2,9,L
2,88,670.53419387," 88H",H,7,1,1,9,F,52,0,0
2,89,58.522404662," 89K",K,7,1,1,2,F,51,0,0
2,90,86.917948253," 90E",E,7,1,1,22,R,2,15,F
2,91,199.39666792," 91G",G,7,1,1,9,F,56,0,0
2,92,349.12458718," 92H",H,7,1,1,3,F,76,0,0
2,93,100.695158," 93C",C,7,1,2,21,F,63,0,0
2,93,100.695158," 93C",C,7,2,1,15,B,2,21,F
2,93,100.695158," 93C",C,7,3,1,15,F,54,0,0
2,94,105.9443458," 94E",E,7,1,1,9,F,60,0,0
2,95,109.47621302," 95F",F,7,1,1,9,9,76,0,0
2,96,425.54819498," 96H",H,7,1,1,9,R,41,0,0
2,97,29.15823474," 97A",A,7,1,1,1,9,58,0,0
