PSU,CASENO,RATWGT,AOPSVEH,CASEID,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKING,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,CARGOWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,DRUGS,EVALCLAS,SPECTEST,OBSNARC,SPECNARC,OBSDEPR,SPECDEPR,OBSSTIM,SPECSTIM,OBSHLUC,SPECHLUC,OBSCNAB,SPECCNAB,OBSPCP,SPECPCP,OBSINHL,SPECINHL,OBSOTH,SPECOTH,DRZIP,DRRACE,VEHUSE,ROLINTYP,ROLINLOC,ROLLOBJ,TRIPLOC,ROLINDIR,PREMOVE,PREEVENT,PRESTAB,CONSEQ
2,10,589.16878262,0," 10H",H,7,1,85,35,39,6,JN1HU15S4F,1,U,0,C,89,4,2,1,1,1,139,U,0,0,U,0,0,0,998,998,5,U,U,U,U,0,1,17,0,0,1,6,998,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12601,1,0,0,0,0,0,0,2,5,4,4
2,11,126.40839407,0," 11D",D,7,1,84,9,8,5,1P3BM48C9E,1,U,1,19,89,6,7,1,1,1,100,0,0,0,2,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12780,1,0,0,0,0,0,0,14,13,1,4
2,12,239.23689297,1," 12E",E,7,1,93,12,17,4,9999999999,1,U,0,C,89,U,2,1,2,2,140,14,0,0,0,U,0,0,997,997,5,U,U,U,U,0,0,U,0,1,2,4,N,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19809,1,0,U,U,U,U,U,U,13,U,U
2,13,548.82840957,0," 13G",G,7,1,93,14,399,4,9999999999,1,U,0,C,56,U,69,1,2,2,U,U,0,0,0,0,0,0,270,35,6,U,U,U,U,0,0,U,0,0,1,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33510,U,0,0,0,0,0,0,1,62,U,U
2,13,548.82840957,0," 13G",G,7,2,83,20,399,4,9999999999,0,U,0,C,56,U,68,1,1,0,U,U,0,0,0,0,0,0,35,270,6,U,U,U,U,0,0,U,N,N,1,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12568,U,0,0,0,0,0,0,10,15,U,U
2,14,960.9463083,0," 14H",H,7,1,89,7,472,30,9999999999,0,U,0,C,89,1,21,1,4,0,U,0,0,0,0,0,0,U,180,180,4,U,U,U,U,0,0,U,N,N,8,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5650,1,0,0,0,0,0,0,4,52,0,0
2,14,960.9463083,0," 14H",H,7,2,89,13,399,4,9999999999,1,U,0,C,89,U,20,1,1,1,U,U,0,0,0,0,U,0,180,180,4,U,U,U,U,0,0,U,0,0,1,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11377,U,U,0,0,0,0,0,1,50,U,U
2,15,126.40839407,1," 15D",D,7,1,91,20,2,4,1G1BN53E4M,1,U,0,C,89,1,89,1,2,2,177,0,0,0,0,0,0,0,90,180,5,U,U,U,U,0,2,17,0,1,1,6,108,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12466,U,0,0,0,0,0,0,1,17,0,0
2,15,126.40839407,0," 15D",D,7,2,85,20,16,4,1G1JD69PXF,1,U,0,C,89,6,88,1,2,2,108,0,0,0,0,0,0,0,180,90,5,U,U,U,U,0,1,17,0,2,2,4,177,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12547,U,0,0,0,0,0,0,1,66,1,4
2,16,107.70687549,0," 16F",F,7,1,88,12,471,30,1FTCR11T9J,1,U,0,C,89,1,7,1,2,2,139,2,0,0,0,1,0,0,997,997,5,U,U,U,U,0,1,17,0,1,8,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12417,1,0,1,4,61,1,2,13,5,0,0
2,17,239.11668195,0," 17G",G,7,1,85,20,481,40,1GBHC34W8F,0,0,8,E,89,97,62,0,0,0,U,U,0,0,0,0,0,0,200,100,4,U,U,U,U,0,2,17,N,N,8,N,126,4,N,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,8,0,0,0,0,0,98,62,8,8
2,17,239.11668195,1," 17G",G,7,2,93,37,32,4,1HGCB7550P,1,U,0,C,89,9,62,1,1,1,126,2,0,0,0,0,0,0,100,200,4,U,U,U,U,0,2,17,0,0,2,0,U,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12583,1,0,0,0,0,0,0,1,5,1,2
