PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHFORMS,MONTH,YEAR,TIME,EVENTS,ATREAT,AAIS,AINJSER,AINJURED,ALCINV,DAYWEEK,DRGINV,MANCOLL,PSUSTRAT,ADMINSS,PEDSTUDY,FIRESTDY
2,60,53.399520931," 60G",G,7,1,4,94,2150,1,0,0,0,0,2,1,2,0,3,0,0,0
2,61,62.981787039," 61A",A,7,3,4,94,1345,3,1,2,2,2,2,2,2,2,3,0,0,0
2,62,158.8800561," 62G",G,7,2,5,94,1510,1,0,0,0,0,2,4,2,U,3,0,0,0
2,63,278.18385621," 63H",H,7,1,5,94,800,2,0,0,0,0,2,3,2,0,3,0,0,0
2,64,278.18385621," 64H",H,7,1,4,94,430,2,U,7,0,1,2,7,2,0,3,0,0,0
2,65,68.230269292," 65B",B,7,1,5,94,225,2,1,6,1,2,2,3,2,0,3,0,0,0
2,66,116.0722511," 66C",C,7,1,5,94,555,3,4,1,0,1,2,1,2,0,3,0,0,0
2,67,127.76349182," 67F",F,7,2,5,94,1403,2,4,1,0,1,2,6,2,4,3,0,0,0
2,68,283.64375161," 68G",G,7,1,5,94,1050,3,0,0,0,0,2,6,2,0,3,0,0,0
2,69,49.60352611," 69J",J,7,1,5,94,1210,5,3,4,1,2,2,7,2,0,3,0,0,0
2,70,116.0722511," 70J",J,7,1,5,94,650,2,3,5,1,2,2,7,2,0,3,0,0,0
2,71,76.69946355," 71D",D,7,1,5,94,500,1,4,1,0,1,2,2,2,0,3,0,0,0
2,72,235.39329725," 72E",E,7,1,5,94,1655,7,4,1,0,1,2,3,2,0,3,0,0,0
2,73,124.39600006," 73E",E,7,1,5,94,1305,1,4,1,0,2,2,2,2,0,3,0,0,0
2,74,124.39600006," 74E",E,7,2,5,94,1630,1,4,1,0,5,2,3,2,1,3,0,0,0
2,75,128.54299017," 75F",F,7,1,5,94,416,3,4,1,0,1,2,3,2,0,3,0,0,0
2,76,285.37429164," 76G",G,7,1,5,94,850,1,0,0,0,0,2,4,2,0,3,0,0,0
2,77,116.0722511," 77J",J,7,1,5,94,1715,1,3,3,1,3,2,6,2,0,3,0,0,0
2,78,126.40839407," 78K",K,7,1,5,94,830,1,3,1,0,1,2,4,2,0,3,0,0,0
2,79,109.0575386," 79E",E,7,1,5,94,1350,2,4,1,0,1,2,3,2,0,3,0,0,0
2,80,250.18664436," 80G",G,7,2,6,94,1336,1,0,0,0,0,2,5,2,4,3,0,0,0
2,81,62.981787039," 81B",B,7,3,5,94,1440,2,1,2,1,5,2,6,2,2,3,0,0,0
2,82,127.90911839," 82E",E,7,2,5,94,741,1,3,3,2,2,2,2,1,2,3,0,0,0
