PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,ALTVEH,FIRE,FIREORIG,FUELTNK1,FUELTNK2,FUELLOC1,FUELLOC2,FUELCAP1,FUELCAP2,FUELDAM1,FUELDAM2,FUELEAK1,FUELEAK2,FUELTYP1,FUELTYP2,FUELGT2
2,32,69.346123404," 32D",D,7,2,1,1,12,F,R,A,E,7,,,,,,,,,150,0,0,0,1,4,30,54,,,,,,,,,0,1,257,0,0,0,1,0,4,0,3,0,1,0,U,0,1,0,0
2,34,854.85985587," 34H",H,7,2,1,1,12,F,L,E,E,8,,,,,,,,,152,10,3,2,2,0,0,-63,,,,,,,,,0,1,243,0,0,0,1,0,4,0,2,0,1,0,1,0,1,0,0
2,35,107.1436164," 35C",C,7,1,1,2,2,R,P,E,W,3,,,,,,,,,207,0,12,23,23,9,0,-45,,,,,,,,,0,1,257,0,0,0,1,0,5,0,3,0,1,0,1,0,1,0,0
2,35,107.1436164," 35C",C,7,2,1,1,12,F,Z,E,W,1,,,,,,,,,149,0,0,0,3,9,14,13,,,,,,,,,0,1,239,0,0,0,1,0,4,0,3,0,1,0,1,0,1,0,0
2,38,1215.1786499," 38H",H,7,1,1,31,0,T,D,D,O,2,,,,,,,,,,,,,,,,,,,,,,,,,0,1,240,0,0,0,1,0,1,0,3,0,1,0,1,0,2,0,0
2,39,80.768310231," 39B",B,7,1,2,31,0,T,Y,D,O,2,1,64,12,F,D,A,W,1,,,,,,,,,,,,,,,,,0,1,269,0,0,0,1,0,4,0,3,0,1,0,U,0,1,0,0
2,40,107.1436164," 40C",C,7,1,1,2,11,F,D,E,W,3,,,,,,,,,192,0,4,16,26,6,0,24,,,,,,,,,0,1,278,0,0,0,2,0,1,0,2,0,1,0,1,0,1,0,0
2,40,107.1436164," 40C",C,7,2,1,1,1,F,Z,E,W,2,,,,,,,,,152,0,0,5,15,17,30,29,,,,,,,,,0,1,239,0,0,0,1,0,4,0,3,0,1,0,1,0,1,0,0
2,41,112.1815975," 41D",D,7,1,1,2,6,B,Y,E,W,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,350,1,0,0,1,0,4,0,8,0,1,0,1,0,2,0,0
2,41,112.1815975," 41D",D,7,2,1,1,12,F,Z,E,W,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,246,0,0,0,1,0,1,0,3,0,1,0,1,0,1,0,0
