PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,OCCFORMS,VEHROLE,TOWAWAY,MODELYR,MAKE,MODEL,BODYTYPE,TOWHITCH,CABCONF,SEATCAP,DROMEDRY,AXLESP,AXLEST1,AXLEST2,AXLEST3,BRAKETY,GVWR,VEHSEQ1,VEHSEQ2,VEHSEQ3,VEHSEQ4,OBJCONT1,OBJCONT2,OBJCONT3,OBJCONT4,DOF1,DOF2,DOF3,DOF4,GAD1,GAD2,GAD3,GAD4,SHL1,SHL2,SHL3,SHL4,SVL1,SVL2,SVL3,SVL4,TDD1,TDD2,TDD3,TDD4,EXTENT1,EXTENT2,EXTENT3,EXTENT4,ACCSEQ1,ACCSEQ2,ACCSEQ3,ACCSEQ4,VIN,REGISTRA,SPECUSE,ODOMETER,PCINTEG,PCINTRU,MAGINTRU,FIRE,IMPTYPE,OTHROLE,ROLLOVER,JACKNIFE,SAFETYB,HAZCARGO,CURBWGT,CARGOWGT,SOURCWGT,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,TRAVELSP,VEHRF1,VEHRF2,VEHRF3,DRIVE,VAIS,OTVEHWGT,SHORT,VINJSER,VINJURED,VINLNGTH,VTREAT,PSUWGT,NATWGT,RATWGT,WHEELSHT,WHEELLNG
85,032W,32,W,3,5,1,2,1,2,79,20,9,2,0,0,4,0,0,0,0,0,0,0,1,,,,2,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,1Q87G9L616,1,0,29,1,1,0,0,1,3,0,0,0,0,35,0,0,5,U,U,U,U,,,,,,,,,U,0,0,0,1,0,39,0,0,0,13,6,29.75,413.67,512.26,108.0,U
85,032W,32,W,3,5,2,2,2,1,73,18,1,2,0,0,5,0,0,0,0,0,0,0,1,,,,1,,,,6,,,,B,,,,D,,,,E,,,,W,,,,01,,,,1,,,,4J57J3Z115,1,0,119,1,1,0,0,4,1,0,0,0,0,39,0,0,5,U,U,U,U,,,,,,,,,U,0,0,0,1,0,35,0,0,0,13,6,29.75,413.67,512.26,112.0,U
85,033P,33,P,3,5,1,1,1,2,73,20,1,4,0,0,6,0,0,0,0,0,0,0,1,,,,2,,,,1,,,,F,,,,Z,,,,E,,,,W,,,,01,,,,1,,,,1D29H3Z482,1,0,87,1,1,0,0,1,2,0,0,0,0,37,U,U,1,15,-10,-10,354,145,0,0,0,1,16,16,,U,0,0,0,1,7,43,0,0,1,13,U,4.71,65.49,77.22,112.0,116.0
85,033P,33,P,3,5,2,2,2,1,80,12,74,40,0,0,2,0,0,0,0,0,0,0,1,,,,1,,,,10,,,,L,,,,P,,,,E,,,,W,,,,01,,,,1,,,,E25EBJA158,1,0,53,1,4,1,0,2,1,0,0,0,0,43,2,2,1,12,-6,10,77,208,0,5,8,3,1,0,,U,0,0,0,8,1,37,0,0,1,11,6,4.71,65.49,77.22,U,U
85,034T,34,T,3,5,1,2,1,2,79,37,33,2,0,0,4,0,0,0,0,0,0,0,1,2,,,57,57,,,10,8,,,F,B,,,D,L,,,E,E,,,W,W,,,02,03,,,1,2,,,SNF1023783,1,0,47,1,1,0,0,1,6,0,0,0,0,21,0,0,1,29,-15,25,989,147,39,36,30,25,23,20,,U,0,0,0,2,1,998,0,0,2,10,4,5.38,74.81,64.19,91.3,U
85,035W,35,W,3,5,1,1,1,2,75,20,11,3,0,0,4,0,0,0,0,0,0,0,1,,,,2,,,,10,,,,F,,,,D,,,,E,,,,W,,,,01,,,,1,,,,1V77B5U193,1,0,135,1,1,0,0,1,2,0,0,0,0,25,0,2,1,21,-10,18,571,157,17,17,17,19,24,25,0,U,0,0,0,1,1,35,0,0,1,13,6,18.84,261.97,324.41,97.0,U
85,035W,35,W,3,5,2,1,3,3,68,21,1,4,0,0,6,0,0,0,0,0,0,0,2,1,,,3,1,,,12,1,,,F,R,,,Z,Y,,,E,E,,,W,W,,,01,01,,,2,1,,,336698Z123,1,0,128,1,3,2,0,1,1,0,0,0,0,35,U,U,1,23,-23,0,370,183,4,10,20,20,15,11,0,U,0,0,0,1,U,33,0,0,0,13,U,18.84,261.97,324.41,116.0,U
85,035W,35,W,3,5,3,2,1,2,80,21,1,2,0,0,4,0,0,0,0,0,0,0,1,,,,2,,,,12,,,,F,,,,Z,,,,E,,,,W,,,,02,,,,2,,,,3M47AAM422,1,0,48,1,1,0,0,1,1,0,0,0,0,33,0,0,1,23,-23,2,306,178,2,8,19,19,19,18,0,U,0,0,0,1,0,35,0,0,0,13,6,18.84,261.97,324.41,108.1,U
85,036Z,36,Z,3,5,1,1,1,1,U,U,0,9,0,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,U,U,U,U,U,U,U,U,U,U,998,1,0,0,0,U,582.42,8098.55,7428.88,U,U
85,037M,37,M,3,5,1,2,1,1,76,85,83,72,0,1,32,0,3,8,8,8,U,6,1,,,,2,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,896485C,1,0,U,U,U,U,0,1,3,0,0,0,0,U,0,0,3,U,U,U,U,,,,,,,,,U,0,0,0,8,0,18,0,0,0,7,6,5.93,82.46,73.56,U,U
