H01,H02,H02A,H02B,H03,H05,H07,H08,H09,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V32
77,251L,251,L,3,3,1,8.88,349.54,1,1,2,78,1,37,2,0,0,0,34,12,F,Z,E,W,03,,,,,,,,1T27M8R458,1,0,38,2,1,0,0,1,6,0,0,0,31,0,0,1,96,96,96,U,0,1,1,0
77,252I,252,I,3,3,1,20.46,805.32,1,1,2,72,1,0,50,0,0,0,2,11,F,D,E,W,01,,,,,,,,CCE1425189,1,0,92,3,1,0,0,1,2,0,0,0,37,1,2,2,15,-13,8,296,0,0,0,0
77,252I,252,I,3,3,2,20.46,805.32,2,2,2,75,1,6,2,0,0,0,1,2,R,P,A,W,03,,,,,,,,1H57H5R515,1,0,68,1,3,2,0,3,1,0,0,0,40,0,0,2,14,-7,-12,173,0,0,2,0
77,253J,253,J,3,3,1,81.84,3221.27,1,1,1,78,1,0,50,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,253J,253,J,3,3,2,81.84,3221.27,3,1,1,78,5,58,4,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,254N,254,N,3,3,1,163.67,6442.54,1,1,1,78,12,11,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,254N,254,N,3,3,2,163.67,6442.54,1,2,1,79,6,39,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,255I,255,I,3,3,1,28.50,1121.85,2,1,2,69,2,0,50,0,0,0,38,0,U,F,C,N,01,38,12,F,C,L,N,01,F10YKF5497,1,0,149,1,1,0,0,5,6,0,0,0,35,0,0,1,96,96,96,U,0,0,0,0
77,256M,256,M,3,3,1,45.60,1794.95,1,1,2,78,3,28,2,0,0,0,31,12,F,Y,E,W,01,,,,,,,,2W87Z8N124,1,0,30,1,1,0,0,1,6,0,0,0,34,0,0,1,96,96,96,U,0,0,1,0
77,257N,257,N,3,3,1,228.00,8974.76,2,0,1,79,2,6,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,
77,258I,258,I,3,3,1,35.44,1394.93,3,1,1,79,1,6,2,0,0,0,2,1,F,Z,E,W,01,,,,,,,,1Z37J9R450,1,0,15,1,1,0,0,1,2,0,0,0,32,0,0,2,13,-11,-7,69,0,0,0,0
77,258I,258,I,3,3,2,35.44,1394.93,1,2,2,67,2,0,50,0,0,0,1,10,L,Z,E,W,03,,,,,,,,F104KA5741,1,0,104,1,1,0,0,2,1,0,0,0,35,0,0,2,13,-9,9,215,0,0,1,0
77,259N,259,N,3,3,1,283.50,11159.41,1,1,1,78,1,2,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,259N,259,N,3,3,2,283.50,11159.41,1,2,1,74,9,6,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,260F,260,F,3,3,1,21.92,862.71,2,1,2,70,21,0,15,0,0,0,1,,,,,,,,,,,,,,S90820200,1,0,U,0,0,0,0,1,2,0,0,0,3,0,0,1,96,96,96,U,0,1,2,0
77,260F,260,F,3,3,2,21.92,862.71,1,2,1,70,1,19,6,0,0,0,1,10,L,F,E,E,01,,,,,,,,156360D199,1,0,104,1,1,0,0,2,1,0,0,0,43,3,1,1,96,96,96,U,0,0,0,0
77,261L,261,L,3,3,1,10.52,414.10,1,1,3,74,1,6,2,0,0,0,2,12,F,Y,E,W,01,,,,,,,,1H57H4R437,1,0,125,1,1,0,0,1,3,0,0,0,40,0,0,1,96,96,96,U,0,0,0,0
77,261L,261,L,3,3,2,10.52,414.10,0,2,3,79,2,20,2,0,0,0,1,U,9,9,9,9,99,,,,,,,,9U62H10938,1,0,22,1,1,0,0,4,1,0,0,0,39,0,0,0,U,U,U,U,0,0,0,0
77,262M,262,M,3,3,1,52.60,2070.49,1,1,3,67,2,20,2,0,0,0,2,1,F,D,E,W,01,,,,,,,,7A62H19730,1,0,179,1,1,0,0,1,2,0,0,0,37,0,0,1,96,96,96,U,0,0,0,0
77,262M,262,M,3,3,2,52.60,2070.49,1,2,1,79,10,2,3,0,0,0,1,U,9,9,9,9,99,,,,,,,,6D69S9C391,1,0,17,1,1,0,0,2,1,0,0,0,43,0,0,0,U,U,U,U,0,0,1,0
77,263J,263,J,3,3,1,103.50,4074.07,1,1,1,76,2,0,51,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,263J,263,J,3,3,2,103.50,4074.07,1,2,1,80,10,13,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,264L,264,L,3,3,1,8.28,325.93,1,1,2,73,3,18,3,0,0,0,46,0,T,D,D,O,06,44,12,F,D,E,W,01,2N39R3X170,1,0,69,6,7,3,0,5,0,1,0,0,45,U,U,1,96,96,96,U,0,0,1,0
77,265N,265,N,3,3,1,207.00,8148.14,1,1,1,76,1,31,4,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,265N,265,N,3,3,2,207.00,8148.14,1,2,1,74,1,31,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,266D,266,D,3,3,1,10.38,408.59,2,1,2,79,68,0,15,0,0,0,2,,,,,,,46,,,,,,,2F0168759,1,0,11,0,0,0,0,1,2,0,0,0,5,U,U,1,96,96,96,U,1,1,2,0
77,266D,266,D,3,3,2,10.38,408.59,2,2,2,75,8,7,4,0,0,0,1,69,L,F,E,E,04,,,,,,,,1753108151,1,0,65,1,1,0,0,2,8,0,0,0,18,0,0,1,96,96,96,U,0,0,0,0
77,267L,267,L,3,3,1,10.38,408.59,2,3,2,74,1,2,2,0,0,0,31,31,F,Z,E,W,03,2,11,L,P,E,S,01,1X27H4L171,1,0,79,3,1,0,0,1,6,0,0,0,34,0,0,2,25,-24,-6,640,0,1,2,0
77,267L,267,L,3,3,2,10.38,408.59,1,1,3,79,2,56,2,0,0,0,43,3,R,D,E,W,02,1,12,F,L,E,E,01,9K93T11358,1,0,32,1,1,0,0,3,6,0,0,0,30,0,0,2,13,-3,-12,559,0,0,0,1
