H01,H02,H02A,H02B,H03,H05,H07,H08,H09,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V32
1,001N,1,N,3,3,1,1368.00,8606.09,2,1,1,72,3,13,6,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,001N,1,N,3,3,2,1368.00,8606.09,1,2,1,78,2,55,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,001N,1,N,3,3,3,1368.00,8606.09,5,2,1,75,2,0,51,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,002K,2,K,3,3,1,16.32,102.67,1,3,2,75,5,7,2,0,0,0,2,81,F,Z,E,W,03,2,3,R,B,E,N,01,VL29B4B300,1,0,52,2,8,3,0,1,1,0,0,0,31,0,0,2,51,-39,-33,1192,1,1,1,1
1,002K,2,K,3,3,2,16.32,102.67,2,3,2,76,2,49,2,0,0,0,1,71,F,D,E,W,03,1,9,L,P,M,N,01,6G21H24000,1,0,43,1,1,0,0,1,1,0,0,0,43,0,0,2,35,-30,18,2592,0,0,1,0
1,002K,2,K,3,3,3,16.32,102.67,2,1,1,72,26,10,3,0,0,0,1,U,9,9,9,9,99,,,,,,,,9999999999,2,0,U,U,U,U,0,1,3,0,0,0,37,0,0,0,U,U,U,U,0,0,0,0
1,003H,3,H,3,3,1,29.28,184.20,2,1,1,75,2,0,50,0,0,0,2,U,9,9,9,9,99,,,,,,,,P35BV10000,1,0,U,U,U,U,0,1,1,0,0,0,U,U,U,0,U,U,U,U,0,0,2,0
1,003H,3,H,3,3,2,29.28,184.20,1,2,2,77,26,9,3,0,0,0,1,U,9,9,9,9,99,,,,,,,,1160244 00,1,0,28,1,1,0,0,1,1,0,0,0,39,0,0,1,96,96,96,U,0,0,1,0
1,004N,4,N,3,3,1,732.00,4605.01,1,1,1,73,7,1,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,004N,4,N,3,3,2,732.00,4605.01,2,1,1,80,4,5,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,005N,5,N,3,3,1,1020.00,6416.82,1,1,1,75,3,6,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,005N,5,N,3,3,2,1020.00,6416.82,2,1,1,80,6,2,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,006N,6,N,3,3,1,408.00,2566.73,2,1,1,75,2,11,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,006N,6,N,3,3,2,408.00,2566.73,1,2,1,76,7,33,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,006N,6,N,3,3,3,408.00,2566.73,1,3,U,76,31,11,1,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,006N,6,N,3,3,4,408.00,2566.73,1,3,1,75,2,32,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,006N,6,N,3,3,5,408.00,2566.73,1,2,1,73,1,2,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,007N,7,N,3,3,1,408.00,2566.73,3,1,1,74,1,8,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,007N,7,N,3,3,2,408.00,2566.73,1,2,1,74,5,7,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,008C,8,C,3,3,1,105.60,664.33,1,1,1,78,13,4,2,0,0,0,2,12,F,Z,E,W,01,,,,,,,,8Y89S82000,1,0,36,1,1,0,0,1,3,0,0,0,48,0,0,1,96,96,96,U,0,0,0,0
1,009L,9,L,3,3,1,21.12,132.87,1,1,2,76,4,13,2,0,0,0,2,U,9,9,9,9,99,,,,,,,,4X37Y6H000,1,0,64,1,1,0,0,1,3,0,0,0,48,0,0,0,U,U,U,U,0,0,1,0
1,009L,9,L,3,3,2,21.12,132.87,2,3,1,77,13,4,2,0,0,0,1,6,B,D,E,W,01,3,12,F,D,E,W,01,7Y89A80000,1,0,55,1,1,0,0,4,1,0,0,0,49,0,0,1,96,96,96,U,0,0,2,0
1,009L,9,L,3,3,3,21.12,132.87,2,2,1,79,97,0,3,0,0,0,2,U,9,9,9,9,99,,,,,,,,A110000,1,1,U,U,U,U,0,4,1,0,0,0,U,U,U,0,U,U,U,U,0,0,2,0
1,010N,10,N,3,3,1,528.00,3321.65,1,1,1,73,3,4,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,
1,011N,11,N,3,3,1,1104.00,6945.26,1,1,1,79,7,31,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,012H,12,H,3,3,1,40.32,253.65,2,1,1,76,6,1,2,0,0,0,2,12,F,D,E,W,01,,,,,,,,3J57R6M000,1,0,61,1,1,0,0,1,3,0,0,0,39,0,0,1,96,96,96,U,0,0,1,0
1,012H,12,H,3,3,2,40.32,253.65,1,2,1,79,85,0,57,1,1,0,1,6,B,D,L,R,0A,,,,,,,,E2327J6A00,1,0,U,1,1,0,0,4,1,0,1,0,U,640,1,1,96,96,96,U,0,0,0,0
1,013J,13,J,3,3,1,246.00,1547.59,1,1,1,74,7,0,51,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,013J,13,J,3,3,2,246.00,1547.59,2,1,1,73,5,7,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,014L,14,L,3,3,1,24.00,150.98,1,1,2,74,15,9,2,0,0,0,37,12,F,L,E,N,04,37,12,F,R,E,E,01,HLB2100000,1,0,69,1,2,2,0,1,6,0,0,0,19,0,0,1,96,96,96,U,0,0,1,0
1,015N,15,N,3,3,1,600.00,3774.60,1,1,1,75,3,28,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,015N,15,N,3,3,2,600.00,3774.60,1,2,1,73,8,2,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,016J,16,J,3,3,1,354.00,2227.01,1,1,1,75,U,0,60,U,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,016J,16,J,3,3,2,354.00,2227.01,1,3,1,76,12,1,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,
1,016J,16,J,3,3,3,354.00,2227.01,1,2,1,80,6,3,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,
1,017L,17,L,3,3,1,22.56,141.92,1,1,2,78,1,6,2,0,0,0,2,12,F,R,E,E,06,47,10,L,B,E,E,02,1Z3748K000,2,0,26,3,3,3,0,1,3,0,0,0,33,0,0,1,96,96,96,U,0,0,1,0
1,017L,17,L,3,3,2,22.56,141.92,2,2,U,77,3,22,2,0,0,0,1,U,9,9,9,9,99,,,,,,,,2 57L4P000,1,0,U,U,U,U,0,4,1,0,0,0,39,U,U,0,U,U,U,U,0,0,1,0
1,018J,18,J,3,3,1,84.00,528.44,1,1,1,79,84,0,50,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,019L,19,L,3,3,1,85.44,537.50,1,1,2,77,6,19,2,0,0,0,46,0,T,D,D,O,04,35,0,T,F,D,N,07,3J57R7R188,1,0,44,1,7,2,0,5,6,1,0,0,37,0,0,1,96,96,96,U,0,0,1,0
1,020N,20,N,3,3,1,2136.00,13437.58,1,1,1,76,7,18,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,021J,21,J,3,3,1,204.00,1283.36,3,1,1,78,1,0,51,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,021J,21,J,3,3,2,204.00,1283.36,2,2,U,79,8,19,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,022N,22,N,3,3,1,360.00,2264.76,2,1,1,77,1,37,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,022N,22,N,3,3,2,360.00,2264.76,2,2,1,78,97,0,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,023N,23,N,3,3,1,324.00,2038.28,1,1,1,76,10,2,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,023N,23,N,3,3,2,324.00,2038.28,1,2,1,62,2,1,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,634N,634,N,3,3,1,640.18,4027.38,1,1,1,U,U,0,U,U,U,0,31,,,,,,,0,,,,,,,9999999,U,U,U,U,U,U,0,U,U,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,635N,635,N,3,3,1,375.98,2365.29,1,1,U,74,1,U,2,0,0,0,2,U,9,9,9,9,99,0,,,,,,,IQ87H4N,1,0,U,1,1,0,0,1,3,0,1,0,34,0,0,0,U,U,U,U,0,0,0,0
1,635N,635,N,3,3,2,375.98,2365.29,1,3,U,71,5,U,2,0,0,0,1,U,9,9,9,9,99,3,12,F,C,E,W,01,VL29B16,1,0,60,1,1,0,0,4,1,0,1,0,31,0,0,0,U,U,U,U,0,0,1,0
1,635N,635,N,3,3,3,375.98,2365.29,1,2,U,U,U,0,U,U,U,0,2,,,,,,,0,,,,,,,9999999,U,U,U,U,U,U,0,4,1,0,1,0,U,U,U,0,U,U,U,U,0,0,1,0
1,636J,636,J,3,3,1,323.49,2035.10,1,1,U,U,U,0,59,U,19,0,2,,,,,,,0,,,,,,,9999999,1,0,U,U,U,U,0,U,U,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,636J,636,J,3,3,2,323.49,2035.10,3,2,U,79,1,U,6,0,0,0,1,U,9,9,9,9,99,0,,,,,,,1N35G9J,1,0,U,U,U,U,0,U,U,0,1,0,34,U,U,0,U,U,U,U,0,0,0,0
1,637N,637,N,3,3,1,646.99,4070.21,2,1,U,70,10,U,3,0,0,0,2,U,9,9,9,9,99,0,,,,,,,B023753,1,0,U,U,U,U,0,1,2,0,1,0,48,U,U,0,U,U,U,U,0,0,0,0
1,637N,637,N,3,3,2,646.99,4070.21,2,2,U,70,6,U,2,0,0,0,1,U,9,9,9,9,99,0,,,,,,,336870M,1,0,U,U,U,U,0,2,1,0,1,0,36,U,U,0,U,U,U,U,0,0,0,0
1,638N,638,N,3,3,1,646.99,4070.21,2,1,U,79,6,U,6,0,0,0,2,U,9,9,9,9,99,0,,,,,,,3Q35K9X,1,0,6,1,1,0,0,1,2,0,1,0,41,0,0,0,U,U,U,U,0,0,0,0
1,638N,638,N,3,3,2,646.99,4070.21,2,2,U,73,16,U,2,0,0,0,1,U,9,9,9,9,99,0,,,,,,,9999999,1,0,U,U,U,U,0,2,1,0,1,0,23,U,U,0,U,U,U,U,0,0,0,0
1,639N,639,N,3,3,1,1188.91,7479.42,1,1,1,U,U,0,U,U,U,0,31,,,,,,,0,,,,,,,9999999,U,U,U,U,U,U,U,U,U,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,640N,640,N,3,3,1,599.53,3771.67,1,1,U,74,2,U,6,0,0,0,2,U,9,9,9,9,99,0,,,,,,,4G72510,1,0,U,U,U,U,0,U,4,0,1,0,48,U,U,0,U,U,U,U,0,0,0,0
1,640N,640,N,3,3,2,599.53,3771.67,1,2,U,79,4,U,2,0,0,0,1,U,9,9,9,9,99,0,,,,,,,4X37K9H,1,0,U,U,U,U,0,U,4,0,1,0,40,U,U,0,U,U,U,U,0,0,0,0
1,641N,641,N,3,3,1,1260.04,7926.90,1,1,U,73,2,U,3,0,0,0,2,U,9,9,9,9,99,0,,,,,,,3H40H98,1,0,U,U,U,U,0,1,3,0,1,0,33,U,U,0,U,U,U,U,0,0,0,0
1,641N,641,N,3,3,2,1260.04,7926.90,2,2,U,76,1,U,2,0,0,0,1,U,9,9,9,9,99,0,,,,,,,1B08164,1,0,U,U,U,U,0,4,1,0,1,0,35,U,U,0,U,U,U,U,0,0,0,0
1,642N,642,N,3,3,1,1006.00,6328.74,1,1,U,U,84,0,27,0,0,0,2,,,,,,,0,,,,,,,9999999,1,0,U,U,U,U,0,U,4,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,642N,642,N,3,3,2,1006.00,6328.74,3,2,U,74,4,U,2,0,0,0,1,U,9,9,9,9,99,0,,,,,,,9999999,1,0,U,U,U,U,0,U,4,0,1,0,47,U,U,0,U,U,U,U,0,0,0,0
1,643J,643,J,3,3,1,259.12,1630.13,1,1,U,77,84,0,60,U,U,0,2,,,,,,,0,,,,,,,TJC9072,1,0,U,U,U,U,0,U,4,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,643J,643,J,3,3,2,259.12,1630.13,1,1,U,75,10,U,2,0,0,0,1,6,L,Z,E,S,02,0,,,,,,,6D47S5Q,1,0,U,1,1,0,0,2,4,0,1,0,51,U,U,1,96,96,96,U,0,0,0,0
1,644N,644,N,3,3,1,518.24,3260.26,2,1,1,73,3,U,9,0,0,0,31,U,9,9,9,9,99,0,,,,,,,9999999,1,U,U,U,U,U,U,U,U,0,1,0,43,U,U,0,U,U,U,U,0,0,0,0
1,645J,645,J,3,3,1,83.83,527.39,1,3,U,73,16,U,2,0,0,0,2,U,9,9,9,9,99,4,U,9,9,9,9,99,RA21112,2,0,U,U,U,U,0,U,U,0,1,0,23,U,U,0,U,U,U,U,0,0,0,0
1,645J,645,J,3,3,2,83.83,527.39,1,3,U,77,4,U,2,0,0,0,1,U,9,9,9,9,99,5,U,9,9,9,9,99,4J57H7H,2,0,U,U,U,U,0,U,U,0,1,0,36,U,U,0,U,U,U,U,0,0,1,0
1,645J,645,J,3,3,3,83.83,527.39,1,3,U,77,1,U,2,0,0,0,5,U,9,9,9,9,99,4,U,9,9,9,9,99,1L747C1,1,0,U,U,U,U,0,4,1,0,1,0,37,U,U,0,U,U,U,U,0,0,1,0
1,645J,645,J,3,3,4,83.83,527.39,1,3,U,76,2,U,3,0,0,0,3,U,9,9,9,9,99,1,U,9,9,9,9,99,6X12Y27,2,0,U,U,U,U,0,U,U,0,1,0,26,U,U,0,U,U,U,U,0,0,0,0
1,645J,645,J,3,3,5,83.83,527.39,1,1,U,77,1,0,57,U,U,0,4,,,,,,,2,,,,,,,CEE677V,2,0,U,U,U,U,0,U,U,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,646N,646,N,3,3,1,167.67,1054.79,1,1,U,64,4,U,3,0,0,0,2,12,F,L,E,E,01,0,,,,,,,6K40432,1,0,158,1,1,0,0,1,2,0,1,0,42,0,0,1,96,96,96,U,0,0,0,0
1,646N,646,N,3,3,2,167.67,1054.79,2,2,U,77,12,U,3,0,0,0,1,U,9,9,9,9,99,0,,,,,,,CL43N7D,1,U,U,U,U,U,0,3,1,0,1,0,49,U,U,0,U,U,U,U,0,0,0,0
1,647N,647,N,3,3,1,365.82,2301.36,2,1,U,70,U,0,3,0,0,0,2,U,9,9,9,9,99,0,,,,,,,0482A80,1,0,U,U,U,U,0,1,3,0,1,0,49,U,U,0,U,U,U,U,0,0,0,0
1,647N,647,N,3,3,2,365.82,2301.36,2,2,U,77,7,U,3,0,0,0,1,U,9,9,9,9,99,0,,,,,,,DK41K7D,1,0,U,U,U,U,0,4,1,0,1,0,40,U,U,0,U,U,U,U,0,0,2,0
1,648N,648,N,3,3,1,274.36,1726.02,1,1,1,U,U,0,U,U,U,0,31,,,,,,,0,,,,,,,9999999,U,U,U,U,U,U,U,U,U,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,649J,649,J,3,3,1,187.99,1182.64,1,1,U,75,1,0,50,0,0,0,2,U,9,9,9,9,99,31,U,9,9,9,9,99,9999999,1,0,U,U,U,U,0,1,1,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,649J,649,J,3,3,2,187.99,1182.64,1,1,U,69,3,U,2,0,0,0,1,U,9,9,9,9,99,0,,,,,,,9999999,0,0,U,U,U,U,0,1,1,0,1,0,38,U,U,0,U,U,U,U,0,0,0,0
1,650J,650,J,3,3,1,252.36,1587.62,3,1,U,69,2,0,51,0,0,0,31,U,9,9,9,9,99,0,,,,,,,E146421,1,0,U,U,U,U,0,1,6,0,1,0,38,U,U,0,U,U,U,U,0,0,0,0
1,651N,651,N,3,3,1,504.73,3175.24,1,1,U,76,3,U,2,0,0,0,31,U,9,9,9,9,99,0,,,,,,,2M27C7G,1,0,U,U,U,U,0,1,6,0,1,0,27,U,U,0,U,U,U,U,0,0,0,0
1,652N,652,N,3,3,1,504.73,3175.24,1,1,U,76,6,U,2,0,0,0,2,U,9,9,9,9,99,0,,,,,,,3G37R6M,1,0,U,U,U,U,0,U,4,0,1,0,38,U,U,0,U,U,U,U,0,0,0,0
1,652N,652,N,3,3,2,504.73,3175.24,2,1,U,74,1,U,2,0,0,0,1,6,L,F,E,S,01,0,,,,,,,1X27D4W,1,0,53,1,1,0,0,2,4,0,1,0,33,0,0,1,96,96,96,U,0,0,0,0
1,653N,653,N,3,3,1,121.94,767.12,1,1,U,73,10,U,3,0,0,0,2,U,9,9,9,9,99,0,,,,,,,6D49R3Q,1,0,U,U,U,U,0,1,1,0,1,0,50,U,U,0,U,U,U,U,0,0,0,0
1,653N,653,N,3,3,2,121.94,767.12,1,1,U,72,10,U,3,0,0,0,1,U,9,9,9,9,99,0,,,,,,,6D49R2Q,1,0,U,U,U,U,0,1,1,0,1,0,50,U,U,0,U,U,U,U,0,0,0,0
1,654J,654,J,3,3,1,223.56,1406.39,1,1,1,U,2,U,2,0,0,0,2,U,9,9,9,9,99,0,,,,,,,9999999,1,U,U,U,U,U,0,U,4,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,654J,654,J,3,3,2,223.56,1406.39,1,1,U,78,84,0,50,0,0,0,1,U,9,9,9,9,99,0,,,,,,,9999999,1,0,25,U,U,U,0,U,4,0,1,0,39,0,0,0,U,U,U,U,0,0,0,0
1,655J,655,J,3,3,1,421.71,2652.95,1,1,U,73,2,0,54,U,U,0,2,,,,,,,0,,,,,,,C75FVQ3,1,0,U,U,U,U,0,U,4,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,655J,655,J,3,3,2,421.71,2652.95,1,1,U,74,89,0,57,U,U,0,1,,,,,,,0,,,,,,,CA213HP,2,0,U,U,U,U,0,U,4,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,656H,656,H,3,3,1,28.86,181.55,1,1,U,71,35,U,2,0,0,0,2,U,9,9,9,9,99,0,,,,,,,2573253,1,0,U,U,U,U,0,1,2,0,1,0,21,U,U,0,U,U,U,U,0,0,1,0
1,656H,656,H,3,3,2,28.86,181.55,2,2,U,74,2,0,51,0,0,0,1,U,9,9,9,9,99,0,,,,,,,E34GHU0,1,0,U,U,U,U,0,2,1,0,1,0,38,U,U,0,U,U,U,U,0,0,0,0
1,657J,657,J,3,3,1,584.29,3675.78,1,1,U,U,85,0,60,U,U,0,2,,,,,,,0,,,,,,,9999999,1,0,U,U,U,U,0,U,4,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,657J,657,J,3,3,2,584.29,3675.78,1,1,U,76,2,U,2,0,0,0,1,U,9,9,9,9,99,0,,,,,,,6F04Y17,1,0,U,1,1,0,0,U,4,0,1,0,28,U,U,0,U,U,U,U,0,0,0,0
1,658N,658,N,3,3,1,1168.58,7351.56,1,1,U,76,6,U,2,0,0,0,2,U,9,9,9,9,99,0,,,,,,,9999999,1,0,U,U,U,U,0,U,4,0,1,0,48,U,U,0,U,U,U,U,0,0,0,0
1,658N,658,N,3,3,2,1168.58,7351.56,1,1,1,U,U,0,U,U,U,0,1,,,,,,,0,,,,,,,9999999,U,U,U,U,U,U,0,U,4,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,659N,659,N,3,3,1,1168.58,7351.56,1,1,U,71,4,U,3,0,0,0,35,U,9,9,9,9,99,0,,,,,,,9999999,1,0,U,U,U,U,0,U,U,0,1,0,46,0,0,0,U,U,U,U,0,0,0,0
1,660N,660,N,3,3,1,823.09,5178.06,1,1,1,67,19,U,9,0,0,0,31,,,,,,,0,,,,,,,9999999,1,U,U,U,U,U,0,U,U,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,661L,661,L,3,3,1,52.43,329.86,2,1,U,66,1,U,3,0,0,0,47,U,9,9,9,9,99,46,U,9,9,9,9,99,9999999,1,0,U,U,U,U,0,1,6,3,1,0,29,0,0,0,U,U,U,U,0,0,1,0
1,662J,662,J,3,3,1,340.41,2141.54,1,1,U,75,84,0,51,0,0,0,2,U,9,9,9,9,99,0,,,,,,,9999999,1,0,U,U,U,U,0,1,2,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,662J,662,J,3,3,2,340.41,2141.54,1,2,U,74,1,U,3,0,0,0,1,U,9,9,9,9,99,0,,,,,,,9999999,1,0,U,U,U,U,0,2,1,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,663B,663,B,3,3,1,29.81,187.52,1,1,U,78,4,U,3,0,0,0,71,U,9,9,9,9,99,0,,,,,,,4X69K8H,1,0,U,1,1,0,0,U,7,0,1,0,36,U,U,0,U,U,U,U,0,0,0,0
1,664J,664,J,3,3,1,379.38,2386.70,1,1,U,68,2,U,2,0,0,0,2,U,9,9,9,9,99,0,,,,,,,9999999,1,0,U,U,U,U,U,U,4,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,664J,664,J,3,3,2,379.38,2386.70,1,1,U,73,1,0,50,0,0,0,1,U,9,9,9,9,99,0,,,,,,,CCZ243F,1,0,U,U,U,U,U,U,4,0,1,0,40,U,U,0,U,U,U,U,0,0,0,0
1,665L,665,L,3,3,1,30.35,190.94,2,1,U,75,4,U,2,0,0,0,2,U,9,9,9,9,99,0,,,,,,,9999999,1,0,U,U,U,U,0,1,1,0,1,0,38,U,U,0,U,U,U,U,0,0,1,0
1,665L,665,L,3,3,2,30.35,190.94,2,1,U,78,7,U,2,0,0,0,1,U,9,9,9,9,99,0,,,,,,,GP22G8G,1,0,U,U,U,U,0,1,1,0,1,0,35,U,U,0,U,U,U,U,0,0,0,0
1,666N,666,N,3,3,1,758.77,4773.40,1,1,U,U,U,0,U,U,U,0,31,,,,,,,0,,,,,,,9999999,U,U,U,U,U,U,0,U,4,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,667N,667,N,3,3,1,1483.59,9333.29,1,1,1,U,U,0,U,U,U,0,31,,,,,,,0,,,,,,,9999999,U,U,U,U,U,U,U,U,U,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,668N,668,N,3,3,1,1006.00,6328.74,1,1,1,U,U,0,U,U,U,0,31,,,,,,,0,,,,,,,9999999,U,U,U,U,U,U,0,1,6,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,669N,669,N,3,3,1,254.04,1598.17,1,1,U,78,6,U,2,0,0,0,46,U,9,9,9,9,99,0,,,,,,,3J87H8M,1,0,U,U,U,U,U,U,U,0,1,0,33,0,0,0,U,U,U,U,0,0,0,0
1,670N,670,N,3,3,1,294.69,1853.87,1,1,1,U,U,0,U,U,U,0,31,,,,,,,0,,,,,,,9999999,U,U,U,U,U,U,0,1,6,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,671C,671,C,3,3,1,55.89,351.60,1,1,U,78,U,0,3,0,0,0,71,U,9,9,9,9,99,0,,,,,,,9999999,1,0,U,1,1,0,0,U,7,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,672L,672,L,3,3,1,10.16,63.93,2,1,U,72,7,U,3,0,0,0,39,U,9,9,9,9,99,0,,,,,,,9999999,1,0,U,1,U,U,0,1,6,0,1,0,40,U,U,0,U,U,U,U,0,1,2,0
1,673N,673,N,3,3,1,279.44,1757.98,1,1,1,U,U,0,U,U,U,0,31,,,,,,,0,,,,,,,9999999,U,U,U,U,U,U,0,U,U,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,674N,674,N,3,3,1,203.23,1278.53,2,1,1,U,4,U,2,0,0,0,31,U,9,9,9,9,99,31,U,9,9,9,9,99,9999999,U,U,U,U,U,U,0,U,U,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,675L,675,L,3,3,1,39.02,245.48,1,1,U,70,1,U,2,0,0,0,2,U,9,9,9,9,99,0,,,,,,,138570F,1,0,U,U,U,U,0,1,2,0,1,0,36,U,U,0,U,U,U,U,0,0,1,0
1,675L,675,L,3,3,2,39.02,245.48,3,2,U,72,1,U,2,0,0,0,1,U,9,9,9,9,99,0,,,,,,,1X27F2W,1,0,U,U,U,U,0,2,1,0,1,0,31,U,U,0,U,U,U,U,0,0,3,0
1,676J,676,J,3,3,1,157.50,990.86,1,1,U,70,1,U,2,0,0,0,2,U,9,9,9,9,99,0,,,,,,,1644701,1,0,U,U,U,U,0,U,4,0,1,0,36,U,U,0,U,U,U,U,0,0,0,0
1,676J,676,J,3,3,2,157.50,990.86,2,1,U,74,7,0,51,0,0,0,1,U,9,9,9,9,99,0,,,,,,,B24AE49,1,0,U,U,U,U,0,U,4,0,1,0,38,U,U,0,U,U,U,U,0,0,0,0
1,677N,677,N,3,3,1,284.52,1789.95,1,1,U,75,7,U,6,0,0,0,2,U,9,9,9,9,99,0,,,,,,,B11AE5X,1,0,U,U,U,U,0,1,2,0,1,0,35,U,U,0,U,U,U,U,0,0,0,0
1,677N,677,N,3,3,2,284.52,1789.95,2,2,1,U,4,U,2,0,0,0,1,U,9,9,9,9,99,0,,,,,,,9999999,1,0,U,U,U,U,0,3,1,0,1,0,U,U,U,0,U,U,U,U,0,0,0,0
1,678B,678,B,3,3,1,44.03,277.02,3,1,U,71,2,0,25,0,0,0,71,,,,,,,0,,,,,,,B35AML8,1,2,U,U,U,U,0,U,7,0,1,0,41,U,U,0,U,U,U,U,0,0,0,0
1,679J,679,J,3,3,1,330.25,2077.62,3,3,U,75,3,U,2,0,0,0,37,U,9,9,9,9,99,2,U,9,9,9,9,99,2P47P5P,0,0,U,U,U,U,0,U,U,0,1,0,46,U,U,0,U,U,U,U,0,0,0,0
1,679J,679,J,3,3,2,330.25,2077.62,1,3,U,78,4,U,2,0,0,0,1,U,9,9,9,9,99,3,U,9,9,9,9,99,4H87989,2,0,U,U,U,U,0,U,U,0,1,0,30,U,U,0,U,U,U,U,0,0,0,0
1,679J,679,J,3,3,3,330.25,2077.62,1,3,U,67,5,U,2,0,0,0,2,U,9,9,9,9,99,4,U,9,9,9,9,99,9999999,2,0,U,U,U,U,0,U,U,0,1,0,37,U,U,0,U,U,U,U,0,0,0,0
1,679J,679,J,3,3,4,330.25,2077.62,1,3,U,75,14,U,3,0,0,0,3,U,9,9,9,9,99,5,U,9,9,9,9,99,9999999,1,0,U,U,U,U,0,U,U,0,1,0,23,U,U,0,U,U,U,U,0,0,0,0
