PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,ALTVEH,FIRE,FIREORIG,FUELTANK,PSUSTRAT
2,35,112.17256257,35F,F,5,1,2,31,0,T,Y,D,O,2,1,56,12,F,L,E,W,1,,,,,,,,,62,3,3,3,2,1,1,-22,0,1,1060,0,0,0,1,3
2,36,410.1462634,36H,H,5,1,1,51,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1120,0,0,0,1,3
2,37,48.264625259,37A,A,5,1,3,31,0,T,D,D,O,5,1,56,2,F,D,E,W,1,,,,,,,,,,,,,,,,,0,1,999,0,0,0,1,3
2,38,199.5057101,38J,J,5,1,5,31,0,T,D,Z,O,3,4,42,12,F,R,A,S,9,,,,,,,,,,,,,,,,,0,1,1060,0,0,0,1,3
2,39,89.092244587,39J,J,5,1,3,31,0,T,D,D,O,5,2,56,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,1033,0,0,0,1,3
2,40,406.59090449,40E,E,5,1,1,2,9,L,F,E,W,2,,,,,,,,,45,1,2,2,7,7,6,70,,,,,,,,,0,1,1049,0,0,0,1,3
2,40,406.59090449,40E,E,5,2,1,1,12,F,Z,E,W,2,,,,,,,,,58,0,0,2,4,11,0,15,,,,,,,,,0,1,1024,0,0,0,1,3
2,41,41.870593708,41B,B,5,1,2,42,11,F,L,E,E,3,1,50,12,F,R,E,N,1,62,31,16,11,7,0,0,-27,,,,,,,,,0,1,996,0,0,0,1,3
2,42,85.137649888,42F,F,5,1,1,31,0,T,D,D,O,3,,,,,,,,,,,,,,,,,,,,,,,,,0,1,970,0,0,0,1,3
2,43,85.137649888,43F,F,5,1,3,42,72,F,C,E,N,3,1,41,12,F,R,E,N,1,64,4,9,16,18,11,7,3,,,,,,,,,1,1,1003,0,0,0,1,3
2,44,311.29616884,44H,H,5,1,1,2,1,F,R,E,E,1,,,,,,,,,58,0,0,2,2,4,4,22,,,,,,,,,0,1,1014,0,0,0,1,3
