PSUWGT,NATWGT,PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKDRG,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,CARGOWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS
17,1358.47,1,1H,1,H,1,1,80,6,10,4,TH42GAA100,1,U,0,C,30,2,20,1,2,2,37,0,0,0,0,0,0,0,318,318,1,8,-8,0,128,1,1,13,0,0,1,0,29,13,0
17,1358.47,1,1H,1,H,1,2,86,38,470,13,JAACH15L9G,0,0,0,C,30,1,21,1,1,0,29,0,0,0,0,0,0,0,318,318,1,10,10,0,59,1,1,17,N,N,U,N,37,4,N
17,1358.47,1,1H,1,H,1,3,86,48,31,4,JF1AC42B7G,0,0,0,C,30,1,98,1,1,0,22,0,0,0,0,0,0,0,318,318,1,10,10,0,96,2,1,17,N,N,U,N,29,13,N
4.1,327.631,1,2F,2,F,1,1,82,20,15,5,1G1AX68R9C,1,U,0,C,45,1,44,1,1,1,25,0,0,0,0,0,0,0,262,261,1,10,4,-10,59,3,1,17,0,1,2,4,29,6,1
4.1,327.631,1,2F,2,F,1,2,84,84,901,50,9999999999,0,U,0,C,45,U,45,,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N
4.1,327.631,1,2F,2,F,1,3,87,20,17,6,1G1AW81W3H,0,U,0,C,45,U,98,1,2,0,29,0,0,0,0,0,0,0,77,203,1,9,-8,2,152,3,2,17,N,N,2,N,25,5,N
11,879.01,1,3G,3,G,1,1,87,7,17,4,1B3BS48D7H,1,U,0,C,30,7,50,1,3,3,26,0,0,0,0,0,0,0,57,250,1,14,-14,-2,148,1,1,17,0,0,2,0,43,2,0
11,879.01,1,3G,3,G,1,2,73,20,2,2,1N47R3T100,1,U,0,C,30,1,51,1,2,2,43,0,0,0,0,0,0,0,250,57,1,9,-9,2,222,3,1,13,0,0,1,0,26,4,0
3.2,255.712,1,4E,4,E,1,1,85,14,15,4,1MEBP75X3F,1,U,0,C,35,1,89,1,1,1,24,0,0,0,0,0,0,0,120,212,1,17,-11,13,181,1,2,17,0,1,2,3,34,10,1
3.2,255.712,1,4E,4,E,1,2,84,20,7,10,1GCCW80H5E,1,U,0,C,35,1,88,1,1,1,34,0,0,0,0,0,0,0,212,120,1,13,-10,-9,508,1,1,17,0,1,1,0,24,4,1
1.23,98.2893,1,5D,5,D,1,1,78,6,16,6,FH45G8G100,1,U,0,C,40,1,68,1,2,2,38,0,0,0,0,0,0,0,122,13,6,U,U,U,U,0,1,13,0,2,1,4,44,4,1
1.23,98.2893,1,5D,5,D,1,2,79,19,3,4,6069923600,1,U,0,C,40,3,69,1,1,1,44,0,0,1,0,0,0,0,13,122,6,U,U,U,U,0,2,11,0,1,1,4,38,6,2
1.23,98.2893,1,5D,5,D,1,3,77,19,U,2,9999999999,0,0,7,C,0,0,98,1,2,0,U,U,0,1,0,0,0,0,120,217,6,U,U,U,U,0,0,U,N,N,U,N,N,N,N
1.23,98.2893,1,6D,6,D,1,1,78,12,9,2,8T10Y19800,1,U,1,D,55,3,7,1,1,1,24,0,0,1,0,1,0,0,997,997,5,U,U,U,U,0,0,11,0,1,1,3,N,N,2
11,879.01,1,7G,7,G,1,1,86,20,901,50,9999999999,0,U,0,C,30,U,87,,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N
11,879.01,1,7G,7,G,1,2,85,37,33,2,JHMAB7225F,1,U,0,C,30,3,86,1,1,1,23,0,0,0,0,0,4,0,164,255,4,U,U,U,U,0,1,17,0,1,2,0,N,50,1
17,1358.47,1,8H,8,H,1,1,80,22,1,6,2F35KAP500,0,0,0,C,30,1,98,1,1,0,34,0,0,0,0,0,0,0,90,90,5,U,U,U,U,0,2,13,N,N,1,N,21,2,N
17,1358.47,1,8H,8,H,1,2,80,20,13,2,1B089AY200,0,0,0,C,30,1,21,1,1,0,21,0,0,0,0,0,0,0,90,90,3,13,13,0,134,1,2,13,N,N,1,N,39,21,N
17,1358.47,1,8H,8,H,1,3,76,12,474,21,E14HHC8900,1,U,1,B,30,U,20,1,1,1,39,U,0,0,0,0,0,0,90,90,3,6,-6,0,41,1,1,11,0,0,8,0,21,2,0
1,79.91,1,9C,9,C,1,1,85,48,43,10,JF2AT53BXF,1,U,1,24,40,1,6,1,1,1,22,0,0,0,1,0,0,0,998,998,1,22,-22,0,381,1,2,17,0,1,U,3,998,98,2
1.23,98.2893,1,10D,10,D,1,1,81,20,474,21,2GAGG35M6B,1,U,0,C,45,1,1,1,1,1,42,0,0,0,1,0,0,0,998,998,1,30,-30,0,1423,1,1,17,0,1,8,3,998,98,2
4.1,327.631,1,11F,11,F,1,1,73,7,3,2,DM23K3F200,1,U,0,C,45,1,3,1,1,1,40,0,0,0,1,0,0,0,998,998,6,U,U,U,U,0,2,13,0,1,1,4,998,98,1
1,79.91,1,12C,12,C,1,1,86,35,477,30,1N6HD16Y3G,0,0,0,C,55,1,21,1,1,0,38,1,0,0,0,0,0,0,128,128,5,U,U,U,U,0,2,17,N,N,8,N,28,3,N
1,79.91,1,12C,12,C,1,2,86,35,32,3,JN1PS26S8G,1,U,0,C,55,9,20,1,1,1,28,0,0,0,0,0,0,0,128,128,5,U,U,U,U,0,1,17,0,1,1,4,38,30,1
1.23,98.2893,1,13D,13,D,1,1,79,12,12,6,9X94T26500,1,U,0,C,55,3,7,1,1,1,29,0,0,0,0,0,0,0,998,998,1,26,1,-26,716,1,1,11,0,1,1,4,998,98,1
3.2,255.712,1,14E,14,E,1,1,86,51,39,6,YV1FX8758G,1,U,0,C,35,4,83,1,3,3,32,0,0,0,0,0,0,0,136,17,3,8,-8,-1,64,3,1,17,0,2,1,4,37,31,1
3.2,255.712,1,14E,14,E,1,2,87,12,473,31,1FTDF15Y3H,0,U,0,C,35,U,82,1,1,0,37,0,0,0,0,0,0,0,17,136,3,7,-4,5,87,3,2,17,N,N,8,N,32,6,N
4.1,327.631,1,15F,15,F,1,1,85,49,33,2,JT2RA65C1F,1,U,0,C,40,U,20,1,4,4,25,0,0,0,0,0,0,0,180,180,1,14,-14,0,63,1,1,17,0,0,1,0,34,4,0
4.1,327.631,1,15F,15,F,1,2,68,12,2,4,8A41F10900,1,0,0,C,40,1,22,1,2,2,34,0,0,0,0,0,0,0,180,180,1,12,12,0,323,1,1,11,0,2,1,4,25,2,1
11,879.01,1,16G,16,G,1,1,86,9,11,6,1P3BP49K6G,1,U,0,C,35,3,20,1,1,1,25,0,0,0,0,0,0,0,326,326,6,U,U,U,U,0,1,17,0,1,2,0,32,2,1
11,879.01,1,16G,16,G,1,2,82,12,4,2,1FABP4237C,0,0,0,C,35,1,21,1,1,0,32,0,0,0,0,0,0,0,326,326,6,U,U,U,U,0,1,17,N,N,1,N,25,6,N
17,1358.47,1,17H,17,H,1,1,76,20,9,2,1Q87Q6N500,1,U,0,C,35,9,2,1,3,3,36,0,0,0,1,0,0,0,998,998,1,4,-2,3,30,3,1,13,0,0,1,0,998,98,0
1,79.91,1,18C,18,C,1,1,87,7,477,31,1B7GN14M3H,1,U,0,C,35,1,68,1,1,1,27,0,0,0,0,0,0,0,4,214,1,17,-16,-6,456,1,1,17,0,1,8,4,27,4,2
1,79.91,1,18C,18,C,1,2,87,20,17,4,1G1AW51W6H,1,U,0,C,35,1,69,1,1,1,27,0,0,0,0,0,0,0,214,4,1,18,-17,5,241,1,1,17,0,1,2,4,27,31,2
4.1,327.631,1,19F,19,F,1,1,83,7,33,3,JB3BD4374D,1,U,0,D,55,6,2,1,1,1,27,0,0,0,1,1,0,0,998,998,5,U,U,U,U,0,1,17,0,1,1,4,998,98,1
1.25,99.8875,1,20A,20,A,1,1,81,12,12,6,1FABP23B5B,1,U,0,C,55,9,57,1,2,2,24,0,0,0,0,0,0,0,325,42,1,31,-30,3,435,1,1,17,0,2,1,3,20,3,2
1.25,99.8875,1,20A,20,A,1,2,84,46,39,3,1XMDC930XE,1,U,7,0,55,U,56,1,1,1,20,1,0,0,0,0,0,0,42,325,1,38,3,-38,1502,1,1,17,1,1,2,1,24,6,6
4,319.64,1,21E,21,E,1,1,84,20,17,6,1G1AD35P2E,1,U,0,C,45,U,64,1,1,1,25,0,0,0,0,0,0,0,9,122,1,26,-5,26,433,1,2,17,0,1,2,3,44,6,2
4,319.64,1,21E,21,E,1,2,77,21,1,6,3H35R7D200,1,U,1,1,45,3,65,1,1,1,44,0,0,0,0,0,0,0,122,9,1,15,-13,7,772,1,1,13,0,0,1,0,25,6,0
13.75,1098.7625,1,22G,22,G,1,1,87,37,31,3,JHMEC3322H,1,U,0,C,30,U,87,1,1,1,19,0,0,0,0,0,0,0,105,0,5,U,U,U,U,0,1,17,0,0,U,0,22,3,0
13.75,1098.7625,1,22G,22,G,1,2,85,30,38,3,WVWCA0534F,1,U,0,C,35,4,86,1,1,1,22,0,0,0,0,0,0,0,0,105,5,U,U,U,U,0,1,17,0,1,2,0,19,3,1
21.25,1698.0875,1,23H,23,H,1,1,83,12,6,6,1FABP40X2D,1,U,0,C,30,8,87,1,1,1,31,0,0,0,0,0,0,0,268,195,6,U,U,U,U,0,1,17,0,0,1,0,U,4,0
21.25,1698.0875,1,23H,23,H,1,2,77,20,U,4,9999999999,0,U,0,C,30,U,86,1,2,0,U,U,0,0,0,0,0,0,195,268,6,U,U,U,U,0,0,U,N,N,U,N,N,N,N
4.1,327.631,1,24F,24,F,1,1,86,7,11,4,1B3BD36D0G,0,U,0,C,40,3,83,1,1,0,24,0,0,0,0,0,0,0,334,211,6,U,U,U,U,0,2,17,N,N,2,N,20,3,N
4.1,327.631,1,24F,24,F,1,2,77,20,13,3,1B08E7Y100,1,U,0,C,U,10,82,1,3,3,20,0,0,0,0,0,0,0,211,334,6,U,U,U,U,0,2,13,0,2,1,4,24,4,1
1,79.91,1,25C,25,C,1,1,85,18,15,4,1G4XB69R3F,1,U,0,C,55,7,7,1,1,1,26,0,0,0,0,2,0,0,997,997,5,U,U,U,U,0,1,17,0,1,2,4,998,98,2
1,79.91,1,26C,26,C,1,1,80,7,7,2,H22CAG1600,1,U,0,C,35,1,82,1,2,2,35,0,0,0,0,0,0,0,68,9,1,11,-5,10,165,1,1,12,0,2,1,0,28,20,1
1,79.91,1,26C,26,C,1,2,85,7,472,20,2B7EK13G5F,1,U,0,C,35,2,83,1,1,1,28,5,0,0,0,0,0,0,9,68,1,12,-10,-6,276,1,2,17,1,1,8,3,35,2,3
11,879.01,1,27G,27,G,1,1,84,20,13,5,1G1AJ68C3E,1,U,0,C,55,U,7,1,1,1,23,0,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,0,1,0,998,98,0
11,879.01,1,28G,28,G,1,1,87,20,473,31,1GCEV14K0H,1,U,0,C,55,U,8,1,3,3,36,0,0,1,7,0,0,0,998,998,5,U,U,U,U,0,2,17,0,1,8,0,998,98,7
17,1358.47,1,29H,29,H,1,1,76,9,3,4,9999999999,1,U,1,U,55,U,7,1,1,1,40,U,0,0,1,0,0,0,998,998,6,U,U,U,U,0,2,U,0,0,1,0,998,98,0
1,79.91,1,30C,30,C,1,1,85,20,16,6,1G1JD35P6F,1,U,0,C,35,1,51,1,2,2,25,0,0,0,0,0,0,0,67,244,1,22,-22,0,393,1,2,17,0,1,2,4,32,2,1
1,79.91,1,30C,30,C,1,2,80,20,10,2,1Z37KA1400,1,U,0,C,35,1,50,1,1,1,32,0,0,0,0,0,0,0,244,67,1,17,-17,0,356,1,1,13,0,1,1,4,25,6,1
1.23,98.2893,1,31D,31,D,1,1,82,12,13,5,2FABP0626C,1,U,0,C,45,U,2,1,1,1,21,0,0,0,1,0,0,0,998,998,1,25,-6,25,477,1,2,17,1,1,2,3,998,98,3
1.23,98.2893,1,32D,32,D,1,1,82,35,42,5,9999999999,1,U,1,U,35,U,6,1,1,1,22,0,0,1,1,0,0,0,998,998,2,27,-2,27,583,1,1,U,1,1,2,1,998,98,5
3.2,255.712,1,33E,33,E,1,1,84,6,10,4,1C3BT56G4E,1,U,0,C,35,1,21,1,2,2,28,0,0,0,0,0,0,0,71,65,4,U,U,U,U,0,2,17,0,1,1,4,N,68,1
3.2,255.712,1,33E,33,E,1,2,86,88,U,68,9999999999,1,U,0,C,35,U,20,,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N
11,879.01,1,34G,34,G,1,1,84,20,476,33,1G8EC16L0E,0,U,0,C,35,U,68,1,1,0,47,0,0,0,0,0,0,0,211,76,1,3,-1,-3,7,1,2,17,N,N,8,N,22,5,N
11,879.01,1,34G,34,G,1,2,85,9,8,5,1P3BM18C2F,1,U,0,C,35,2,69,1,1,1,22,0,0,0,0,0,0,0,76,211,1,6,-6,1,55,1,1,17,0,0,2,0,47,33,0
1,79.91,1,35B,35,B,1,1,80,6,10,4,TH42CAA100,1,U,U,U,30,1,1,1,1,1,37,0,0,1,0,0,0,0,998,998,2,32,-31,-6,1374,1,1,13,1,1,1,1,998,98,6
4.1,327.631,1,36F,36,F,1,1,81,35,35,5,JN1PN03S6B,1,U,0,C,40,7,86,1,2,2,20,0,0,1,0,0,0,0,350,82,6,U,U,U,U,0,1,17,0,2,2,4,33,3,1
4.1,327.631,1,36F,36,F,1,2,79,21,1,3,3G87F9G400,1,U,0,C,40,1,87,1,1,1,33,0,0,1,0,0,0,0,82,350,6,U,U,U,U,0,1,13,0,1,1,4,20,5,1
17,1358.47,1,37H,37,H,1,1,83,30,36,5,1VWFB0172D,0,0,0,C,45,U,21,1,1,0,19,U,0,0,0,0,0,0,90,90,6,U,U,U,U,0,2,17,N,N,2,N,U,4,N
17,1358.47,1,37H,37,H,1,2,84,12,U,4,9999999999,0,U,0,C,45,U,20,1,3,0,U,U,0,0,0,0,0,0,90,90,6,U,U,U,U,0,0,U,N,N,U,N,N,N,N
17,1358.47,1,37H,37,H,1,3,83,20,1,6,1G1AW3599D,0,U,0,C,45,U,98,1,1,0,35,0,0,0,0,0,0,1,90,90,1,10,10,0,135,1,2,17,N,N,1,N,35,4,N
17,1358.47,1,37H,37,H,1,4,79,7,7,4,GH41G9F200,1,U,0,C,45,8,98,1,1,1,35,0,0,0,0,0,4,0,90,90,1,10,-10,0,135,1,1,13,0,0,1,0,35,6,0
3.2,255.712,1,38E,38,E,1,1,86,35,39,4,JN1HU11S3G,1,U,1,D,55,U,6,1,1,1,30,0,0,1,0,4,0,0,997,997,5,U,U,U,U,0,1,17,0,1,1,3,998,98,2
1,79.91,1,39C,39,C,1,1,84,84,U,65,9999999999,0,U,0,C,40,8,83,,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N
1,79.91,1,39C,39,C,1,2,88,30,44,4,9BWGA0300J,1,U,0,C,40,U,82,1,1,1,23,0,0,0,0,0,0,0,197,355,4,U,U,U,U,0,1,17,0,1,2,3,N,65,2
3.2,255.712,1,40E,40,E,1,1,86,12,15,4,2FABP22S9G,1,U,0,C,55,2,20,1,1,1,24,0,0,0,0,0,4,0,90,90,5,U,U,U,U,0,1,17,1,1,2,3,32,2,3
3.2,255.712,1,40E,40,E,1,2,68,18,1,2,433278Y100,1,U,0,C,55,1,21,1,1,1,32,0,0,0,0,0,0,0,90,90,5,U,U,U,U,0,1,13,0,1,1,4,24,4,1
3.2,255.712,1,40E,40,E,1,3,74,7,471,14,A10AE4X000,0,U,0,C,55,1,98,1,2,0,42,0,0,0,0,0,0,0,90,90,1,13,13,0,184,1,2,13,N,N,8,N,32,2,N
3.2,255.712,1,40E,40,E,1,4,80,35,36,2,HLA1010900,0,U,0,C,55,1,98,1,2,0,21,0,0,0,0,0,0,0,90,90,6,U,U,U,U,0,1,11,N,N,1,N,42,14,N
11,879.01,1,41G,41,G,1,1,88,20,470,14,1GNCT18R3J,1,U,1,D,U,U,1,1,1,1,32,0,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,0,8,0,998,98,0
1,79.91,1,42D,42,D,1,1,80,20,10,2,1Z37KA1400,1,U,0,C,55,U,65,1,3,3,32,0,0,1,0,0,4,0,336,80,5,U,U,U,U,0,1,13,0,0,1,0,36,31,0
1,79.91,1,42D,42,D,1,2,82,23,473,31,1GTDC14H7C,1,U,1,D,55,8,64,1,2,2,36,0,0,1,2,3,0,0,998,998,5,U,U,U,U,0,1,17,1,2,8,3,998,98,3
2,159.82,1,43E,43,E,1,1,84,46,39,3,1XMDW9360E,1,U,0,C,45,6,2,1,1,1,20,0,0,1,0,4,0,0,997,997,5,U,U,U,U,0,1,17,0,1,2,3,998,98,1
2,159.82,1,44E,44,E,1,1,80,35,35,3,HN10197000,1,U,0,C,40,U,83,1,1,1,20,0,0,0,0,0,0,0,242,122,1,21,-20,4,448,1,1,10,0,0,2,4,29,30,0
2,159.82,1,44E,44,E,1,2,87,41,477,30,JM2UF4122H,1,U,1,D,40,U,82,1,2,2,29,0,0,0,0,0,0,0,122,242,1,14,-4,13,84,1,1,17,0,2,8,4,20,3,2
4.1,327.631,1,45F,45,F,1,1,78,35,33,2,HLB2109600,1,U,0,C,40,98,8,1,2,2,20,0,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,12,0,2,1,4,998,98,1
1,79.91,1,46D,46,D,1,1,79,49,477,30,9999999999,1,U,0,C,55,8,2,1,2,2,25,0,0,1,0,3,0,0,997,997,5,U,U,U,U,0,2,U,0,2,8,3,998,98,2
2,159.82,1,47E,47,E,1,1,78,9,6,6,HL45D8B100,1,U,0,C,40,U,82,1,1,1,37,0,0,1,0,0,0,0,178,123,1,9,-3,9,190,1,1,13,0,0,1,0,19,5,0
2,159.82,1,47E,47,E,1,2,84,30,36,5,1VWEG0177E,1,U,0,C,40,7,83,1,1,1,19,0,0,1,0,0,0,0,123,178,1,17,-17,-5,319,1,1,17,0,1,2,4,37,6,1
11,879.01,1,48G,48,G,1,1,86,20,32,5,1Y1SK6844G,1,U,0,C,35,U,20,1,1,1,22,0,0,0,0,0,4,0,190,180,4,U,U,U,U,0,1,17,0,0,2,0,N,50,0
11,879.01,1,48G,48,G,1,2,81,84,901,50,9999999999,0,0,0,C,35,U,22,,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N
1,79.91,1,49C,49,C,1,1,83,19,3,4,1G6AD6988D,1,U,0,C,30,1,1,1,1,1,39,0,0,1,0,0,0,0,150,160,5,U,U,U,U,0,1,17,0,1,1,2,998,98,1
1,79.91,1,50D,50,D,1,1,76,20,1,6,1D35V6B500,1,U,1,21,35,1,1,1,1,1,42,0,0,1,2,0,0,0,998,998,5,U,U,U,U,0,1,13,0,1,1,4,998,98,2
1,79.91,1,51D,51,D,1,1,83,12,477,30,1FTBR10C3D,1,U,0,C,55,9,51,1,1,1,26,0,0,0,0,4,0,0,292,109,5,U,U,U,U,0,1,17,0,1,8,3,U,6,1
1,79.91,1,51D,51,D,1,2,78,14,12,6,9999999999,1,U,1,20,55,U,50,1,1,1,U,U,0,0,0,0,0,0,109,292,5,U,U,U,U,0,0,U,0,1,1,4,N,N,1
17,1358.47,1,52H,52,H,1,1,79,20,474,21,CGD2594100,1,U,0,C,30,1,1,1,1,1,40,6,0,0,1,0,0,0,998,998,5,U,U,U,U,0,1,13,0,0,8,0,998,98,0
2,159.82,1,53E,53,E,1,1,84,37,31,3,JHMAF5335E,1,U,0,C,40,3,2,1,1,1,17,0,0,1,0,2,0,0,997,997,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1
2,159.82,1,54E,54,E,1,1,88,20,2,4,1G1BN51HXJ,1,U,0,C,30,3,3,1,1,1,37,0,0,1,0,0,0,0,998,998,2,21,-21,0,572,1,1,17,0,1,1,4,998,98,1
2,159.82,1,55E,55,E,1,1,85,7,473,31,1B7GD14T8F,1,U,0,C,30,U,51,1,1,1,36,0,0,0,0,0,1,0,248,44,1,12,-9,7,436,1,1,17,0,0,8,4,19,4,0
2,159.82,1,55E,55,E,1,2,86,37,31,4,JHMAK5431G,1,U,0,C,30,U,50,1,1,1,19,0,0,0,0,0,4,0,44,248,1,21,-21,0,150,1,1,17,0,1,U,4,36,31,1
11,879.01,1,56G,56,G,1,1,85,12,U,4,9999999999,1,U,0,C,55,U,1,1,1,1,U,U,0,0,0,0,0,0,998,998,5,U,U,U,U,0,0,U,0,0,U,0,N,N,0
1,79.91,1,57C,57,C,1,1,86,20,17,2,9999999999,1,U,0,C,55,U,6,1,1,1,27,0,0,1,0,0,0,0,998,998,5,U,U,U,U,0,1,U,0,1,2,4,998,98,1
1,79.91,1,58D,58,D,1,1,80,20,1,4,1W19KA1400,1,U,0,C,30,U,82,1,2,2,34,0,0,0,0,0,0,0,227,351,1,18,-7,17,316,1,1,13,0,2,1,3,34,4,1
1,79.91,1,58D,58,D,1,2,78,9,6,4,HL41D8F100,1,U,0,C,30,8,83,1,3,3,34,0,0,0,0,0,0,0,351,227,1,18,-16,-7,700,1,1,13,0,2,1,4,34,4,1
4.1,327.631,1,59F,59,F,1,1,77,7,U,4,9999999999,1,U,0,C,45,1,2,1,1,1,U,U,0,0,0,0,0,0,301,301,6,U,U,U,U,0,0,U,0,1,U,3,N,N,1
2,159.82,1,60E,60,E,1,1,87,49,32,2,JT2AE86S9H,1,U,1,D,55,U,1,1,2,2,22,0,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1
11,879.01,1,61G,61,G,1,1,87,12,17,6,9999999999,1,0,0,C,45,1,21,1,2,2,32,U,0,0,0,0,U,U,94,94,6,U,U,U,U,0,0,U,0,0,2,0,N,N,0
11,879.01,1,61G,61,G,1,2,87,20,16,4,1G1JC5119H,1,U,0,C,45,U,20,1,1,1,23,0,0,0,0,0,1,0,94,94,6,U,U,U,U,0,1,17,0,0,2,0,32,6,0
1,79.91,1,62C,62,C,1,1,87,12,472,20,1FMCA11U1H,1,U,1,D,40,U,1,1,1,1,33,0,0,1,2,5,0,0,998,998,5,U,U,U,U,0,2,17,1,1,8,3,998,98,3
2,159.82,1,63E,63,E,1,1,88,30,42,3,1VWBA9172J,1,U,0,C,35,U,7,1,3,3,22,0,0,1,0,2,0,0,997,997,5,U,U,U,U,0,2,17,0,1,2,4,998,98,1
2,159.82,1,64E,64,E,1,1,88,7,34,3,9999999999,1,U,0,C,55,1,82,1,1,1,20,0,0,1,0,2,0,0,126,244,6,U,U,U,U,0,1,U,0,1,2,4,U,31,1
2,159.82,1,64E,64,E,1,2,78,12,U,31,9999999999,1,U,0,C,55,U,83,1,1,1,U,U,0,1,0,0,0,0,244,126,6,U,U,U,U,0,0,U,0,0,8,0,N,N,0
4.1,327.631,1,65F,65,F,1,1,73,86,U,65,9999999999,0,U,0,C,40,U,98,,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N
4.1,327.631,1,65F,65,F,1,2,79,12,474,21,9999999999,1,U,0,C,40,U,98,1,2,2,39,U,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,U,0,2,8,4,998,98,1
4.1,327.631,1,65F,65,F,1,3,84,22,5,2,1G2AM37R2E,1,U,0,C,40,U,98,1,1,1,25,0,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,0,1,0,998,98,0
1,79.91,1,66D,66,D,1,1,80,20,9,2,1P87HAN500,1,U,1,8,30,U,1,1,1,1,35,0,0,1,1,0,0,0,998,998,5,U,U,U,U,0,1,13,0,1,1,4,998,98,2
2,159.82,1,67E,67,E,1,1,84,18,U,2,9999999999,1,U,0,C,40,1,6,1,2,2,U,U,0,1,0,0,0,0,998,998,5,U,U,U,U,0,0,U,0,1,U,4,N,N,1
4.1,327.631,1,68F,68,F,1,1,83,49,33,2,JT2RA64C0D,1,U,0,C,40,3,2,1,1,1,26,0,0,1,0,2,0,0,997,997,5,U,U,U,U,0,1,17,0,0,1,4,998,98,0
2,159.82,1,69E,69,E,1,1,86,37,31,3,JHMAF7324G,1,U,0,C,55,3,2,1,1,1,18,0,0,1,1,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,U,4,998,98,2
11,879.01,1,70G,70,G,1,1,86,18,10,2,1G4GM47Y2G,1,U,0,C,55,1,13,1,2,2,32,0,0,0,0,0,0,0,998,998,5,U,U,U,U,0,2,17,0,0,1,0,998,98,0
17,1358.47,1,71H,71,H,1,1,75,20,U,39,9999999999,1,U,0,C,55,U,2,1,2,2,U,U,0,1,0,0,0,0,998,998,6,U,U,U,U,0,0,U,0,0,8,0,N,N,0
1,79.91,1,72D,72,D,1,1,81,35,35,5,JN1PN03S5B,1,U,0,C,35,U,24,1,1,1,20,0,0,0,0,0,1,0,95,115,6,U,U,U,U,0,1,17,0,1,2,4,N,69,1
1,79.91,1,72D,72,D,1,2,81,7,U,69,9999999999,0,U,0,C,35,U,27,,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N
2,159.82,1,73E,73,E,1,1,78,6,16,4,FM41D8G200,1,U,0,C,30,1,87,1,1,1,37,0,0,0,0,0,0,0,36,287,1,15,-10,-12,696,1,1,13,0,1,1,4,28,30,1
2,159.82,1,73E,73,E,1,2,88,12,477,30,1FTBR10A6J,1,U,0,C,30,U,86,1,1,1,28,0,0,0,0,0,0,0,287,36,1,20,-19,6,370,1,1,17,0,1,8,4,37,4,1
4.1,327.631,1,74F,74,F,1,1,82,20,10,2,1G1AZ37K9C,1,U,0,C,30,U,82,1,2,2,32,0,0,0,0,0,0,0,286,37,4,U,U,U,U,0,1,17,0,0,1,4,N,70,0
4.1,327.631,1,74F,74,F,1,2,37,72,U,70,9999999999,1,U,0,C,35,U,83,,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N
1,79.91,1,75D,75,D,1,1,68,9,5,2,BH29B8B100,1,U,0,C,55,7,64,1,3,3,30,0,0,1,0,0,0,0,998,998,6,U,U,U,U,0,2,13,0,3,1,3,998,98,1
1,79.91,1,75D,75,D,1,2,73,19,U,2,9999999999,0,U,0,C,55,9,65,1,2,0,U,U,0,0,0,0,0,0,272,135,6,U,U,U,U,0,0,U,N,N,U,N,N,N,N
2,159.82,1,76E,76,E,1,1,87,57,31,3,VX1BA1219H,1,U,0,C,55,U,6,1,1,1,18,0,0,0,1,1,0,0,998,998,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1
1,79.91,1,77D,77,D,1,1,82,22,9,3,1G2AW8770C,1,U,0,C,30,98,3,1,1,1,30,0,0,1,0,0,0,0,998,998,2,22,-22,0,531,1,1,17,1,1,1,3,998,98,3
11,879.01,1,78G,78,G,1,1,86,19,3,2,1G6CD4784G,1,U,0,C,35,U,82,1,3,3,33,0,0,0,0,0,0,0,188,325,5,U,U,U,U,0,2,17,0,0,2,0,U,4,0
11,879.01,1,78G,78,G,1,2,77,7,U,4,9999999999,0,U,0,C,30,U,83,1,2,0,U,U,0,0,0,0,0,0,325,188,5,U,U,U,U,0,0,U,N,N,U,N,N,N,N
2,159.82,1,79E,79,E,1,1,77,85,U,65,9999999999,0,U,0,C,35,1,98,,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N
2,159.82,1,79E,79,E,1,2,86,35,43,4,JN1PB11S6G,1,U,0,C,35,1,98,1,1,1,19,0,0,1,0,0,0,0,139,139,5,U,U,U,U,0,1,17,0,1,2,4,N,65,1
