PSUWGT,NATWGT,PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKDRG,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,CARGOWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS
1.43,96.32051,13,243C,243,C,1,1,86,30,40,4,WVWGA0163G,1,U,0,C,55,3,89,1,1,1,23,U,0,0,0,0,0,0,90,180,1,28,-21,18,766,3,1,17,0,1,2,U,38,31,7
1.43,96.32051,13,243C,243,C,1,2,75,12,473,31,F104YLV200,1,U,0,C,50,3,88,1,1,1,38,0,0,0,0,0,0,0,180,90,1,19,-12,-15,813,1,1,12,0,1,8,0,23,4,1
42,2828.994,13,244G,244,G,1,1,87,12,477,30,1FTBR10C9H,1,U,0,C,45,98,2,1,1,1,26,0,0,0,2,0,0,0,998,998,5,U,U,U,U,0,1,17,0,0,8,0,998,98,0
3.52,237.09664,13,245D,245,D,1,1,75,20,473,31,CCY245F300,1,U,1,22,50,3,52,1,1,1,43,0,0,0,0,0,0,0,179,0,3,13,-13,0,258,1,1,13,0,1,8,4,44,2,1
3.52,237.09664,13,245D,245,D,1,2,79,19,3,2,6D47S92400,1,U,1,4,50,3,52,1,2,2,44,0,0,0,0,0,U,0,0,179,3,12,-12,0,259,1,0,12,0,2,1,4,N,N,1
14.6,983.4122,13,246F,246,F,1,1,83,20,470,14,1G8CT18B4D,1,U,1,C,40,U,7,1,2,2,31,0,0,0,0,2,0,0,997,997,4,U,U,U,U,0,2,17,0,0,8,0,998,98,0
10,107.01,41,2C,2,C,1,1,77,12,474,21,E11HHY2000,1,10,1,B,40,U,68,1,1,1,43,0,0,0,0,0,0,0,330,180,6,U,U,U,U,0,1,11,0,0,8,0,31,4,0
10,107.01,41,2C,2,C,1,2,85,35,39,4,JN1HU11S9F,1,35,0,C,40,7,69,1,2,2,31,0,0,0,0,0,0,0,180,330,6,U,U,U,U,0,0,17,0,1,1,3,N,N,2
54,577.854,41,3F,3,F,1,1,82,7,11,2,1B3BD21BXC,1,30,0,C,25,3,86,1,3,3,24,U,0,0,0,0,0,0,180,270,6,U,U,U,U,0,0,17,0,0,2,U,N,N,U
54,577.854,41,3F,3,F,1,2,72,9,1,2,VS29H2B435,1,35,0,C,35,U,87,1,2,2,30,U,0,0,0,0,0,0,270,180,6,U,U,U,U,0,0,17,0,0,1,4,N,N,0
54,577.854,41,3F,3,F,1,3,81,35,34,9,JN1HZ04S7B,0,35,0,C,35,U,98,1,1,0,29,U,0,0,0,0,0,0,270,270,6,U,U,U,U,0,0,17,N,N,1,N,N,N,N
54,577.854,41,3F,3,F,1,4,85,52,32,4,JA3BF46D0F,0,U,0,C,35,U,98,1,1,0,24,U,0,0,0,0,U,U,270,270,6,U,U,U,U,0,0,17,N,N,2,N,N,N,N
54,577.854,41,3F,3,F,1,5,82,13,1,4,1LNBP94F6C,0,U,0,C,35,U,98,1,3,0,40,U,0,0,0,0,U,U,270,270,6,U,U,U,U,0,0,17,N,N,1,N,N,N,N
10,107.01,41,4C,4,C,1,1,86,19,3,4,1G6CD6988G,1,10,0,C,45,1,82,1,3,3,33,U,0,0,0,0,0,0,70,178,6,U,U,U,U,0,0,17,0,3,2,U,N,N,7
10,107.01,41,4C,4,C,1,2,81,35,36,5,JN1HT03S7B,1,35,0,C,45,7,83,1,2,2,23,0,0,0,0,0,0,0,178,70,6,U,U,U,U,0,0,17,0,2,1,4,N,N,1
46,492.246,41,5E,5,E,1,1,84,20,9,3,1G1AP8710E,1,20,0,C,30,U,3,1,1,1,30,0,0,0,0,0,0,0,95,270,6,U,U,U,U,0,1,17,0,1,1,4,998,98,1
10,107.01,41,6C,6,C,1,1,88,18,3,4,1G4CW51C2J,1,45,1,C,45,U,7,1,2,2,33,U,0,1,2,0,0,0,998,998,5,U,U,U,U,0,0,17,0,2,1,4,N,N,1
165,1765.665,41,7G,7,G,1,1,83,42,37,4,WDBCB20AXD,0,10,0,C,35,U,69,1,1,0,38,U,0,0,0,0,0,0,90,205,6,U,U,U,U,0,0,17,N,N,1,N,N,N,N
165,1765.665,41,7G,7,G,1,2,86,21,1,4,1G3GR69H7G,1,10,0,C,35,1,68,1,1,1,32,0,0,0,0,0,0,0,205,90,6,U,U,U,U,0,2,17,0,1,1,6,38,4,1
210,2247.21,41,8H,8,H,1,1,77,7,474,U,B26BE7KD00,1,40,1,C,30,U,2,,,,,,,,,,,,,,,,,,,,,13,N,N,8,N,N,N,N
