PSU,CASEID,CASENO,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GAD1,OBJCONT,CLASS2,GAD2,NATWGT,PSUWGT
1,115D,115,D,1,2,1,4,L,50,0,0,88.7001,1.11
1,115D,115,D,1,3,1,4,L,41,0,0,88.7001,1.11
1,115D,115,D,1,4,1,4,L,43,0,0,88.7001,1.11
1,115D,115,D,1,5,1,4,U,88,0,0,88.7001,1.11
1,115D,115,D,1,6,1,4,F,61,0,0,88.7001,1.11
1,115D,115,D,1,7,1,4,F,41,0,0,88.7001,1.11
1,116D,116,D,1,1,1,1,F,42,0,0,88.7001,1.11
1,117E,117,E,1,1,1,9,F,2,3,F,239.73,3
1,118A,118,A,1,1,1,2,F,2,4,L,79.91,1
1,118A,118,A,1,2,1,2,R,2,4,L,79.91,1
1,118A,118,A,1,3,2,4,L,56,0,0,79.91,1
1,119D,119,D,1,1,1,4,F,50,0,0,88.7001,1.11
1,119D,119,D,1,2,1,4,F,51,0,0,88.7001,1.11
1,119D,119,D,1,3,1,4,R,71,0,0,88.7001,1.11
1,119D,119,D,1,4,1,4,R,71,0,0,88.7001,1.11
1,120E,120,E,1,1,1,3,F,2,9,B,239.73,3
1,121G,121,G,1,1,1,9,F,2,1,L,958.92,12
1,122H,122,H,1,1,1,5,U,61,0,0,1358.47,17
1,122H,122,H,1,2,1,5,F,51,0,0,1358.47,17
1,123A,123,A,1,1,1,2,L,56,0,0,79.91,1
1,123A,123,A,1,2,1,2,F,56,0,0,79.91,1
1,123A,123,A,1,3,1,2,F,56,0,0,79.91,1
1,124C,124,C,1,1,1,3,F,2,1,L,79.91,1
1,125F,125,F,1,1,1,9,R,50,0,0,327.631,4.1
1,125F,125,F,1,2,1,9,F,50,0,0,327.631,4.1
1,125F,125,F,1,3,1,9,F,51,0,0,327.631,4.1
1,125F,125,F,1,4,1,9,L,50,0,0,327.631,4.1
1,126C,126,C,1,1,1,15,R,2,1,F,79.91,1
1,126C,126,C,1,2,1,15,N,31,0,N,79.91,1
1,127E,127,E,1,1,2,2,B,3,2,F,239.73,3
1,127E,127,E,1,2,1,9,B,2,2,F,239.73,3
1,128G,128,G,1,1,1,1,R,2,19,F,958.92,12
1,129E,129,E,1,1,1,9,L,60,0,0,239.73,3
1,129E,129,E,1,2,1,9,N,31,0,N,239.73,3
1,130D,130,D,1,1,1,3,F,50,0,0,88.7001,1.11
1,130D,130,D,1,2,1,3,F,43,0,0,88.7001,1.11
1,130D,130,D,1,3,1,3,F,59,0,0,88.7001,1.11
1,131D,131,D,1,1,1,1,F,44,0,0,88.7001,1.11
1,131D,131,D,1,2,1,1,9,50,0,0,88.7001,1.11
1,131D,131,D,1,3,1,1,N,31,0,N,88.7001,1.11
1,132E,132,E,1,1,1,4,F,2,1,L,239.73,3
1,132E,132,E,1,2,2,1,F,71,0,0,239.73,3
1,132E,132,E,1,3,2,1,R,42,0,0,239.73,3
1,133F,133,F,1,1,1,15,F,50,0,0,327.631,4.1
1,133F,133,F,1,2,1,15,R,50,0,0,327.631,4.1
1,133F,133,F,1,3,1,15,F,52,0,0,327.631,4.1
1,133F,133,F,1,4,1,15,F,51,0,0,327.631,4.1
1,133F,133,F,1,5,1,15,F,68,0,0,327.631,4.1
1,134G,134,G,1,1,1,9,9,56,0,0,958.92,12
1,135D,135,D,1,1,1,3,R,2,4,F,194.1813,2.43
1,136F,136,F,1,1,1,9,9,2,9,9,663.253,8.3
1,136F,136,F,1,2,2,9,9,51,0,0,663.253,8.3
1,136F,136,F,1,3,2,9,9,50,0,0,663.253,8.3
1,137E,137,E,1,1,1,2,F,42,0,0,487.451,6.1
1,138B,138,B,1,1,1,1,L,42,0,0,79.91,1
1,139C,139,C,1,1,1,15,F,2,9,F,119.865,1.5
1,140E,140,E,1,1,2,9,B,3,19,F,487.451,6.1
1,140E,140,E,1,2,1,9,B,2,9,F,487.451,6.1
1,141G,141,G,1,1,1,9,F,50,0,0,2157.57,27
1,142E,142,E,1,1,1,4,F,2,4,F,487.451,6.1
1,142E,142,E,1,2,1,4,L,2,4,R,487.451,6.1
1,143F,143,F,1,1,1,U,9,2,1,R,994.8795,12.45
1,143F,143,F,1,2,2,1,U,61,0,0,994.8795,12.45
1,144H,144,H,1,1,1,19,9,51,0,0,4195.275,52.5
1,145C,145,C,1,1,1,9,F,2,3,F,119.865,1.5
1,146G,146,G,1,1,1,9,F,56,0,0,2157.57,27
1,147C,147,C,1,1,1,15,R,2,9,F,119.865,1.5
1,148E,148,E,1,1,1,19,F,2,9,F,487.451,6.1
1,149F,149,F,1,1,1,9,F,51,0,0,663.253,8.3
1,150C,150,C,1,1,1,9,L,2,9,F,179.7975,2.25
1,151D,151,D,1,1,1,2,F,50,0,0,291.27195,3.645
1,151D,151,D,1,2,1,2,F,56,0,0,291.27195,3.645
1,152G,152,G,1,1,1,1,F,51,0,0,2157.57,27
1,153E,153,E,1,1,1,1,F,57,0,0,487.451,6.1
1,153E,153,E,1,2,1,1,L,42,0,0,487.451,6.1
1,154H,154,H,1,1,1,9,F,56,0,0,2796.85,35
2,1G,1,G,1,1,1,15,F,50,0,0,1054.36,43
2,2C,2,C,1,1,1,2,F,2,2,F,72.5792,2.96
2,3C,3,C,1,1,1,2,L,42,0,0,72.5792,2.96
2,4F,4,F,1,1,1,4,L,42,0,0,372.704,15.2
2,4F,4,F,1,2,1,4,F,42,0,0,372.704,15.2
2,5H,5,H,1,1,1,3,F,2,9,9,1544.76,63
2,5H,5,H,1,2,1,3,R,42,0,0,1544.76,63
2,6G,6,G,1,1,1,22,B,2,13,F,1054.36,43
2,6G,6,G,1,2,2,13,9,56,0,0,1054.36,43
2,7E,7,E,1,1,1,13,R,50,0,0,294.24,12
2,7E,7,E,1,2,1,13,F,44,0,0,294.24,12
2,8F,8,F,1,1,1,2,F,2,1,L,372.704,15.2
2,9G,9,G,1,1,1,15,R,2,11,F,1054.36,43
2,10F,10,F,1,1,1,1,N,31,0,N,372.704,15.2
2,11C,11,C,1,1,1,22,R,2,1,F,72.5792,2.96
2,12H,12,H,1,1,1,3,F,2,20,F,1544.76,63
2,13E,13,E,1,1,1,4,F,68,0,0,294.24,12
2,14G,14,G,1,1,1,1,F,60,0,0,1054.36,43
2,15D,15,D,1,1,1,3,F,2,2,F,112.792,4.6
2,16F,16,F,1,1,1,1,F,2,1,F,372.704,15.2
2,17A,17,A,1,1,1,5,F,2,1,R,24.52,1
2,17A,17,A,1,2,2,1,F,56,0,0,24.52,1
2,18E,18,E,1,1,1,3,B,2,3,F,294.24,12
2,19G,19,G,1,1,1,2,L,2,12,F,1054.36,43
2,20E,20,E,1,1,1,U,9,51,0,0,294.24,12
2,20E,20,E,1,2,1,U,9,60,0,0,294.24,12
2,21H,21,H,1,1,1,3,F,68,0,0,1544.76,63
2,22D,22,D,1,1,1,1,N,31,0,N,112.792,4.6
2,23F,23,F,1,1,1,5,F,56,0,0,372.704,15.2
2,24C,24,C,1,1,1,13,F,2,1,F,72.5792,2.96
2,25D,25,D,1,1,1,3,U,88,0,0,112.792,4.6
2,25D,25,D,1,2,1,3,R,42,0,0,112.792,4.6
2,25D,25,D,1,3,1,3,F,52,0,0,112.792,4.6
2,25D,25,D,1,4,1,3,F,43,0,0,112.792,4.6
2,26E,26,E,1,1,1,1,F,2,15,F,294.24,12
2,27F,27,F,1,1,1,4,F,88,0,0,372.704,15.2
2,27F,27,F,1,2,1,4,F,52,0,0,372.704,15.2
2,28G,28,G,1,1,1,9,9,44,0,0,1054.36,43
2,29C,29,C,1,1,1,1,R,56,0,0,72.5792,2.96
2,29C,29,C,1,2,1,1,F,44,0,0,72.5792,2.96
2,29C,29,C,1,3,1,1,N,31,0,N,72.5792,2.96
2,30E,30,E,1,1,1,1,R,2,3,F,294.24,12
2,31G,31,G,1,1,1,2,R,56,0,0,1054.36,43
2,32D,32,D,1,1,1,1,T,51,0,0,112.792,4.6
2,33A,33,A,1,1,1,1,L,2,12,F,24.52,1
2,33A,33,A,1,2,1,1,L,2,12,R,24.52,1
2,33A,33,A,1,3,2,12,N,31,0,N,24.52,1
2,34D,34,D,1,1,2,2,B,3,4,F,61.3,2.5
2,34D,34,D,1,2,1,15,L,2,2,F,61.3,2.5
2,35F,35,F,1,1,1,5,F,44,0,0,372.704,15.2
2,36D,36,D,1,1,1,1,N,35,0,N,61.3,2.5
2,36D,36,D,1,2,1,1,F,42,0,0,61.3,2.5
2,37H,37,H,1,1,1,3,F,50,0,0,1544.76,63
2,37H,37,H,1,2,1,3,9,56,0,0,1544.76,63
2,37H,37,H,1,3,1,3,N,31,0,N,1544.76,63
2,37H,37,H,1,4,1,3,9,41,0,0,1544.76,63
2,37H,37,H,1,5,1,3,9,50,0,0,1544.76,63
2,37H,37,H,1,6,1,3,9,41,0,0,1544.76,63
