PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,NATWGT,PSUWGT
1,1H,1,H,1,1,1,2,12,F,Y,E,W,1,,,,,,,,,72,2,2,2,2,2,2,0,,,,,,,,,0,0,1185,1358.47,17
1,1H,1,H,1,2,1,1,6,B,Z,E,W,1,2,3,12,F,Z,L,W,1,62,0,1,1,2,1,0,0,62,1,0,0,0,1,2,0,0,0,1043,1358.47,17
1,1H,1,H,1,3,2,2,6,B,Y,L,W,1,,,,,,,,,60,0,0,0,0,0,0,0,,,,,,,,,0,0,972,1358.47,17
1,2F,2,F,1,1,3,3,3,R,Z,E,W,2,2,2,1,R,B,M,S,1,53,0,3,7,9,6,0,-36,,,,,,,,,0,1,1049,327.631,4.1
1,2F,2,F,1,3,3,1,12,F,R,E,W,1,,,,,,,,,63,0,0,1,2,4,7,0,,,,,,,,,0,0,1049,327.631,4.1
1,3G,3,G,1,1,1,2,12,F,R,E,N,2,,,,,,,,,57,0,1,3,5,7,9,0,,,,,,,,,0,1,970,879.01,11
1,3G,3,G,1,2,1,1,11,F,R,E,W,1,,,,,,,,,76,1,1,1,2,6,10,0,,,,,,,,,0,1,1215,879.01,11
1,4E,4,E,1,1,1,2,10,L,Y,E,W,2,,,,,,,,,120,0,1,9,4,0,0,21,,,,,,,,,0,1,999,255.712,3.2
1,4E,4,E,1,2,1,1,81,F,D,E,W,1,,,,,,,,,68,6,6,5,5,4,4,0,,,,,,,,,0,1,1171,255.712,3.2
1,5D,5,D,1,1,1,2,2,F,R,E,E,2,2,2,3,R,B,L,E,1,70,5,4,3,3,3,12,0,,,,,,,,,0,1,1127,98.2893,1.23
1,5D,5,D,1,2,1,1,11,F,Y,E,W,1,2,1,9,L,B,E,N,1,,,,,,,,,53,0,1,3,2,1,0,-77,0,1,1215,98.2893,1.23
1,7G,7,G,1,2,1,1,12,F,D,M,W,1,,,,,,,,,54,0,6,9,9,5,0,0,,,,,,,,,0,1,965,879.01,11
1,8H,8,H,1,1,2,2,6,B,Z,L,N,1,,,,,,,,,69,1,2,,,,,0,,,,,,,,,0,0,1081,1358.47,17
1,8H,8,H,1,2,1,3,6,B,Z,L,W,2,2,1,12,F,C,L,N,1,59,0,2,2,3,3,3,0,59,2,2,,,,,0,0,0,943,1358.47,17
1,8H,8,H,1,3,1,2,12,F,Y,L,W,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1240,1358.47,17
1,9C,9,C,1,1,1,51,12,F,Y,E,N,3,,,,,,,,,60,6,23,20,7,0,0,0,,,,,,,,,0,1,963,79.91,1
1,10D,10,D,1,1,1,52,12,F,L,A,W,6,,,,,,,,,70,20,27,23,10,0,0,0,,,,,,,,,0,1,1250,98.2893,1.23
1,11F,11,F,1,1,1,51,12,F,C,E,N,2,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1220,327.631,4.1
1,12C,12,C,1,1,1,2,6,B,R,E,E,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1160,79.91,1
1,12C,12,C,1,2,1,1,12,F,L,E,E,4,,,,,,,,,55,3,1,1,1,1,1,0,,,,,,,,,0,1,955,79.91,1
1,13D,13,D,1,1,1,56,3,R,P,L,N,4,,,,,,,,,50,9,32,27,20,15,9,2,,,,,,,,,0,1,1055,98.2893,1.23
1,14E,14,E,1,1,1,2,12,F,Z,E,W,1,,,,,,,,,63,0,0,3,0,1,1,0,,,,,,,,,0,1,1091,255.712,3.2
1,14E,14,E,1,2,1,1,11,L,F,E,E,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1330,255.712,3.2
1,15F,15,F,1,1,1,2,12,F,D,E,W,1,,,,,,,,,58,2,2,2,2,2,1,0,,,,,,,,,0,1,964,327.631,4.1
1,15F,15,F,1,2,1,1,6,B,D,L,W,1,,,,,,,,,70,0,1,2,2,2,3,0,,,,,,,,,0,0,1160,327.631,4.1
1,16G,16,G,1,1,1,2,12,F,D,E,W,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1003,879.01,11
1,16G,16,G,1,2,1,1,6,B,D,E,W,1,,,,,,,,,67,1,1,,,,,0,,,,,,,,,0,0,1084,879.01,11
1,17H,17,H,1,1,1,42,10,L,F,E,W,1,,,,,,,,,36,1,3,4,3,2,1,65,,,,,,,,,0,0,1080,1358.47,17
1,18C,18,C,1,1,1,2,1,F,Y,E,W,2,,,,,,,,,64,5,6,14,11,4,0,0,,,,,,,,,0,1,1119,79.91,1
1,18C,18,C,1,2,1,1,11,F,Y,E,W,2,,,,,,,,,62,12,10,5,2,0,0,0,,,,,,,,,0,1,1049,79.91,1
1,19F,19,F,1,1,3,51,1,R,Y,A,W,4,2,51,U,9,9,9,9,U,110,1,13,17,19,11,3,14,,,,,,,,,1,1,996,327.631,4.1
