PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,PSUWGT,NATWGT,RATWGT,DRINKING,ALCTEST,VEHNO,OCUPANTS,DRPRES,MONDRIVE,MILEVEH,MILETOT,DRTRAIN,LASTRAIN,FREQDRIV,TYPEOP,BMCSREG,DRCLASS,ACCTYPE,AVOIDMAN,RELFACT,VIOCHAR1,VIOCHAR2,LSTATUS,LTYPCOMP,LREST,PREVSPD,PREVOTH,PREVDWI,PREVSUS,PREVACC,FEDAID,CLASTRAF,ROADFUNC,LANES,LANEWIDT,MEDIANT,MEDIANW,ACCESS,TRAFFLOW,SHOULDLT,SHOULDRT,ALIGNMNT,SLOPE,SUPELEV,CURVE,GRADE,PROFILE,SURTYPE,SURCOND,SPLIMIT,RESTRICT,TRAFCONT,TRCTLFCT,TRUCKSYS,ENVRF
1,001V,1,V,4,8,150.000,194.100,182.130,0,C,1,1,1,58,580,100,1,2,1,0,0,0,24,8,1,0,0,1,2,0,0,0,0,0,U,3,6,14,2,117,0,0,3,0,0,0,1,2,98,0,0,1,2,2,30,0,28,6,0,0
1,001V,1,V,4,8,150.000,194.100,182.130,0,C,2,3,1,1,U,210,1,3,2,0,0,0,26,1,1,0,0,5,3,0,0,0,0,0,U,3,6,14,2,113,0,0,3,0,0,0,1,2,98,0,0,1,2,2,30,0,28,6,0,0
1,002Z,2,Z,4,8,348.000,450.310,446.829,0,C,1,1,1,61,200,200,0,0,1,0,0,0,11,6,4,0,0,5,3,0,0,0,0,0,U,5,6,16,2,80,0,0,3,0,6,1,1,2,0,0,0,1,2,4,30,0,0,0,0,0
1,003C,3,C,4,8,51.667,66.850,68.979,0,C,1,1,1,61,U,U,0,2,U,0,0,0,15,0,1,0,0,3,2,1,0,0,0,0,U,3,6,15,5,123,0,0,3,0,0,0,1,2,0,0,0,1,2,2,30,0,2,3,0,2
1,004V,4,V,4,8,51.667,66.850,62.728,0,C,1,2,1,22,60,60,1,2,1,0,0,0,68,1,1,98,0,5,3,0,0,0,0,0,U,3,6,14,2,105,0,0,3,0,1,1,1,1,98,0,0,1,2,3,30,0,1,3,0,0
1,004V,4,V,4,8,51.667,66.850,62.728,0,C,2,1,1,U,U,U,U,U,U,0,0,0,68,U,1,0,0,5,3,0,0,0,0,0,U,3,6,14,2,105,0,0,3,0,1,1,1,1,98,0,0,1,2,3,30,0,1,3,0,0
1,005B,5,B,4,8,17.684,22.880,21.435,0,C,1,3,1,61,U,180,2,4,4,0,0,0,92,1,1,98,0,5,3,1,1,1,0,0,U,5,8,16,1,80,4,3,3,1,1,1,1,1,98,0,0,1,1,2,0,0,0,0,0,0
1,006V,6,V,4,8,37.333,48.300,45.321,0,C,1,1,1,U,U,U,U,U,U,0,0,0,88,U,1,0,0,5,3,1,1,0,0,0,U,3,6,15,3,130,0,0,3,3,0,0,1,1,98,0,0,1,2,2,30,0,1,3,0,0
1,006V,6,V,4,8,37.333,48.300,45.321,0,C,2,1,1,U,U,U,U,U,U,0,0,0,89,U,1,0,0,5,3,0,0,0,0,1,U,3,6,16,1,150,0,0,3,3,0,0,1,2,98,0,0,1,2,2,30,0,1,3,0,0
1,007V,7,V,4,8,49.000,63.400,59.490,U,C,1,1,1,U,U,U,U,U,U,0,0,0,21,U,98,0,0,3,2,0,0,0,0,0,U,3,6,14,4,105,0,0,3,0,2,2,1,2,98,0,0,1,2,1,30,0,1,3,0,0
1,007V,7,V,4,8,49.000,63.400,59.490,0,C,2,1,1,U,U,U,U,U,U,0,0,0,21,U,1,0,0,5,3,0,0,0,0,0,U,3,6,14,4,105,0,0,3,0,2,2,1,2,98,0,0,1,2,1,30,0,1,3,0,0
1,008W,8,W,4,8,147.000,190.210,212.159,0,C,1,1,1,U,U,U,U,U,U,0,0,0,1,U,1,U,0,5,2,0,0,0,0,0,U,5,6,16,2,160,0,0,3,0,0,5,1,1,98,0,0,1,2,3,30,0,0,0,U,0
1,009M,9,M,4,8,393.000,508.540,497.930,0,C,1,2,1,61,997,250,0,0,3,0,0,0,92,1,1,0,0,5,3,2,0,0,0,0,U,5,6,16,2,80,0,0,3,0,0,0,1,1,98,0,0,1,2,1,30,0,0,0,0,0
1,009M,9,M,4,8,393.000,508.540,497.930,0,C,2,1,1,U,U,U,U,U,U,U,U,U,93,1,1,0,0,U,U,U,U,U,U,U,U,5,6,16,2,80,0,0,3,0,0,0,1,1,98,0,0,1,2,1,30,0,0,0,0,0
1,010W,10,W,4,8,262.000,339.020,378.142,0,C,1,2,1,61,750,90,8,4,1,0,0,0,20,3,1,1,0,5,3,1,0,0,0,0,U,1,1,11,4,110,2,44,1,2,2,2,1,2,0,0,0,1,1,2,55,0,0,0,1,0
1,010W,10,W,4,8,262.000,339.020,378.142,0,C,2,3,1,U,U,U,U,U,U,0,0,0,21,U,1,0,0,5,3,0,0,0,0,0,U,1,1,11,4,110,2,44,1,2,2,2,1,2,0,0,0,1,1,2,55,0,0,0,U,0
1,011L,11,L,4,8,21.000,27.170,22.425,8,C,1,2,1,61,870,100,0,0,2,0,0,0,45,2,1,98,0,5,3,0,1,0,0,0,U,3,6,14,3,110,4,4,3,1,1,2,1,1,0,0,0,1,2,2,30,0,1,3,0,0
1,011L,11,L,4,8,21.000,27.170,22.425,0,C,2,1,1,U,U,U,U,U,U,U,U,U,44,U,1,0,0,6,3,1,1,1,0,1,U,3,6,14,3,180,4,4,3,1,1,2,1,1,0,0,0,1,2,2,30,0,1,3,0,0
1,012V,12,V,4,8,28.000,36.230,33.996,0,C,1,1,1,1,U,U,2,3,2,0,0,0,46,1,1,98,0,5,3,0,0,1,0,0,U,5,6,16,2,82,0,0,3,0,0,0,1,2,0,0,0,1,2,3,30,5,0,0,0,0
