ACCSEQDV,ACCTYPE,ALCTEST,ANGTHIS,ANGOTHER,AOPSVEH,WEATHER,BAGDEPFV,BAGDEPOV,BAREQSP,BODYTYPE,CARGOWGT,CASEID,CASENO,CONDTREE,CURBWGT,DVEST,DOCTRAJ,DRIVDIST,DRINKING,DRIVE,DRPRES,DRRACE,DRZIP,DVBASIS,DVCONFID,DVLAT,DVLONG,DVTOTAL,ENERGY,FOVERIDE,IMPACTSP,INSPTYPE,LANES,LGTCOND,MAKE,MANEUVER,MODEL,MODELYR,RATWGT,OCCFORMS,OCUPANTS,PREEVENT,PREMOVE,PREILOC,PREISTAB,PSU,ALIGNMNT,SURCOND,PROFILE,SURTYPE,RELINTER,ROLINDIR,ROLINLOC,ROLINTYP,ROLLOBJ,ROLLOVER,ROVERIDE,SPECOTH,SPLIMIT,STRATIF,TOWHITCH,TOWPAR,TRAFCONT,TRCTLFCT,TRAVELSP,TRAFFLOW,TRIPLOC,VEHNO,VEHUSE,VERSION,VIN,VINLNGTH,DRUGS,VINO,MCYCLDS,VEHWGT,VINMAKE,VINAMOD,SERTR,VINBT,ROOF1,ROOF2,ROOF3,ANTILOCK,FRTWHLDR,FOURWHDR,RESTYPE,CARBUR,FUELCODE,WGTCDTR,VEHTYPE,WHLDRWHL,DAYRUNLT,VINMODYR,OTVEHWGT,OTBDYTYP,VINJSER,VINJURED,VTREAT,VAIS
1,83,C,270,120,0,1,0,0,U,31,0,176D,176,0,198,U,0,1,0,8,1,2,48197,8,0,U,U,U,U,U,U,1,4,3,12,3,481,93,60.937056098,1,1,67,1,1,2,11,1,2,2,2,2,0,0,0,0,0,0,0,56,D,0,1,0,0,U,0,0,2,0,9,1FTEX14H5P,17,7,4,,,FORD,COF,F15,PS,1,,,3,,,A,,G,2,T,44,N,93,99,1,0,0,0,0
1,68,C,30,270,0,1,0,0,17,4,0,177E,177,0,89,0,0,U,7,2,1,2,48198,3,1,-17,-20,26,289,0,998,3,5,1,46,U,39,86,229.57286344,1,1,15,11,1,1,11,1,2,1,1,2,0,0,0,0,0,0,0,48,E,0,1,0,0,U,0,0,1,0,9,1XMAC9564G,17,7,4,,1971,AMER,ADL,,4D,1,2,,1,Y,N,A,F,G,,P,,N,86,178,14,0,0,0,0
1,69,C,270,30,1,1,1,0,27,14,0,177E,177,0,178,0,0,U,0,8,1,U,48420,3,4,12,-7,13,562,0,998,3,5,1,38,U,402,95,229.57286344,1,1,62,1,1,1,11,1,2,1,1,2,0,0,0,0,0,0,U,48,E,0,1,0,0,U,0,0,2,0,9,4S2CM58V8S,17,7,4,,,ISU,ROD,RLS,4W,1,3,,3,,,E,,G,1,T,44,N,95,89,4,0,0,4,0
1,73,C,0,340,1,0,1,0,9,4,0,178G,178,0,203,0,1,1,7,2,1,1,48189,3,4,-2,-6,6,69,0,998,2,2,1,19,1,3,95,713.50533739,0,1,61,1,1,1,11,1,1,1,2,3,0,0,0,0,0,0,0,72,G,0,0,0,0,U,0,0,1,0,9,1G6DW52P6S,17,7,4,,4330,CADI,FLB,,4D,1,3,,2,Y,N,E,F,G,,P,,N,95,128,4,N,N,N,N
1,72,C,340,0,1,0,1,0,8,4,0,178G,178,0,128,0,0,1,0,2,1,1,48158,3,1,6,7,10,99,0,998,3,2,1,9,7,19,94,713.50533739,2,2,10,11,2,1,11,1,1,1,2,3,0,0,0,0,0,0,0,72,G,0,1,0,0,U,0,0,2,0,9,3P3AA4632R,17,7,4,,2751,PLYM,ACC,,4D,1,,,5,Y,N,D,F,G,,P,,N,94,203,4,0,0,0,0
2,1,C,997,997,0,0,0,0,U,30,5,179H,179,0,126,7,1,U,7,8,1,U,U,5,0,U,U,U,U,0,U,3,2,3,12,U,471,87,1473.9796658,2,2,13,1,4,3,11,1,1,1,2,0,2,4,1,61,3,0,0,40,H,0,1,0,0,U,0,1,1,0,9,1FTBR10A6H,17,7,4,,,FORD,RNG,RNG,PK,1,,,1,,,A,,G,1,T,42,N,87,998,98,0,1,0,1
1,20,C,270,270,0,1,0,0,8,4,0,180E,180,0,119,0,1,4,7,2,1,2,48197,3,4,0,-10,10,33,U,998,0,5,3,41,2,37,91,183.33212166,0,1,50,1,1,1,11,1,2,1,2,2,0,0,0,0,0,0,0,56,E,0,0,1,2,U,0,0,1,0,9,1YVGD22BXM,17,7,4,,2610,MAZD,6DL,,4D,1,3,,5,Y,N,P,F,G,,P,,N,91,N,N,N,N,N,N
1,21,C,270,270,1,1,1,0,11,2,0,180E,180,0,122,0,1,8,7,2,1,2,48105,3,1,0,10,10,62,0,998,3,5,3,22,1,16,96,183.33212166,2,2,53,5,1,1,11,1,2,1,2,2,0,0,0,0,0,U,U,56,E,0,1,1,2,0,0,0,2,0,9,1G2JB1240T,17,7,4,,2611,PONT,SFS,,CP,1,3,,2,Y,N,E,F,G,,P,,S,96,119,4,0,1,4,1
2,47,C,997,997,1,1,0,0,U,4,0,181E,181,0,118,7,1,1,0,U,1,1,49282,5,0,U,U,U,U,0,U,3,2,4,12,U,15,93,183.33212166,1,1,5,14,2,4,11,3,2,4,2,0,2,4,1,61,3,0,0,105,E,0,1,0,0,U,1,1,1,0,9,2FAPP36X5P,17,7,4,,2600,FORD,TGL,,4D,1,,,1,Y,N,P,F,G,,P,,N,93,998,98,0,1,4,1
1,45,C,90,60,1,1,1,0,U,4,0,181E,181,0,136,U,0,U,0,2,1,U,48103,11,0,U,U,U,U,0,U,1,2,4,49,U,40,95,183.33212166,0,1,61,14,1,1,11,3,2,4,2,0,0,0,0,0,0,0,0,105,E,0,0,0,0,U,1,0,2,0,9,4T1GK13E9S,17,7,4,,3274,TOYT,XLE,,4D,1,3,,2,Y,N,E,F,G,,P,,N,95,118,4,N,N,N,N
1,68,C,240,100,0,0,0,0,17,4,U,182F,182,0,159,0,0,U,0,1,1,U,48301,3,4,-6,-15,16,248,U,998,0,3,1,20,U,2,83,441.37775627,0,1,15,11,1,U,11,1,1,4,2,2,0,0,0,0,0,0,0,40,F,0,0,1,2,U,0,0,1,0,9,1G1AN69H9D,17,7,4,,3537,CHEV,CCL,,4D,,,,,,,,4,G,,P,,,83,N,N,N,N,N,N
1,69,C,100,240,1,0,0,0,21,2,0,182F,182,0,114,0,0,1,0,2,1,1,48108,3,4,8,-21,23,214,U,998,3,3,1,22,9,18,91,441.37775627,1,1,62,1,1,1,11,1,1,2,2,2,0,0,0,0,0,0,U,40,F,0,1,1,2,U,0,0,2,0,9,1G2NE14D9M,17,7,4,,2498,PONT,GAL,,CP,1,2,,1,Y,N,P,F,G,,P,,N,91,159,4,0,1,4,2
1,68,C,320,140,1,1,6,0,U,3,0,183G,183,0,147,U,0,1,0,1,1,1,48167,11,0,U,U,U,U,0,U,2,4,1,22,1,9,94,569.79054648,1,1,15,11,1,1,11,1,2,2,2,2,0,0,0,0,0,0,0,56,G,0,1,1,2,U,0,0,1,0,9,2G2FS22S2R,17,7,4,,3232,PONT,FBD,,2H,1,5,,2,N,N,E,F,G,,P,,N,94,174,4,0,1,0,1
1,69,C,140,320,0,1,0,0,U,4,0,183G,183,0,174,6,0,1,0,1,1,2,48197,7,0,U,U,U,U,0,U,2,4,1,14,7,6,88,569.79054648,0,2,62,1,1,1,11,1,2,4,2,2,0,0,0,0,0,0,0,56,G,0,0,1,2,U,0,0,2,0,9,2MEBM74F0J,17,7,4,,3828,MERC,GMG,,4D,1,,,1,N,N,A,F,G,,P,,N,88,147,3,N,N,N,N
2,98,C,100,340,0,1,0,0,11,4,0,183G,183,0,168,0,0,1,0,1,1,1,48130,1,1,0,-8,8,109,0,998,2,3,1,18,1,2,84,569.79054648,0,1,98,5,1,1,11,1,2,4,2,2,0,0,0,0,0,0,0,56,G,0,0,1,2,0,0,0,3,0,9,1G4AP69Y1E,17,7,4,,3635,BUIC,LLM,,4D,,,,,,,,4,G,,P,,,84,174,4,N,N,N,N
1,28,C,270,270,1,1,0,0,18,6,0,184G,184,0,110,0,0,1,0,2,1,1,48160,3,4,0,-22,22,153,4,998,3,4,1,12,3,13,93,569.79054648,1,1,52,1,1,2,11,1,2,4,2,2,0,0,0,0,0,0,U,56,G,0,1,1,2,U,1,0,1,0,9,1FAPP15J5P,17,7,4,,2411,FORD,LXE,,SW,1,3,,1,Y,N,P,F,G,,P,,N,93,156,4,0,1,4,1
1,29,C,270,270,1,1,1,0,19,4,0,184G,184,0,156,0,0,1,0,1,1,1,48108,3,4,0,16,16,221,0,998,1,4,1,22,1,2,96,569.79054648,0,1,53,2,1,1,11,1,2,4,2,2,0,0,0,0,0,U,0,56,G,0,0,1,2,U,1,0,2,0,9,1G2HX52K7T,17,7,4,,3351,PONT,BVS,,4D,1,3,,2,Y,N,E,F,G,,P,,S,96,110,6,N,N,N,N
1,20,C,90,90,1,0,0,0,14,3,0,185H,185,0,102,0,0,98,0,2,1,1,49286,4,0,U,U,U,U,4,U,3,3,1,12,2,13,89,1177.0895538,1,1,50,1,1,1,11,1,1,1,1,2,0,0,0,0,0,0,0,89,H,0,1,6,2,U,0,0,1,0,9,1FAPP93J6K,17,7,4,,2442,FORD,EGT,,2H,1,,,1,Y,N,P,F,G,,P,,N,89,198,31,0,0,0,0
1,21,C,90,90,0,0,0,0,U,31,5,185H,185,0,198,6,0,1,0,8,1,1,49286,4,0,U,U,U,U,0,U,2,3,1,20,1,481,94,1177.0895538,0,1,53,5,1,1,11,1,1,1,1,2,0,0,0,0,0,1,0,89,H,0,0,6,2,0,0,0,2,0,9,1GCEK14Z6R,17,7,4,,,CHEV,GM4,GK1,PK,1,,,3,,,A,,G,2,T,44,N,94,102,3,N,N,N,N
2,98,C,997,997,1,0,1,0,U,20,1,186E,186,0,165,7,0,1,0,8,1,1,48103,5,0,U,U,U,U,0,U,3,2,5,12,9,441,95,178.13850606,4,4,90,1,1,1,11,1,1,1,2,0,2,1,3,31,8,0,0,105,E,0,1,0,0,U,1,6,1,0,9,1FMCA11U7S,17,7,4,,,FORD,ARO,ARO,SV,1,,,3,,,M,,G,1,T,42,N,95,998,98,1,2,4,3
1,68,C,300,140,1,1,6,0,22,2,0,187E,187,0,89,0,0,U,0,2,1,U,48315,3,4,-12,-21,24,196,0,998,3,4,3,49,U,38,96,178.13850606,1,1,15,11,1,1,11,1,2,1,2,2,0,0,0,0,0,0,U,56,E,0,1,1,2,U,0,0,1,0,9,JT2AC52L5T,17,7,5,,1950,TOYT,TTD,,2D,1,,,5,Y,N,E,F,G,,P,,N,96,189,20,0,1,4,1
1,69,C,140,300,1,1,1,0,14,20,0,187E,187,0,189,0,0,1,0,8,1,1,48197,3,4,2,-12,12,141,0,998,1,4,3,14,1,443,96,178.13850606,0,1,62,1,1,1,11,1,2,1,2,2,0,0,0,0,0,0,0,56,E,0,0,1,2,U,0,0,2,0,9,4M2DV11W9T,17,7,4,,,MERC,VLR,VLR,SV,1,3,,2,,,E,,G,1,T,42,N,96,89,2,N,N,N,N
2,8,C,998,998,0,0,0,0,U,14,7,189F,189,1,U,7,1,1,0,8,1,1,48158,11,0,U,U,U,U,0,U,2,2,1,12,8,401,85,428.87396599,1,1,87,14,4,4,11,2,1,4,5,0,1,4,2,42,1,0,0,89,F,0,1,0,0,U,0,4,1,0,9,1FMCU14S8F,17,7,4,,,FORD,BII,BII,UT,1,2,,1,,,A,,G,1,T,44,N,85,998,98,0,1,4,1
1,20,C,270,270,1,0,1,0,U,6,0,190G,190,0,144,6,0,1,0,2,1,1,48104,11,0,U,U,U,U,U,U,2,6,1,49,98,40,94,553.64895033,2,2,50,1,1,1,11,1,1,2,2,2,0,0,0,0,0,0,0,56,G,0,1,1,2,U,0,0,1,0,9,4T1SK12WXR,17,7,4,,3263,TOYT,CLE,,SW,1,3,,7,Y,N,E,F,G,,P,,N,94,142,14,0,0,0,0
U,21,C,270,270,1,0,1,0,U,14,0,190G,190,0,142,U,0,1,0,8,1,1,44092,0,0,U,U,U,U,0,U,0,6,1,2,4,404,95,553.64895033,0,2,53,5,1,1,11,1,1,2,2,2,0,0,0,0,0,U,0,56,G,0,0,1,2,0,0,0,2,0,9,1J4FJ67S8S,17,7,4,,,JEEP,CHK,SPT,2W,1,,,5,,,M,,G,1,T,44,N,95,N,N,N,N,N,N
1,89,C,270,0,0,0,0,0,25,4,U,191H,191,0,163,0,0,U,0,1,1,U,48025,3,4,16,-9,18,453,0,998,0,2,1,41,U,43,93,1143.7437844,0,1,17,1,1,1,11,1,1,4,2,2,0,0,0,0,0,0,0,40,H,0,0,2,2,U,0,0,1,0,9,JM1HD461XP,17,7,5,,3596,MAZD,929,,4D,3,,,2,N,N,C,F,G,,P,,N,93,N,N,N,N,N,N
1,88,C,0,270,0,0,0,0,21,4,0,191H,191,0,103,0,0,U,0,2,1,1,48104,3,4,-14,-24,28,290,0,998,3,2,1,37,4,32,84,1143.7437844,1,1,66,1,1,1,11,1,1,1,2,2,0,0,0,0,0,0,0,40,H,0,1,0,0,U,0,0,2,0,9,1HGAD5421E,17,7,4,,9999,HOND,UA8,,4D,,,,,,,,3,G,,P,,,84,163,4,0,0,0,0
,98,0,,,,0,,,,63,,192A,192,,,,,1,0,8,,1,48601,,,,,,,,,,2,2,86,U,881,88,46.580076918,,,10,97,2,7,11,1,1,1,2,0,,,,,,,0,89,A,,1,0,0,U,0,,1,0,9,1M2N190Y6J,17,7,4,,,MACK,600,R60,DS,,,,,,,,,D,8,T,42,,88,N,N,N,N,N,N
1,98,C,180,0,1,0,6,0,63,3,0,192A,192,0,91,0,1,U,7,2,1,1,49230,4,0,U,U,U,U,7,U,3,2,2,12,U,36,94,46.580076918,1,1,62,1,1,1,11,1,1,1,2,0,0,0,0,0,0,0,U,89,A,0,1,0,0,U,0,0,2,0,9,KNJLT05H9R,17,7,5,,2004,FORD,ASP,,2H,1,,,7,Y,N,E,F,G,,P,,N,94,N,63,1,1,1,6
2,72,C,998,998,0,0,0,0,22,4,0,193C,193,1,170,0,1,98,0,1,1,1,48198,1,1,0,-22,22,428,0,998,3,3,1,6,1,10,86,52.500941736,2,2,10,11,1,1,11,1,1,2,2,2,0,0,0,0,0,0,0,56,C,0,1,0,0,U,0,0,1,0,9,1C3BF66P6G,17,7,4,,3655,CHRY,FAV,,4D,1,3,,1,N,N,A,2,G,,P,,N,86,998,98,0,1,0,1
1,73,C,270,240,1,0,0,0,7,20,0,193C,193,0,182,0,1,1,0,8,1,6,48197,3,4,-5,-8,9,41,0,998,2,3,1,14,1,443,93,52.500941736,1,1,61,1,1,1,11,1,1,2,2,2,0,0,0,0,0,0,0,56,C,0,1,0,0,U,0,0,2,0,9,4M2DV11W7P,17,7,4,,,MERC,VLR,VLR,SV,1,3,,2,,,P,,G,1,T,42,N,93,170,4,0,1,4,1
2,7,0,998,998,0,0,0,0,U,30,0,194D,194,1,116,2,1,1,0,8,1,1,61571,11,0,U,U,U,U,0,U,2,2,1,20,U,471,85,71.981647773,1,1,5,14,4,1,11,2,1,1,4,0,0,0,0,0,0,0,U,89,D,0,1,0,0,U,0,0,1,0,9,1GCBS14E0F,17,7,4,,,CHEV,S,S14,PK,1,,,1,,,A,,G,1,T,42,N,85,998,98,1,1,3,3
1,98,C,10,180,0,0,0,0,U,31,23,195E,195,0,204,7,0,1,0,8,1,2,48141,4,0,U,U,U,U,0,U,3,2,2,12,1,481,82,271.18200406,1,1,10,13,2,1,11,1,1,1,2,3,0,0,0,0,0,0,0,80,E,0,1,0,0,U,0,0,1,0,9,2FTFF26G7C,17,7,4,,,FORD,COF,F25,PK,,,,,,,,,G,2,T,44,,82,187,20,0,0,0,0
1,98,C,180,10,1,0,0,0,U,20,0,195E,195,0,187,7,0,1,0,8,1,2,48111,7,0,U,U,U,U,0,U,3,2,2,14,1,443,93,271.18200406,2,2,62,1,1,1,11,1,1,1,2,3,1,1,7,1,3,0,U,80,E,0,1,0,0,U,0,3,2,0,9,4M2DV11W1P,17,7,4,,,MERC,VLR,VLR,SV,1,3,,2,,,P,,G,1,T,42,N,93,204,31,0,2,4,1
1,7,C,998,998,0,1,0,0,22,4,5,196F,196,0,114,0,0,1,0,2,1,1,48476,1,1,7,-21,22,309,0,998,3,3,1,18,7,15,84,652.87906676,2,2,5,1,2,4,11,1,2,4,2,0,0,0,0,0,0,0,0,105,F,0,1,0,0,U,2,0,1,0,9,1G4AB69R3E,17,7,4,,2531,BUIC,SXC,,4D,,,,,,,,F,G,,P,,,84,998,98,0,2,4,1
1,98,D,997,997,1,0,1,0,U,21,45,197G,197,0,223,7,1,5,1,8,1,1,48103,5,0,U,U,U,U,0,U,2,2,2,20,7,461,96,842.8252556,1,1,8,14,2,1,11,3,1,2,2,0,2,1,3,31,1,0,0,40,G,0,1,6,2,U,0,6,1,0,9,1GCFG15M6T,17,7,4,,,CHEV,VAN,G10,VN,1,,,2,,,E,,G,2,T,42,N,96,998,98,0,1,0,1
1,20,C,90,90,1,0,1,0,U,3,U,198H,198,0,150,U,0,U,0,1,1,U,48108,11,0,U,U,U,U,U,U,1,4,1,20,U,4,94,1741.1324393,0,3,50,1,1,1,11,1,1,1,2,2,0,0,0,0,0,0,0,56,H,0,0,0,0,U,0,0,1,0,9,1G1YY22P2R,17,7,4,,3317,CHEV,CVT,,CP,1,4,5,2,N,N,E,F,G,,P,,N,94,109,4,N,N,N,N
1,22,C,90,90,1,0,0,0,U,4,0,198H,198,0,109,U,0,1,0,2,1,1,48118,11,0,U,U,U,U,0,U,1,4,1,24,1,1,92,1741.1324393,1,1,53,5,1,1,11,1,1,1,2,2,0,0,0,0,0,U,0,56,H,0,1,0,0,0,0,0,2,0,9,1G8ZJ5470N,17,7,4,,9999,STRN,SL2,,4D,1,3,,5,Y,N,P,F,G,,P,,N,92,150,3,0,0,0,0
1,6,C,998,998,1,1,6,0,11,4,0,199C,199,0,109,0,0,U,0,2,1,U,48105,9,0,U,U,U,U,0,U,3,2,1,24,3,1,95,52.500941736,1,1,12,14,4,4,11,2,2,1,2,0,0,0,0,0,0,0,U,89,C,0,1,0,0,U,1,0,1,0,9,1G8ZK5276S,17,7,4,,2338,STRN,SL2,,4D,1,3,,5,Y,N,E,F,G,,P,,N,95,998,98,0,1,4,1
2,1,32,998,998,0,0,0,0,U,31,4,200K,200,1,180,8,1,U,7,8,1,U,48135,98,0,U,U,U,U,0,U,3,2,1,12,U,481,90,48.415920891,1,1,13,1,4,2,11,1,1,1,4,0,0,0,0,0,0,0,U,89,K,0,1,0,0,U,0,0,1,0,9,1FTDF15N3L,17,7,4,,,FORD,COF,F15,PK,1,,,3,,,A,,G,1,T,42,N,90,998,98,0,1,3,2
,20,C,,,,0,,,,78,,201E,201,,,,,U,0,8,,U,48843,,,,,,,,,,5,1,98,3,898,89,211.54574843,,,50,1,1,2,11,1,1,1,2,2,,,,,,,0,48,E,,0,1,2,U,0,,1,0,9,9999999999,U,7,1,9999,9999,99999,999,999,99,9,9,9,9,9,9,9,9,9,9,T,99,9,89,N,N,N,N,N,N
1,21,C,90,90,1,0,2,0,U,4,0,201E,201,0,106,7,0,1,0,U,1,1,48103,4,0,U,U,U,U,U,U,3,5,1,48,1,38,93,211.54574843,1,1,53,5,1,1,11,1,1,1,2,2,0,0,0,0,0,7,U,48,E,0,1,1,2,0,0,0,2,0,9,JF1GC2442P,17,7,5,,2460,SUBA,IML,,4D,1,,,1,Y,N,M,F,G,,P,,N,93,N,78,0,1,4,1
2,98,C,90,90,1,0,1,0,14,4,0,201E,201,0,133,0,1,1,0,2,1,1,48103,3,4,0,14,14,109,U,998,1,5,1,49,1,40,95,211.54574843,0,1,53,5,1,1,11,1,1,1,2,2,0,0,0,0,0,U,0,48,E,0,0,1,2,0,0,0,3,0,9,4T1GK12E9S,17,7,4,,3241,TOYT,CLE,,4D,1,3,,5,Y,N,E,F,G,,P,,N,95,106,4,N,N,N,N
U,98,C,90,90,0,0,0,0,U,14,0,201E,201,0,132,U,1,1,0,8,1,1,48103,0,0,U,U,U,U,0,U,0,5,1,2,1,404,93,211.54574843,0,1,53,5,1,1,11,1,1,1,2,2,0,0,0,0,0,U,0,48,E,0,0,1,2,0,0,0,4,0,9,1J4FJ67S1P,17,7,4,,,JEEP,CHK,SPT,2W,1,,,5,,,A,,G,1,T,44,N,93,N,N,N,N,N,N
1,8,C,998,998,1,0,6,0,12,6,0,202G,202,0,146,0,1,1,0,U,1,1,48324,1,1,-10,-6,12,201,0,998,3,2,2,48,6,34,96,657.47762319,3,3,61,14,4,4,11,2,1,1,2,1,0,0,0,0,0,0,0,105,G,0,1,6,2,U,2,0,1,0,9,4S3BG6856T,17,7,4,,,SUBA,,,,,,,,,,,,,,T,,,96,998,98,0,0,0,0
1,20,C,0,0,1,0,6,0,15,4,1,203G,203,0,106,0,0,1,0,2,1,1,48103,3,1,0,-16,16,100,U,998,3,3,3,9,1,20,95,657.47762319,1,1,50,3,1,1,11,1,1,1,2,2,0,0,0,0,0,0,U,48,G,0,1,1,2,U,0,0,1,0,9,1P3ES47C2S,17,7,4,,2463,PLYM,NEH,,4P,1,,,5,Y,N,E,F,G,,P,,N,95,89,3,0,1,4,1
1,21,C,0,0,3,0,0,0,19,3,0,203G,203,0,89,0,0,1,0,U,1,U,48104,3,4,0,19,19,142,0,998,0,3,3,37,1,31,91,657.47762319,0,1,53,5,1,1,11,1,1,1,2,2,0,0,0,0,0,U,0,48,G,0,0,1,2,0,0,0,2,0,9,JHMED9369M,17,7,5,,2174,HOND,CSS,,2H,3,,,1,Y,N,P,F,G,,P,,N,91,N,N,N,N,N,N
2,2,C,998,998,0,0,0,0,13,2,0,204H,204,0,113,0,1,1,0,1,1,1,48103,9,0,U,U,U,U,0,U,3,2,1,49,9,33,86,1358.2360166,1,1,1,1,4,1,11,1,1,1,2,0,0,0,0,0,0,0,0,105,H,0,1,0,0,U,1,0,1,0,9,JT2ST64C3G,17,7,5,,2493,TOYT,CGF,,CP,1,,,1,Y,N,A,F,G,,P,,N,86,998,98,0,0,0,0
1,86,C,270,0,0,0,0,0,17,3,2,205D,205,0,80,0,0,98,0,2,1,1,49236,1,1,8,-14,16,162,0,998,3,4,1,37,1,31,83,128.36740506,1,1,17,1,1,1,11,1,1,1,1,2,0,0,0,0,0,0,0,56,D,0,1,1,2,U,0,0,1,0,9,JHMSR5324D,17,7,5,,1867,HOND,1.5,,2H,,,,,,,,3,G,,P,,,83,102,3,0,0,0,0
1,87,C,0,270,1,0,0,0,11,3,1,205D,205,0,102,0,0,U,0,2,1,1,48111,1,1,-11,-6,12,119,0,998,3,2,1,12,U,13,90,128.36740506,2,2,66,1,1,1,11,1,1,1,2,2,0,0,0,0,0,0,U,40,D,0,1,1,2,U,0,0,2,0,9,1FAPP9097L,17,7,4,,2242,FORD,EPL,,2H,1,,,1,Y,N,P,F,G,,P,,N,90,80,3,0,1,4,1
2,98,C,180,60,1,0,1,0,7,6,0,205D,205,0,109,0,0,1,0,2,1,1,48103,3,4,3,-5,6,34,0,998,2,2,1,49,1,32,94,128.36740506,0,3,62,5,1,1,11,1,1,1,2,2,0,0,0,0,0,0,0,40,D,0,0,1,2,U,0,0,3,0,9,JT2AE09V3R,17,7,5,,2480,TOYT,COX,,SW,1,,,7,Y,N,E,F,G,,P,,N,94,102,3,N,N,N,N
1,20,C,190,180,0,0,0,0,14,20,3,206D,206,0,166,0,0,1,0,8,1,U,48197,1,1,3,-16,16,195,0,998,3,2,1,12,9,441,91,49.948406637,1,1,50,1,4,2,11,1,1,1,2,2,0,0,0,0,0,0,U,89,D,0,1,0,0,U,0,0,1,0,9,1FMDA21X6M,17,7,4,,,FORD,ARO,ARO,SV,1,,,3,,,A,,G,1,T,44,N,91,103,6,0,0,4,0
1,21,C,180,190,1,0,0,0,27,6,0,206D,206,0,103,0,0,1,0,2,1,1,49236,1,1,0,26,26,450,0,998,3,2,1,12,1,13,88,49.948406637,1,1,53,5,1,1,11,1,1,1,2,2,0,0,0,0,0,0,0,89,D,0,1,0,0,0,0,0,2,0,9,1FAPP2895J,17,7,4,,2274,FORD,EGL,,SW,1,,,1,Y,N,P,F,G,,P,,N,88,166,20,0,1,4,1
2,98,C,140,150,0,0,0,0,16,4,0,206D,206,0,183,0,0,1,0,1,1,1,48160,3,4,4,10,11,251,0,998,2,2,1,13,1,1,86,49.948406637,0,1,53,11,1,1,11,1,1,1,2,2,0,0,0,0,0,0,0,89,D,0,0,0,0,0,0,0,3,0,9,1LNBP96F5G,17,7,4,,4038,LINC,TNC,,4D,1,3,,1,N,N,A,,G,,P,,N,86,103,6,N,N,N,N
1,68,C,160,40,1,0,6,0,32,14,0,207E,207,0,127,0,0,1,0,8,1,1,48640,1,1,-22,-18,29,1381,0,998,3,2,1,49,9,402,97,156.18481693,2,2,10,11,2,1,11,1,1,1,2,3,0,0,0,0,0,0,U,72,E,0,1,0,0,U,0,0,1,0,9,JT3HP10VXV,17,7,5,,,TOYT,RV4,RV4,4W,1,2,3,5,,,E,,G,1,T,44,N,97,145,6,0,2,4,1
1,69,C,40,160,0,0,0,0,13,6,7,207E,207,0,145,0,1,1,0,2,1,1,48178,1,1,13,-22,25,113,0,998,3,2,1,12,9,17,87,156.18481693,1,1,62,1,1,2,11,1,1,2,2,3,0,0,0,0,0,0,U,72,E,0,1,0,0,U,0,0,2,0,9,1FABP57U5H,17,7,4,,3242,FORD,TAG,,SW,1,3,,1,Y,N,A,F,G,,P,,N,87,127,14,0,1,4,1
1,89,C,110,180,1,0,6,0,12,2,0,208E,208,0,108,0,0,3,0,2,1,2,48111,1,1,12,-7,14,101,0,998,3,2,2,7,1,20,95,156.18481693,2,2,17,1,1,1,11,1,2,2,2,2,0,0,0,0,0,0,U,40,E,0,1,2,2,U,0,0,1,0,9,1B3ES62C2S,17,7,4,,2473,DODG,NES,,2P,1,,,2,Y,N,E,F,G,,P,,N,95,154,2,0,2,4,1
1,88,C,180,110,0,0,0,0,13,2,0,208E,208,0,154,0,0,1,0,1,1,2,48198,1,1,-7,-8,11,123,0,998,3,4,2,20,1,10,87,156.18481693,1,1,66,1,1,1,11,1,2,4,2,2,0,0,0,0,0,0,0,72,E,0,1,0,0,U,0,0,2,0,9,1G1GZ11GXH,17,7,4,,3283,CHEV,MOC,,CP,1,4,,1,N,N,A,4,G,,P,,N,87,108,2,0,1,6,1
1,24,C,270,270,1,0,6,0,10,2,0,209G,209,0,89,0,0,1,0,2,1,1,48198,3,4,0,-13,13,37,U,998,2,5,3,49,2,38,95,485.41756561,1,1,52,1,1,1,11,1,1,1,2,2,0,0,0,0,0,0,0,72,G,0,1,1,2,U,0,0,1,0,9,JT2EL55D3S,17,7,5,,1950,TOYT,TSD,,2D,1,,,5,Y,N,E,F,G,,P,,N,95,129,4,0,1,0,1
1,25,C,270,270,1,0,1,0,11,4,0,209G,209,0,129,0,0,1,0,2,1,1,48104,3,4,0,9,9,69,0,998,2,5,3,35,1,47,95,485.41756561,0,1,53,2,1,1,11,1,1,1,2,2,0,0,0,0,0,U,0,72,G,0,0,1,2,U,0,0,2,0,9,1N4BU31DXS,17,0,4,,2800,NISS,AGS,,4D,1,3,,7,Y,N,E,F,G,,P,,N,95,89,2,N,N,N,N
1,22,C,190,190,0,1,0,0,U,20,0,210H,210,0,159,6,0,1,0,8,1,1,48197,11,0,U,U,U,U,0,U,2,2,2,20,1,441,92,1002.7894447,0,1,53,5,1,1,11,1,2,4,2,1,0,0,0,0,0,U,0,72,H,0,0,0,0,0,0,0,1,0,9,1GBDM15Z4N,17,7,4,,,CHEV,AST,AST,IC,1,,,2,,,A,,G,1,T,42,N,92,141,20,N,N,N,N
