ACCSEQ,CASEID,CASENO,CLASS2,CLASS1,GADEV1,GADEV2,OBJCONT,RATWGT,PSU,STRATIF,VEHNUM,VERSION
1,"  1A",1,0,14,T,N,31,62.593359748,2,A,1,9
2,"  1A",1,0,14,T,0,42,62.593359748,2,A,1,9
3,"  1A",1,0,14,T,0,42,62.593359748,2,A,1,9
1,"  2G",2,14,15,R,F,2,569.61204333,2,G,1,9
1,"  3F",3,29,1,F,9,2,80.027613774,2,F,1,9
1,"  4F",4,1,2,F,B,2,49.447956478,2,F,1,9
1,"  5H",5,0,3,9,0,53,166.70597666,2,H,1,9
2,"  5H",5,0,3,9,0,53,166.70597666,2,H,1,9
3,"  5H",5,0,3,9,0,53,166.70597666,2,H,1,9
1,"  6E",6,0,2,F,0,68,130.04675755,2,E,1,9
2,"  6E",6,0,2,T,N,31,130.04675755,2,E,1,9
1,"  7F",7,30,1,B,F,3,290.61518281,2,F,2,9
2,"  7F",7,1,3,B,F,2,290.61518281,2,F,1,9
1,"  8G",8,0,30,L,N,31,425.10728937,2,G,1,9
1,"  9H",9,3,31,R,F,2,979.76319616,2,H,1,9
1," 10F",10,31,1,F,F,2,132.85523687,2,F,1,9
1," 11F",11,0,1,L,0,68,132.85523687,2,F,1,9
2," 11F",11,0,1,T,N,31,132.85523687,2,F,1,9
1," 12H",12,0,30,F,0,56,447.90045118,2,H,1,9
1," 13H",13,0,31,T,N,31,447.90045118,2,H,1,9
1," 14K",14,0,29,9,0,50,23.809747041,2,K,1,9
2," 14K",14,0,29,9,0,50,23.809747041,2,K,1,9
3," 14K",14,0,29,9,0,50,23.809747041,2,K,1,9
4," 14K",14,0,29,9,0,58,23.809747041,2,K,1,9
1," 15E",15,2,2,F,L,2,72.852064182,2,E,1,9
2," 15E",15,0,2,F,0,50,72.852064182,2,E,1,9
1," 16F",16,3,31,L,F,2,162.80233624,2,F,1,9
2," 16F",16,0,31,N,N,35,162.80233624,2,F,1,9
1," 17H",17,0,1,F,0,76,548.8623676,2,H,1,9
1," 18C",18,0,1,9,0,60,48.393146937,2,C,1,9
1," 19E",19,2,2,R,F,2,143.02717085,2,E,1,9
2," 19E",19,2,2,R,L,2,143.02717085,2,E,1,9
1," 20E",20,1,4,L,F,2,121.04538684,2,E,1,9
1," 21F",21,2,31,9,F,2,270.49984087,2,F,1,9
1," 22K",22,3,20,F,F,2,50.476663726,2,K,1,9
1," 23D",23,31,31,F,B,2,24.910664047,2,D,1,9
