PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,OCUPANTS,DRPRES,MONDRIVE,MILEVEH,MILETOT,TYPEOP,BMCSREG,DRCLASS,DRTRAIN,FREQDRIV,PRIORLAT,PRIORMID,PRIOREAR,AVOIDMAN,ACC12MO,VIOLSP,VIOLDWI,VIOLRECK,VIOLSUSP,VIOLROW,VIOLCLOS,VIOLSIGN,VIOLOTH,VIOLUNK,DRINKING,ALCTEST,LSOURCE,LCOMPL,LSTATUS,LTYPCOMP,LREST,LRESTADD,PREVSPD,PREVOTH,PREVDWI,PREVSUS,PREVACC,LANES,MEDIANT,MEDIANW,ACCESS,TRAFFLOW,SHOULDLT,SHOULDRT,ALIGNMNT,GRADE,SURTYPE,SURCOND,TRAFCONT,TRCTLFCT,SPLIMIT,DRIRF1,DRIRF2,DRIRF3,ENVRF1,ENVRF2,ENVRF3,PSUWGT,NATWGT,RATWGT
1,012Q,12,Q,4,6,1,1,1,U,U,U,0,0,0,U,U,1,U,U,U,U,0,0,0,0,0,1,0,0,0,0,C,1,0,2,2,0,0,1,1,0,0,U,1,0,0,3,3,0,0,1,1,2,3,1,3,30,0,0,0,0,0,0,60.000,77.640,64.771
1,012Q,12,Q,4,6,2,1,1,U,U,U,0,0,0,U,U,21,0,0,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,0,0,0,0,U,1,0,0,3,3,0,0,1,1,2,3,1,2,30,4,0,0,0,0,0,60.000,77.640,64.771
1,013V,13,V,4,6,1,1,1,15,2,2,0,0,0,2,4,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,0,0,0,0,U,1,0,0,3,3,0,0,1,1,2,3,0,0,30,0,0,0,0,0,0,60.000,77.640,74.972
1,013V,13,V,4,6,2,2,1,36,56,50,0,0,0,3,2,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,3,2,2,1,0,0,0,0,0,U,1,0,0,3,3,0,0,1,1,2,3,0,0,30,0,0,0,0,0,0,60.000,77.640,74.972
1,014M,14,M,4,6,1,1,1,U,U,U,0,0,0,U,U,56,1,0,U,U,0,0,0,0,0,0,0,1,0,0,C,1,U,U,U,U,U,U,U,U,U,U,4,0,0,3,3,0,0,1,1,2,U,0,0,30,0,0,0,0,0,0,176.571,228.483,248.867
1,014M,14,M,4,6,2,2,1,U,U,U,U,U,U,U,U,1,0,0,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,U,4,0,0,3,3,0,0,1,1,2,U,0,0,30,0,0,0,0,0,0,176.571,228.483,248.867
1,015M,15,M,4,6,1,1,1,U,U,U,U,U,U,U,U,1,U,U,U,U,0,0,0,0,0,0,0,0,0,0,C,1,3,2,4,1,0,0,1,0,0,U,3,3,3,3,1,0,0,1,1,2,1,2,3,30,0,0,0,0,0,0,64.286,83.186,90.607
1,015M,15,M,4,6,2,1,1,61,100,50,0,0,0,3,3,38,1,U,0,0,0,0,0,0,0,0,0,0,0,0,C,1,3,2,2,1,0,0,0,0,0,U,3,3,3,3,1,0,0,1,1,2,1,2,3,30,0,0,0,0,0,0,64.286,83.186,90.607
1,016V,16,V,4,6,1,2,1,61,200,100,0,0,0,0,5,32,1,U,0,0,0,0,0,0,0,0,0,1,0,1,C,1,0,2,4,0,0,0,0,0,0,U,2,0,0,3,0,0,0,1,1,2,1,0,0,30,0,0,0,0,0,0,112.500,145.575,140.573
1,016V,16,V,4,6,2,3,1,U,U,U,0,0,0,U,U,1,U,U,0,U,0,0,0,0,0,0,0,0,0,1,C,1,0,2,2,0,0,2,0,0,0,U,2,0,0,3,0,0,0,1,1,2,1,0,0,30,0,0,0,0,0,0,112.500,145.575,140.573
1,017C,17,C,4,6,1,4,1,U,U,U,0,0,0,U,U,1,U,U,U,U,0,0,0,0,0,0,0,0,0,U,C,1,0,2,2,0,0,2,0,0,0,U,2,0,0,3,0,0,0,1,1,2,2,0,0,30,U,U,U,U,U,U,250.000,323.500,334.565
1,018V,18,V,4,6,1,4,1,61,120,120,0,0,0,0,1,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,0,0,0,0,U,3,3,3,3,1,0,0,1,1,2,2,0,0,30,0,0,0,0,0,0,187.500,242.625,234.288
1,018V,18,V,4,6,2,1,1,U,U,U,0,0,0,U,U,2,22,0,U,U,0,0,0,0,1,0,0,0,0,0,C,1,3,2,2,1,0,0,0,0,0,U,2,0,0,3,0,0,0,1,1,2,2,20,3,30,0,0,0,0,0,0,187.500,242.625,234.288
1,019M,19,M,4,6,1,1,1,61,350,450,U,U,1,0,1,39,2,0,0,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,U,5,0,0,3,0,0,0,1,1,2,1,2,3,30,0,0,0,0,0,0,62.571,80.967,88.191
1,019M,19,M,4,6,2,1,1,61,50,300,0,0,0,0,4,21,0,0,0,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,0,0,0,0,U,5,0,0,3,0,0,0,1,1,2,1,2,3,30,0,0,0,0,0,0,62.571,80.967,88.191
1,020V,20,V,4,6,1,1,1,61,530,90,0,0,0,0,1,2,0,0,7,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,1,0,0,0,U,2,0,0,3,0,0,0,1,1,2,2,1,3,30,0,0,0,0,0,0,109.500,141.693,136.824
1,020V,20,V,4,6,2,2,1,61,1,50,0,0,0,2,4,32,22,21,0,0,0,0,0,0,1,0,0,0,0,0,C,1,0,2,2,0,0,1,0,0,0,U,2,0,0,3,0,0,0,1,1,2,3,1,3,30,0,0,0,0,0,0,109.500,141.693,136.824
1,020V,20,V,4,6,3,1,1,61,8,40,0,0,0,0,2,21,0,0,0,U,0,0,0,0,0,0,0,0,0,8,C,1,0,2,2,0,0,0,1,0,0,U,2,0,0,3,0,0,0,1,2,2,2,1,3,25,0,0,0,0,0,0,109.500,141.693,136.824
1,021Z,21,Z,4,6,1,1,1,U,U,U,0,0,0,U,U,1,U,U,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,U,2,0,0,3,0,0,0,1,1,2,4,0,0,30,0,0,0,0,0,0,4092.000,5295.047,5230.871
1,021Z,21,Z,4,6,2,1,1,61,1,20,0,0,0,2,1,57,1,U,1,0,0,0,0,0,0,0,0,0,0,0,C,1,1,2,2,1,0,0,0,0,0,U,1,0,0,3,0,0,0,1,1,2,4,0,0,15,0,0,0,0,0,0,4092.000,5295.047,5230.871
1,022M,22,M,4,6,1,1,1,61,997,80,0,0,0,0,1,1,0,0,0,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,0,0,0,0,U,2,0,0,3,0,0,0,1,1,2,1,0,0,30,0,0,0,0,0,0,78.857,102.041,111.144
1,022M,22,M,4,6,2,1,1,61,997,160,0,0,0,0,4,2,0,0,0,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,0,1,0,0,U,2,0,0,3,0,0,0,1,1,2,1,0,0,30,0,0,0,0,0,0,78.857,102.041,111.144
