PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,OCCFORMS,VEHROLE,TOWAWAY,MODELYR,MAKE,MODEL,BODYTYPE,TOWHITCH,CABCONF,SEATCAP,DROMEDRY,AXLESP,AXLEST1,AXLEST2,AXLEST3,BRAKETY,GVWR,VEHSEQ1,VEHSEQ2,VEHSEQ3,VEHSEQ4,OBJCONT1,OBJCONT2,OBJCONT3,OBJCONT4,DOF1,DOF2,DOF3,DOF4,GAD1,GAD2,GAD3,GAD4,SHL1,SHL2,SHL3,SHL4,SVL1,SVL2,SVL3,SVL4,TDD1,TDD2,TDD3,TDD4,EXTENT1,EXTENT2,EXTENT3,EXTENT4,ACCSEQ1,ACCSEQ2,ACCSEQ3,ACCSEQ4,VIN,REGISTRA,SPECUSE,ODOMETER,PCINTEG,PCINTRU,MAGINTRU,FIRE,IMPTYPE,OTHROLE,ROLLOVER,JACKNIFE,SAFETYB,HAZCARGO,CURBWGT,CARGOWGT,SOURCWGT,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,TRAVELSP,VEHRF1,VEHRF2,VEHRF3,DRIVE,VAIS,OTVEHWGT,OTBDYTYP,SHORT,VINJSER,VINJURED,VINLNGTH,VTREAT,PSUWGT,NATWGT,RATWGT,WHEELSHT,WHEELLNG
59,156W,156,W,3,6,2,1,2,1,77,20,2,4,0,0,6,0,0,0,0,0,0,0,1,2,,,1,1,,,1,3,,,R,R,,,Y,B,,,E,E,,,W,W,,,02,01,,,1,2,,,1L69U7C103,1,0,U,1,1,0,0,3,1,0,0,0,0,38,0,0,1,15,-13,-8,285,U,U,U,U,U,U,U,U,U,0,0,0,1,1,21,3,0,0,1,13,6,13.500,599.143,554.354,116.0,U
59,157F,157,F,3,6,1,1,1,2,77,63,65,20,0,0,2,0,0,0,0,0,0,0,1,2,,,2,66,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,KZ650B5054,1,0,29,0,0,0,0,1,2,0,0,0,0,5,0,0,6,U,U,U,U,,,,,,,,,U,0,0,0,8,3,43,4,0,1,1,12,3,3.500,155.333,149.143,U,U
59,157F,157,F,3,6,2,1,2,2,73,12,6,4,0,0,6,0,0,0,0,0,0,0,1,,,,1,,,,1,,,,R,,,,F,,,,W,,,,W,,,,02,,,,1,,,,3E63S19616,1,0,25,1,1,0,0,3,8,0,0,0,0,43,0,0,6,U,U,U,U,,,,,,,,,U,0,0,0,1,0,5,20,0,0,0,11,6,3.500,155.333,149.143,121.0,U
59,158D,158,D,3,6,1,1,1,1,79,14,4,2,0,0,6,0,0,0,0,0,0,0,1,,,,2,,,,12,,,,R,,,,B,,,,M,,,,S,,,,01,,,,1,,,,9H93F76739,1,0,39,1,1,0,0,3,2,0,0,0,0,40,0,0,6,U,U,U,U,,,,,,,,,U,0,0,0,1,0,U,71,0,0,0,11,6,5.700,252.972,208.877,113.9,U
59,158D,158,D,3,6,2,0,2,1,78,12,81,71,0,4,32,1,2,8,8,8,2,2,1,,,,1,,,,12,,,,R,,,,F,,,,L,,,,S,,,,01,,,,1,,,,F70EVCE854,1,0,45,1,1,0,0,3,2,0,0,0,0,U,15,2,6,U,U,U,U,,,,,,,,,0,0,0,0,8,0,40,2,0,0,0,11,,5.700,252.972,208.877,U,U
59,159T,159,T,3,6,1,1,1,2,80,14,5,2,0,0,5,0,0,0,0,0,0,0,3,1,2,,66,68,35,,0,U,U,,T,9,9,,D,9,9,,D,9,9,,O,9,9,,03,99,99,,3,1,2,,0H93D60889,1,0,48,1,8,2,0,5,6,1,0,0,0,31,0,0,7,U,U,U,U,,,,,,,,,U,0,0,0,1,2,998,98,0,0,1,11,3,4.071,180.694,182.557,108.4,U
59,160M,160,M,3,6,1,1,1,1,82,20,17,2,0,0,5,0,0,0,0,0,0,0,1,,,,2,,,,12,,,,F,,,,D,,,,H,,,,W,,,,06,,,,1,,,,1G1AW27R0C,1,0,9,1,1,0,0,1,5,0,0,0,0,30,0,0,6,U,U,U,U,,,,,,,,,U,0,0,0,2,0,U,75,0,0,0,17,6,2.571,114.123,118.527,U,U
59,160M,160,M,3,6,2,1,2,1,72,84,89,75,0,U,35,U,U,U,8,8,U,U,1,,,,1,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,9999999999,2,0,U,U,U,U,0,5,1,0,1,0,0,U,U,U,6,U,U,U,U,,,,,,,,,U,0,0,0,8,0,30,2,0,0,0,0,6,2.571,114.123,118.527,U,U
59,161V,161,V,3,6,1,1,1,2,81,18,1,4,0,0,6,0,0,0,0,0,0,0,1,,,,2,,,,2,,,,F,,,,Y,,,,E,,,,W,,,,02,,,,1,,,,1G4AH69A3B,1,0,19,1,1,0,0,1,1,0,0,0,0,32,0,0,1,21,-10,-18,804,173,33,25,19,14,9,5,0,U,0,0,0,1,1,51,2,0,0,1,17,4,4.500,199.714,195.508,U,U
59,161V,161,V,3,6,2,1,1,1,74,12,4,2,0,0,6,0,0,0,0,0,0,0,1,,,,1,,,,11,,,,F,,,,L,,,,E,,,,E,,,,01,,,,1,,,,4Y87A12905,1,0,U,1,1,0,0,1,1,0,0,0,0,51,0,0,1,13,-12,7,108,U,U,U,U,U,U,U,U,U,0,0,0,1,0,32,4,0,0,0,11,6,4.500,199.714,195.508,120.4,U
59,162M,162,M,3,6,1,1,1,1,81,20,13,5,0,0,4,0,0,0,0,0,0,0,1,,,,2,,,,4,,,,B,,,,Y,,,,E,,,,S,,,,02,,,,1,,,,1G1AB6890B,1,0,20,1,1,0,0,4,2,0,0,0,0,20,0,0,6,U,U,U,U,,,,,,,,,U,0,0,0,1,1,U,71,0,0,1,17,6,5.071,225.075,233.762,U,U
59,162M,162,M,3,6,2,2,2,1,76,12,81,71,0,4,32,1,2,8,8,8,2,1,1,,,,1,,,,1,,,,R,,,,B,,,,W,,,,W,,,,01,,,,1,,,,F6EVB75595,1,0,32,1,1,0,0,3,2,0,0,0,0,U,0,0,6,U,U,U,U,,,,,,,,,U,0,0,0,8,0,20,5,0,0,0,10,6,5.071,225.075,233.762,U,U
59,163T,163,T,3,6,1,1,1,2,79,22,2,4,0,0,6,0,0,0,0,0,0,0,1,2,,,2,2,,,1,U,,,F,9,,,Z,9,,,E,9,,,W,9,,,01,99,,,1,2,,,2N69Y9P117,1,0,83,1,2,2,0,1,2,0,0,0,0,36,0,0,1,21,-18,-11,415,188,1,5,6,8,17,30,0,U,0,0,0,1,3,47,4,0,1,1,13,3,5.071,225.075,227.396,115.9,U
59,163T,163,T,3,6,2,1,2,2,72,18,3,4,0,0,6,0,0,0,0,0,0,0,1,2,,,1,1,,,70,9,,,L,L,,,F,B,,,E,E,,,W,W,,,03,02,,,1,2,,,4V39T2H519,1,0,80,1,1,0,0,2,1,0,0,0,0,47,0,0,1,17,-8,14,358,157,0,4,19,38,26,31,180,U,0,0,0,1,0,36,4,0,0,0,13,6,5.071,225.075,227.396,127.0,U
59,164W,164,W,3,6,1,1,1,1,84,18,2,2,0,0,19,0,0,0,0,0,0,0,1,,,,2,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,1G4AP37YXE,2,0,U,U,U,U,0,1,2,0,0,0,0,U,U,U,8,U,U,U,U,,,,,,,,,U,0,0,0,1,0,24,2,0,0,0,17,6,17.500,776.667,718.607,U,U
59,164W,164,W,3,6,2,1,2,2,74,12,9,2,0,0,4,0,0,0,0,0,0,0,1,,,,1,,,,9,,,,L,,,,F,,,,E,,,,W,,,,03,,,,1,,,,4T10Y26727,1,0,71,1,1,0,0,2,1,0,0,0,0,24,0,0,8,U,U,U,U,,,,,,,,,U,0,0,0,1,0,U,2,0,0,0,11,6,17.500,776.667,718.607,94.2,U
59,165Q,165,Q,3,6,1,3,1,2,79,9,8,3,0,0,4,0,0,0,0,0,0,0,1,,,,31,,,,12,,,,F,,,,D,,,,E,,,,W,,,,01,,,,1,,,,ML24A9D400,2,0,75,1,2,1,0,1,6,0,0,0,0,22,0,0,1,21,-21,0,91,147,5,4,3,3,8,12,0,55,0,0,0,1,7,998,98,0,0,2,13,4,8.250,366.143,439.358,96.7,U
59,166W,166,W,3,6,1,1,1,2,83,49,33,3,0,0,4,0,0,0,0,0,0,0,1,4,2,3,40,43,32,69,8,3,8,3,L,R,L,R,F,P,P,D,E,E,E,E,W,N,W,W,02,01,01,01,1,4,2,3,JT2RA64L40,2,0,25,1,1,0,0,2,6,0,0,0,0,26,0,0,7,U,U,U,U,,,,,,,,,U,0,0,0,1,0,998,98,0,0,0,17,6,16.500,732.286,677.543,U,U
59,167Z,167,Z,3,6,1,1,1,1,70,12,U,9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U,0,N,98,1,0,0,N,6,80.000,3550.480,3605.552,N,N
59,167Z,167,Z,3,6,2,6,2,1,83,12,6,6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,0,N,98,1,0,0,N,6,80.000,3550.480,3605.552,N,N
59,168W,168,W,3,6,1,1,1,3,73,14,6,4,0,0,6,0,0,0,0,0,0,0,1,2,,,31,31,,,2,U,,,F,9,,,L,9,,,E,9,,,W,9,,,01,99,,,1,2,,,3B54S50646,1,0,123,1,1,0,0,1,6,0,0,0,0,45,0,0,8,U,U,U,U,,,,,,,,,U,U,U,U,1,0,998,98,0,0,0,11,6,8.500,377.238,349.038,124.0,U
59,169T,169,T,3,6,1,1,1,2,83,49,32,2,0,0,4,0,0,0,0,0,0,0,1,,,,2,,,,12,,,,F,,,,D,,,,E,,,,W,,,,01,,,,1,,,,JT2TEY2D3D,1,0,28,1,2,1,0,1,2,0,0,0,0,22,0,0,1,15,-15,1,164,150,12,10,8,9,10,10,0,U,0,0,0,1,1,35,4,0,0,1,17,4,7.143,317.007,320.276,U,U
59,169T,169,T,3,6,2,3,2,2,83,21,1,4,0,0,6,0,0,0,0,0,0,0,1,,,,1,,,,3,,,,R,,,,F,,,,E,,,,W,,,,02,,,,1,,,,1G3AM69V7D,1,0,20,1,1,0,0,3,1,0,0,0,0,35,0,0,1,9,-1,-9,58,137,1,8,0,6,6,22,161,U,0,0,0,1,1,22,2,0,0,1,17,4,7.143,317.007,320.276,U,U
59,170W,170,W,3,6,1,1,1,2,76,43,32,1,0,0,2,0,0,0,0,0,0,0,1,,,,2,,,,12,,,,F,,,,Z,,,,E,,,,W,,,,02,,,,1,,,,GHN5UG3955,1,0,72,1,1,0,0,1,2,0,0,0,0,23,0,0,6,U,U,U,U,,,,,,,,,U,U,U,U,1,0,29,2,0,0,0,13,6,25.000,1109.525,1026.581,U,U
59,170W,170,W,3,6,2,1,2,1,74,12,3,2,0,0,4,0,0,0,0,0,0,0,1,,,,1,,,,5,,,,B,,,,R,,,,E,,,,W,,,,01,,,,1,,,,4F04Z11817,1,0,61,1,1,0,0,4,1,0,0,0,0,29,0,0,6,U,U,U,U,,,,,,,,,U,U,U,U,1,0,23,1,0,0,0,11,6,25.000,1109.525,1026.581,96.2,U
59,171R,171,R,3,6,1,2,1,2,80,20,73,50,0,4,30,0,0,0,0,0,0,0,1,,,,70,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,CCG14A1112,1,0,52,1,1,0,0,1,6,0,0,0,0,38,0,0,7,U,U,U,U,,,,,,,,,U,0,0,0,8,1,998,98,0,0,1,13,6,13.500,599.143,462.200,U,U
59,172M,172,M,3,6,1,1,1,1,81,12,81,72,0,4,54,0,2,8,8,8,2,5,1,,,,2,,,,2,,,,F,,,,R,,,,E,,,,E,,,,01,,,,1,,,,1FDPK74N6B,1,0,38,1,1,0,0,1,2,0,0,0,0,U,U,U,6,U,U,U,U,,,,,,,,,U,0,0,0,8,0,28,3,0,0,0,17,6,3.286,145.823,151.452,U,U
59,172M,172,M,3,6,2,1,2,1,81,1,8,3,0,0,4,0,0,0,0,0,0,0,1,,,,1,,,,11,,,,L,,,,Y,,,,E,,,,S,,,,02,,,,1,,,,1AMCC4352B,1,0,33,1,1,0,0,2,1,0,0,0,0,28,0,0,6,U,U,U,U,,,,,,,,,U,0,0,0,1,0,U,72,0,0,0,17,6,3.286,145.823,151.452,U,U
59,173Q,173,Q,3,6,1,1,1,2,78,12,73,50,0,4,30,0,0,0,0,0,0,0,1,,,,2,,,,12,,,,F,,,,Z,,,,E,,,,W,,,,02,,,,1,,,,F25HUAJ479,1,0,97,1,1,0,0,1,2,0,0,0,0,34,0,0,7,U,U,U,U,,,,,,,,,45,0,0,0,8,0,U,50,0,0,0,11,6,5.750,255.191,306.219,U,U
59,173Q,173,Q,3,6,2,2,2,1,75,7,73,50,0,4,30,0,0,0,0,0,0,0,1,,,,1,,,,1,,,,R,,,,Y,,,,E,,,,W,,,,02,,,,1,,,,D14AB5S160,1,0,52,1,3,3,0,3,1,0,0,0,0,U,0,0,7,U,U,U,U,,,,,,,,,5,0,0,0,8,1,34,50,0,0,2,13,4,5.750,255.191,306.219,U,U
