PSUWGT,NATWGT,RATWGT,PSU,AOPSVEH,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKING,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,CARGOWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,DRUGS,OBSTEST,SPECTEST,OBSNARC,SPECNARC,OBSDEPR,SPECDEPR,OBSSTIM,SPECSTIM,OBSHLUC,SPECHLUC,OBSCNAB,SPECCNAB,OBSPCP,SPECPCP,OBSINHL,SPECINHL,OBSOTH,SPECOTH
2.030,49.7756,63.395268898,2,0,15H,15,H,4,2,84,18,2,4,1G4AP69Y2E,1,U,0,C,45,9,32,1,2,2,37,0,0,0,0,0,0,0,30,0,6,U,U,U,U,0,1,17,0,0,1,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.000,49.04,62.458393003,2,0,16H,16,H,4,1,86,37,33,2,JHMBB5239G,1,U,0,C,55,1,7,1,1,1,24,0,0,0,2,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,2,0,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.030,49.7756,96.983985319,2,0,17D,17,D,4,1,84,20,13,5,1G1AB68C5E,1,U,0,C,45,1,2,1,1,1,22,0,0,0,0,0,0,0,998,998,1,9,-9,0,69,3,1,17,0,1,1,4,998,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.352,229.3233,379.01725373,2,0,18F,18,F,4,1,79,9,471,14,AA0JE9C100,1,U,0,C,55,1,7,1,1,1,42,0,0,0,5,0,0,0,998,998,5,U,U,U,U,0,1,13,0,1,8,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.352,229.3233,379.01725373,2,0,19F,19,F,4,1,84,49,40,4,JT2SV16H6E,1,U,0,C,30,1,82,1,4,4,23,0,0,0,0,0,0,0,225,0,6,U,U,U,U,0,1,17,0,1,2,4,26,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.352,229.3233,379.01725373,2,0,19F,19,F,4,2,88,35,32,3,JN1PS26SXJ,0,U,0,C,30,1,83,1,1,0,26,0,0,0,0,0,0,0,0,225,6,U,U,U,U,0,2,17,N,N,1,N,23,4,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.410,917.2932,1168.2842411,2,0,20H,20,H,4,1,85,14,4,2,1MEBP92F4F,1,U,0,C,55,9,3,1,1,1,31,0,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,0,1,0,998,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.652,40.516575556,65.751144541,2,0,21C,21,C,4,1,90,20,470,14,1GNCT18Z4L,1,U,1,23,55,1,2,1,2,2,37,0,0,0,0,2,0,0,997,997,5,U,U,U,U,0,1,17,0,2,8,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.652,40.516575556,65.751144541,2,0,22C,22,C,4,1,90,20,474,21,1GCEG25H5L,1,U,1,11,55,U,7,1,3,3,42,0,0,0,0,0,0,0,998,998,5,U,U,U,U,0,2,17,0,3,8,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.622,260.4637,399.17290428,2,0,23E,23,E,4,1,89,6,10,4,1C3BC6639K,0,U,0,C,55,7,29,1,1,0,32,0,0,0,0,0,0,U,0,0,6,U,U,U,U,0,1,17,N,N,1,N,19,3,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
