PSU,CASE_ID,CASE_NO,STRATIF,REC_NO,VERSION,VEH_NO,PSUWGT,NATWT,OCUPANTS,DR_PRES,DRIV_EXP,MILEAGE,TYPE_OP,BMCS_REG,DR_CLASS,RD_FREQ,DR_TRAIN,SP_VIOL,DWI_VIOL,RD_VIOL,W_SUSPEN,OTH_VIOL,UNK_VIOL,DDRINKNG,DTEST_RS,L_SOURCE,L_STATUS,L_RESTRI,ADD_REST,PREV_SPD,PREV_OTH,PREV_DWI,PREV_SUS,PREV_ACC,D_LANES,D_MEDIAN,D_ACCESS,D_DIRECT,D_SHOU_L,D_SHOU_R,D_ALIGNM,D_GRADE,D_PAVE_T,D_SUR_CO,D_TRA_CO,D_SP_LIM
1,019B,19,B,4,4,1,376.16,1216.50,1,1,U,U,0,0,0,U,U,0,1,0,0,1,0,1,U,1,3,1,0,0,0,0,0,0,2,5,3,1,1,0,1,1,2,2,0,30
1,020L,20,L,4,4,1,225.70,729.91,1,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,3,0,0,0,1,0,0,0,4,1,3,2,0,0,1,1,2,2,0,30
1,021N,21,N,4,4,1,4470.31,14456.98,1,1,61,485,0,0,0,1,0,0,0,0,0,1,0,0,C,1,3,1,0,0,5,0,1,0,2,1,3,2,0,0,1,1,2,2,0,30
1,021N,21,N,4,4,2,4470.31,14456.98,0,2,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,2,0,0,1,1,2,2,0,30
1,022M,22,M,4,4,1,447.03,1445.70,1,1,61,6,0,0,0,1,8,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,4,0,30
1,022M,22,M,4,4,2,447.03,1445.70,2,1,61,450,0,0,0,2,0,0,0,0,0,0,0,0,C,1,3,1,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,4,0,30
1,023H,23,H,4,4,1,131.93,426.66,1,1,61,250,0,0,0,1,0,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,5,2,3,1,0,0,1,3,2,2,2,30
1,023H,23,H,4,4,2,131.93,426.66,1,1,U,U,0,0,0,U,U,0,0,0,0,1,0,0,C,1,3,1,0,0,0,0,0,0,2,1,3,1,0,0,1,1,2,2,2,30
1,024L,24,L,4,4,1,131.93,426.66,2,1,36,8,0,0,0,2,2,0,0,0,0,1,0,0,C,1,3,0,0,0,0,0,0,0,4,1,3,2,0,0,1,1,2,1,0,30
1,025L,25,L,4,4,1,185.35,599.42,2,1,61,12,0,0,0,4,0,0,0,0,0,0,0,0,C,1,3,1,0,0,0,0,0,0,4,1,3,2,0,0,1,1,2,2,0,30
1,026N,26,N,4,4,1,4197.73,13575.46,U,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,U,U,U,U,U,U,U,U,U,2,1,3,2,0,0,1,1,2,1,0,30
1,027B,27,B,4,4,1,287.12,928.55,1,1,61,100,0,0,0,1,0,0,0,0,0,1,0,0,C,1,3,0,0,1,3,0,1,0,1,1,3,1,0,0,1,1,2,2,0,30
1,028C,28,C,4,4,1,87.23,282.10,1,1,61,586,0,0,0,2,0,0,0,0,0,1,0,0,C,1,3,0,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,1,0,20
1,029M,29,M,4,4,1,359.81,1163.63,2,1,61,24,0,0,0,2,2,0,0,0,0,1,0,0,C,1,3,1,0,0,1,0,0,0,2,1,3,2,0,0,1,1,2,1,98,30
1,029M,29,M,4,4,2,359.81,1163.63,1,1,61,1,0,0,0,2,0,0,0,0,0,0,0,0,C,1,3,8,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,1,0,30
1,030C,30,C,4,4,1,904.97,2926.67,3,1,36,1,0,0,0,2,2,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,4,1,3,2,0,0,1,1,2,1,0,20
1,031L,31,L,4,4,1,54.52,176.32,1,1,U,U,0,0,0,U,U,0,0,0,0,1,0,0,C,1,3,0,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,1,3,30
1,031L,31,L,4,4,2,54.52,176.32,2,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,1,0,30
1,031L,31,L,4,4,3,54.52,176.32,1,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,U,U,U,U,U,U,U,U,2,1,3,2,0,0,1,1,2,1,0,30
1,032M,32,M,4,4,1,1155.74,3737.66,1,1,61,180,0,0,0,3,0,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,4,5,1,1,2,2,1,1,2,1,0,55
1,033N,33,N,4,4,1,272.58,881.52,4,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,3,1,3,2,0,0,1,1,2,U,0,30
1,033N,33,N,4,4,2,272.58,881.52,2,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,3,0,0,1,0,0,0,0,3,1,3,2,0,0,1,1,2,U,0,30
1,034N,34,N,4,4,1,3216.44,10401.97,1,1,61,350,0,0,0,1,2,0,0,0,0,1,1,0,C,1,3,0,0,0,0,0,0,0,4,5,1,1,2,2,1,1,2,1,0,55
1,034N,34,N,4,4,2,3216.44,10401.97,1,1,61,600,0,0,0,2,0,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,4,5,1,1,2,2,1,1,2,1,0,55
1,035M,35,M,4,4,1,218.06,705.21,1,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,U,U,U,U,U,U,U,U,U,2,1,3,2,0,0,1,1,2,1,0,30
