PSU,CASE_ID,CASE_NO,STRATIF,REC_NO,VERSION,VEH_NO,PSUWGT,NATWT,OCCFORMS,VEH_ROLE,TOWAWAY,MOD_YEAR,MAKE,MODEL,BODY_TYP,TOW_VEH,GVWR,CAB_CONF,TRAC_DRO,BODY_CON,AXLES_P,AXLES_T1,AXLES_T2,AXLES_T3,BRAKE_TY,OBJ_CNPR,CLOCK_PR,INCRE_PR,DFORCEPR,DEFLOCPR,LONGITPR,VERTICPR,DISTRIPR,EXTENTPR,OBJ_CNSE,CLOCK_SE,INCRE_SE,DFORCESE,DEFLOCSE,LONGITSE,VERTICSE,DISTRISE,EXTENTSE,MORE_CDC,VIN,REGISTRA,SPEC_USE,ODOMETER,PC_INTEG,PC_INTRU,MAG_INTR,FIRE,IMP_TYPE,OTH_ROLE,ROLLOVER,J_KNIFE,SAFETY_B,HAZCARGO,CURB_WT,CARGO_WT,WT_SOURC,DV_SOURC,DV_TOTAL,DV_LONG,DV_LAT,ENERGY,DV_L,DV_C1,DV_C2,DV_C3,DV_C4,DV_C5,DV_C6,DV_D,VDEATHS,VINJ_SER,VINJURY
1,007B,7,B,3,4,1,374.34,1210.62,1,1,1,75,9,1,3,0,0,0,0,0,0,0,0,0,0,71,U,U,U,9,9,9,9,99,,,,,,,,,,0,VL41C5B262,1,0,48,1,1,0,0,1,7,0,0,0,0,30,0,2,0,U,U,U,U,,,,,,,,,0,0,0
1,008N,8,N,3,4,1,4633.86,14985.90,1,1,U,79,14,12,2,0,0,U,U,U,U,U,U,U,U,0,,,,,,,,,0,,,,,,,,,0,9999999999,U,U,U,1,1,0,0,0,0,0,0,0,U,U,U,U,0,U,U,U,U,U,U,U,U,U,U,U,U,0,0,1
1,009L,9,L,3,4,1,427.41,1382.24,3,1,2,77,22,9,2,0,0,0,0,0,0,0,0,0,0,2,U,U,U,9,9,9,9,99,,,,,,,,,,0,9999999999,1,0,U,U,U,U,5,1,2,0,0,0,0,U,U,U,0,U,U,U,U,,,,,,,,,0,0,3
1,009L,9,L,3,4,2,427.41,1382.24,3,2,2,76,20,2,3,0,0,0,0,0,0,0,0,0,0,1,U,U,U,9,9,9,9,99,,,,,,,,,,0,1N69V61195,1,0,U,U,U,U,0,2,1,0,0,0,0,44,U,U,0,U,U,U,U,,,,,,,,,0,0,0
1,010K,10,K,3,4,1,244.23,789.84,1,1,2,71,22,2,2,0,0,0,0,0,0,0,0,0,0,2,U,U,U,9,9,9,9,99,,,,,,,,,,0,252571P390,1,0,U,U,U,U,0,1,2,0,0,0,0,42,U,U,0,U,U,U,U,,,,,,,,,0,0,1
1,010K,10,K,3,4,2,244.23,789.84,1,2,2,66,9,3,3,0,0,0,0,0,0,0,0,0,0,1,U,U,U,9,9,9,9,99,,,,,,,,,,0,PH4166 151,1,0,U,U,U,U,0,2,1,0,0,0,0,U,U,U,0,U,U,U,U,,,,,,,,,1,1,1
1,011N,11,N,3,4,1,272.58,881.52,1,1,1,80,21,1,3,0,0,U,U,U,U,U,U,U,U,0,,,,,,,,,0,,,,,,,,,0,9999999999,U,U,U,1,1,0,0,0,0,0,0,0,U,U,U,U,0,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0
1,011N,11,N,3,4,2,272.58,881.52,1,2,1,78,21,12,2,0,0,U,U,U,U,U,U,U,U,0,,,,,,,,,0,,,,,,,,,0,9999999999,U,U,U,1,1,0,0,0,0,0,0,0,U,U,U,U,0,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0
1,012L,12,L,3,4,1,54.52,176.32,7,1,2,75,41,2,3,0,0,0,0,0,0,0,0,0,0,2,U,U,U,9,9,9,9,99,,,,,,,,,,0,S122A00000,1,0,97,U,U,U,0,1,2,0,1,0,0,24,U,U,0,U,U,U,U,,,,,,,,,0,0,3
1,012L,12,L,3,4,2,54.52,176.32,5,2,2,70,12,2,2,0,0,0,0,0,0,0,0,0,0,1,U,U,U,9,9,9,9,99,,,,,,,,,,0,0H30F13635,1,0,U,U,U,U,0,3,1,0,0,0,0,33,U,U,0,U,U,U,U,,,,,,,,,0,0,4
1,013M,13,M,3,4,1,348.90,1128.34,1,1,2,72,20,2,3,0,0,0,0,0,0,0,0,0,0,2,U,U,U,9,9,9,9,99,,,,,,,,,,0,1M39H21238,1,0,105,1,1,0,0,1,3,0,0,0,0,42,0,0,0,U,U,U,U,,,,,,,,,0,0,0
1,013M,13,M,3,4,2,348.90,1128.34,2,2,1,74,20,8,2,0,0,0,0,0,0,0,0,0,0,1,U,U,U,9,9,9,9,99,,,,,,,,,,0,1X27D4W210,1,0,U,U,U,U,0,4,1,0,0,0,0,33,U,U,0,U,U,U,U,,,,,,,,,0,0,0
1,014B,14,B,3,4,1,294.39,952.06,1,1,1,71,22,2,2,0,0,0,0,0,0,0,0,0,0,71,U,U,U,9,9,9,9,99,,,,,,,,,,0,2585718329,1,0,U,U,U,U,0,3,7,0,0,0,0,42,U,U,0,U,U,U,U,,,,,,,,,0,0,0
1,015M,15,M,3,4,1,2267.87,7334.29,1,1,2,76,12,11,2,0,0,0,0,0,0,0,0,0,0,44,U,U,U,9,9,9,9,99,,,,,,,,,,0,6W82L14820,1,0,U,U,U,U,0,1,6,0,0,0,0,34,2,2,0,U,U,U,U,,,,,,,,,0,0,0
1,016B,16,B,3,4,1,341.63,1104.83,1,1,1,74,20,8,2,0,0,0,0,0,0,0,0,0,0,71,U,U,U,9,9,9,9,99,,,,,,,,,,0,9999999999,1,0,U,U,U,U,0,1,7,0,0,0,0,33,U,U,0,U,U,U,U,,,,,,,,,0,0,0
1,017M,17,M,3,4,1,512.45,1657.26,6,1,2,74,21,5,2,0,0,0,0,0,0,0,0,0,0,47,U,U,U,9,9,9,9,99,46,U,U,U,9,9,9,9,99,0,9999999999,2,0,U,U,U,U,0,U,U,3,0,0,0,48,U,U,0,U,U,U,U,,,,,,,,,0,0,0
1,018M,18,M,3,4,1,1003.09,3243.99,1,1,2,77,20,2,2,0,0,0,0,0,0,0,0,0,0,2,U,U,U,9,9,9,9,99,,,,,,,,,,0,1L47U7J340,1,0,U,U,U,U,0,1,2,0,0,0,0,38,U,U,0,U,U,U,U,,,,,,,,,0,0,0
1,018M,18,M,3,4,2,1003.09,3243.99,1,2,1,69,21,2,3,0,0,0,0,0,0,0,0,0,0,1,U,U,U,9,9,9,9,99,,,,,,,,,,0,354399X106,1,0,U,U,U,U,0,2,1,0,0,0,U,42,U,U,0,U,U,U,U,,,,,,,,,0,0,0
1,019B,19,B,3,4,1,376.16,1216.50,1,1,1,74,21,1,2,0,0,0,0,0,0,0,0,0,0,71,12,0,12,F,Y,E,N,01,,,,,,,,,,0,9999999999,1,0,48,1,1,0,0,1,7,0,0,0,0,40,U,U,0,96,96,96,9996,,,,,,,,,0,0,0
1,020L,20,L,3,4,1,225.70,729.91,1,1,1,79,20,2,6,0,0,0,0,0,0,0,0,0,0,50,U,U,U,9,9,9,9,99,,,,,,,,,,0,1N35L95229,1,0,U,U,U,U,0,1,6,0,0,0,0,42,U,U,0,U,U,U,U,,,,,,,,,0,0,1
1,021N,21,N,3,4,1,4470.31,14456.98,1,1,1,76,18,3,2,0,0,U,U,U,U,U,U,U,U,0,,,,,,,,,0,,,,,,,,,0,9999999999,U,U,U,1,1,0,0,0,0,0,0,0,U,U,U,U,0,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0
1,021N,21,N,3,4,2,4470.31,14456.98,0,2,U,76,18,3,2,0,0,U,U,U,U,U,U,U,U,0,,,,,,,,,0,,,,,,,,,0,9999999999,U,U,U,1,1,0,0,0,0,0,0,0,U,U,U,U,0,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0
1,022M,22,M,3,4,1,447.03,1445.70,1,1,2,75,7,3,3,0,0,0,0,0,0,0,0,0,0,2,U,U,U,9,9,9,9,99,,,,,,,,,,0,DK41K5D234,1,5,93,U,U,U,0,2,4,0,0,0,0,44,U,U,0,96,96,96,9996,,,,,,,,,0,0,0
1,022M,22,M,3,4,2,447.03,1445.70,2,1,1,73,7,3,3,0,0,0,0,0,0,0,0,0,0,1,12,0,12,L,B,E,S,01,,,,,,,,,,0,DM43K3D307,1,0,62,1,1,0,0,2,4,0,0,0,0,40,0,0,0,96,96,96,9996,,,,,,,,,0,0,0
1,023H,23,H,3,4,1,131.93,426.66,1,1,1,77,7,81,51,0,0,0,0,0,0,0,0,0,0,2,1,0,1,F,D,E,W,02,,,,,,,,,,0,C30BF7V065,1,0,U,1,1,0,0,1,2,0,0,0,0,U,U,U,0,U,U,U,U,,,,,,,,,0,0,0
1,023H,23,H,3,4,2,131.93,426.66,1,2,2,79,12,6,2,0,0,0,0,0,0,0,0,0,0,1,U,U,U,9,9,9,9,99,,,,,,,,,,0,9999999999,1,0,U,U,U,U,0,2,1,0,0,0,0,39,U,U,0,U,U,U,U,,,,,,,,,0,0,1
1,024L,24,L,3,4,1,131.93,426.66,2,1,1,80,18,1,3,0,0,0,0,0,0,0,0,0,0,50,U,U,U,9,9,9,9,99,,,,,,,,,,0,4L69WAH149,1,0,13,U,U,U,0,1,6,0,0,0,0,33,0,0,0,U,U,U,U,,,,,,,,,0,1,2
1,025L,25,L,3,4,1,185.35,599.42,2,1,2,75,19,3,4,0,0,0,0,0,0,0,0,0,0,34,U,U,U,9,9,9,9,99,,,,,,,,,,0,9999999999,1,0,U,U,U,U,0,1,6,0,0,0,0,51,0,0,0,U,U,U,U,,,,,,,,,0,0,2
1,026N,26,N,3,4,1,4197.73,13575.46,1,1,1,U,20,U,2,0,0,U,U,U,U,U,U,U,U,0,,,,,,,,,0,,,,,,,,,0,9999999999,U,U,U,1,1,0,0,0,0,0,0,0,U,U,U,U,0,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0
1,027B,27,B,3,4,1,287.12,928.55,1,1,1,76,22,9,2,0,0,0,0,0,0,0,0,0,0,71,12,0,12,F,L,E,U,01,,,,,,,,,,0,2W87W6N559,1,0,38,1,1,0,0,1,7,0,0,0,0,37,0,0,0,96,96,96,9996,,,,,,,,,0,0,0
1,028C,28,C,3,4,1,87.23,282.10,1,1,1,70,42,1,3,0,0,0,0,0,0,0,0,0,0,71,12,0,12,F,L,L,U,01,,,,,,,,,,0,1150101204,1,0,58,1,1,0,0,1,7,0,0,0,0,29,0,0,0,96,96,96,9996,,,,,,,,,0,0,0
1,029M,29,M,3,4,1,359.81,1163.63,2,1,3,71,30,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,R,F,M,S,01,,,,,,,,,,0,1112556303,1,0,114,1,1,0,0,3,3,0,0,0,0,18,0,0,0,U,U,U,U,,,,,,,,,0,0,0
1,029M,29,M,3,4,2,359.81,1163.63,1,2,1,75,20,2,3,0,0,0,0,0,0,0,0,0,0,1,U,U,U,9,9,9,9,99,,,,,,,,,,0,1K69H5J215,1,5,U,U,U,U,0,4,2,0,0,0,0,43,0,0,0,U,U,U,U,,,,,,,,,0,0,0
1,030C,30,C,3,4,1,904.97,2926.67,3,1,1,78,18,2,2,0,0,0,0,0,0,0,0,0,0,71,12,0,12,R,P,M,S,01,,,,,,,,,,0,4P37X8H,1,0,14,1,1,0,0,3,7,0,0,0,0,35,0,0,0,96,96,96,9996,,,,,,,,,0,0,0
1,031L,31,L,3,4,1,54.52,176.32,1,1,2,77,6,9,2,0,0,0,0,0,0,0,0,0,0,2,U,U,U,9,9,9,9,99,3,U,U,U,9,9,9,9,99,0,SS22K7R290,1,0,U,U,U,U,0,U,U,0,0,0,0,41,U,U,0,U,U,U,U,,,,,,,,,0,1,1
1,031L,31,L,3,4,2,54.52,176.32,2,2,2,75,19,3,2,0,0,0,0,0,0,0,0,0,0,1,U,U,U,9,9,9,9,99,3,U,U,U,9,9,9,9,99,0,6D47S5Q209,1,0,U,U,U,U,0,U,U,0,0,0,0,51,U,U,0,U,U,U,U,,,,,,,,,0,0,2
1,031L,31,L,3,4,3,54.52,176.32,1,2,U,77,21,1,2,0,0,0,0,0,0,0,0,0,0,1,U,U,U,9,9,9,9,99,2,U,U,U,9,9,9,9,99,0,3J57R7R208,1,0,U,U,U,U,0,U,U,0,0,0,0,38,U,U,0,U,U,U,U,,,,,,,,,0,0,1
1,032M,32,M,3,4,1,1155.74,3737.66,1,1,2,79,13,2,2,0,0,0,0,0,0,0,0,0,0,34,0,0,0,F,Y,E,W,02,44,0,0,0,U,F,L,W,02,0,9999999999,1,0,U,1,1,0,0,1,6,0,0,0,0,48,0,0,0,96,96,96,9996,,,,,,,,,0,0,0
1,033N,33,N,3,4,1,272.58,881.52,4,1,1,68,7,3,3,0,0,U,U,U,U,U,U,U,U,0,,,,,,,,,0,,,,,,,,,0,9999999999,U,U,U,1,1,0,0,0,0,0,0,0,U,U,U,U,0,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0
1,033N,33,N,3,4,2,272.58,881.52,2,2,1,73,19,3,3,0,0,U,U,U,U,U,U,U,U,0,,,,,,,,,0,,,,,,,,,0,9999999999,U,U,U,1,1,0,0,0,0,0,0,0,U,U,U,U,0,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0
1,034N,34,N,3,4,1,3216.44,10401.97,1,1,1,70,20,9,2,0,0,U,U,U,U,U,U,U,U,0,,,,,,,,,0,,,,,,,,,0,9999999999,U,U,U,1,1,0,0,0,0,0,0,0,U,U,U,U,0,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0
